Campaignname,CampaignID,Campaignstatus,Adgroupname,AdgroupID,Adgroupstatus,AdID,Adtype,Adstatus,Adapprovalstatus,ad_strength,finalURL,Impressions,Clicks,Cost,Ctr,Conversions,CostPerConversion,ConversionRate,ConversionValue,AllConversions,FirstServedDate,LastServedDate,DaysServed
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,762584793075,Responsive search ad,Paused,Approved,Average,https://pankanaturalhealth.com,10785,709,1834.758,0.0657,253.02,7.2514,0.3569,254.06,471.02,2025-07-08,2026-06-10,43
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,812633205835,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,3802,168,322.5503,0.0442,14.0,23.0393,0.0833,460.0,99.0,2026-07-03,2026-09-08,68
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,812704389533,Responsive search ad,Enabled,Approved (limited),Average,https://www.pankanaturalhealth.com/womens-health-services,2866,158,372.4305,0.0551,17.01,21.8948,0.1077,719.01,78.01,2026-07-03,2026-09-07,67
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,817264881560,Responsive search ad,Paused,Approved,Pending,https://www.pankanaturalhealth.com/,1350,79,190.9282,0.0585,3.0,63.6427,0.038,195.0,53.0,2026-07-17,2026-08-12,27
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,812704381343,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,999,56,114.0175,0.0561,8.0,14.2522,0.1429,136.0,31.0,2026-07-03,2026-09-08,68
Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,812704345088,Responsive search ad,Enabled,Approved,Excellent,https://www.pankanaturalhealth.com/,847,52,100.7935,0.0614,8.5,11.8581,0.1635,199.5,49.5,2026-07-03,2026-09-08,63
Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,812601520263,Responsive search ad,Enabled,Approved,Excellent,https://www.pankanaturalhealth.com/pediatrics,708,27,42.6301,0.0381,3.0,14.21,0.1111,2.0,15.0,2026-07-03,2026-09-08,66
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,817264858229,Responsive search ad,Paused,Approved,Poor,https://www.pankanaturalhealth.com/womens-health-services,636,30,90.6108,0.0472,2.98,30.4063,0.0993,193.94,15.98,2026-07-17,2026-08-12,27
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,817195852465,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,530,15,23.63,0.0283,2.0,11.815,0.1333,65.0,7.0,2026-07-18,2026-09-08,53
Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,817157827140,Responsive search ad,Enabled,Approved,Average,https://www.pankanaturalhealth.com/pediatrics,491,22,49.5305,0.0448,4.0,12.3826,0.1818,195.0,18.0,2026-07-17,2026-09-08,53
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,812601575949,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/mens-health,489,31,29.8252,0.0634,4.51,6.6131,0.1455,195.51,11.51,2026-07-03,2026-09-06,62
PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,810768274448,Responsive search ad,Removed,Approved,Average,https://www.pankanaturalhealth.com/,338,57,154.6961,0.1686,26.21,5.9022,0.4598,360.28,87.14,2026-05-29,2026-07-16,46
Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,817157599125,Responsive search ad,Paused,Approved,Pending,https://www.pankanaturalhealth.com/,241,4,12.09,0.0166,0.0,,0.0,0.0,3.0,2026-07-17,2026-08-12,19
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,817157424693,Responsive search ad,Enabled,Approved,Poor,https://www.pankanaturalhealth.com/mens-health,206,32,31.5562,0.1553,2.0,15.7781,0.0625,130.0,5.0,2026-07-17,2026-08-12,25
PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,817156208814,Responsive search ad,Enabled,Approved,Excellent,https://www.pankanaturalhealth.com/,25,9,3.36,0.36,0.0,,0.0,0.0,1.0,2026-07-17,2026-07-20,4
Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,817157617842,Responsive search ad,Removed,Approved,Pending,https://www.pankanaturalhealth.com/,0,0,0.0,,0,,,0,0,,,0
