Yearmonth,Campaignname,CampaignID,Campaignstatus,Adgroupname,AdgroupID,Adgroupstatus,AdID,Adtype,Adstatus,Adapprovalstatus,ad_strength,finalURL,Impressions,Clicks,Cost,Ctr,Conversions,CostPerConversion,ConversionRate,ConversionValue,AllConversions,FirstServedDate,LastServedDate,DaysServed
2025-07,Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,762584793075,Responsive search ad,Paused,Approved,Average,https://pankanaturalhealth.com,4780,290,774.6328,0.0607,108.0,7.1725,0.3724,108.0,193.0,2025-07-08,2025-07-23,16
2025-08,Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,762584793075,Responsive search ad,Paused,Approved,Average,https://pankanaturalhealth.com,3675,266,659.6036,0.0724,109.0,6.0514,0.4098,109.0,177.0,2025-08-04,2025-08-27,15
2026-04,Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,762584793075,Responsive search ad,Paused,Approved,Average,https://pankanaturalhealth.com,1160,68,186.2186,0.0586,16.0,11.6387,0.2353,16.0,40.0,2026-04-27,2026-04-30,4
2026-05,Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,762584793075,Responsive search ad,Paused,Approved,Average,https://pankanaturalhealth.com,1117,81,190.2438,0.0725,20.0,9.5122,0.2469,20.0,61.0,2026-05-01,2026-05-30,7
2026-05,PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,810768274448,Responsive search ad,Removed,Approved,Average,https://www.pankanaturalhealth.com/,21,1,0.01,0.0476,0.0,,0.0,0.0,0.0,2026-05-29,2026-05-31,3
2026-06,PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,810768274448,Responsive search ad,Removed,Approved,Average,https://www.pankanaturalhealth.com/,247,35,111.0061,0.1417,21.0,5.286,0.6,309.0,68.01,2026-06-01,2026-06-30,29
2026-06,Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,762584793075,Responsive search ad,Paused,Approved,Average,https://pankanaturalhealth.com,53,4,24.0592,0.0755,0.02,1202.96,0.005,1.06,0.02,2026-06-10,2026-06-10,1
2026-07,Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,812633205835,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,1910,65,125.8056,0.034,8.0,15.7257,0.1231,200.0,56.0,2026-07-03,2026-07-31,29
2026-07,Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,812704389533,Responsive search ad,Enabled,Approved (limited),Average,https://www.pankanaturalhealth.com/womens-health-services,1016,59,149.6532,0.0581,12.01,12.4607,0.2036,524.01,47.01,2026-07-03,2026-07-31,29
2026-07,Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,817264881560,Responsive search ad,Paused,Approved,Pending,https://www.pankanaturalhealth.com/,661,37,97.3796,0.056,1.0,97.3796,0.027,65.0,28.0,2026-07-17,2026-07-31,15
2026-07,Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,812704345088,Responsive search ad,Enabled,Approved,Excellent,https://www.pankanaturalhealth.com/,656,33,60.4035,0.0503,6.5,9.2928,0.197,134.5,36.5,2026-07-03,2026-07-31,29
2026-07,Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,812704381343,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,602,34,64.274,0.0565,8.0,8.0343,0.2353,136.0,21.0,2026-07-03,2026-07-31,29
2026-07,Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,812601520263,Responsive search ad,Enabled,Approved,Excellent,https://www.pankanaturalhealth.com/pediatrics,362,15,20.32,0.0414,2.0,10.16,0.1333,2.0,9.0,2026-07-03,2026-07-31,29
2026-07,Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,812601575949,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/mens-health,319,18,14.3002,0.0564,2.51,5.6973,0.1394,130.51,7.51,2026-07-03,2026-07-31,29
2026-07,Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,817264858229,Responsive search ad,Paused,Approved,Poor,https://www.pankanaturalhealth.com/womens-health-services,286,12,41.1166,0.042,0.98,41.9557,0.0817,63.94,7.98,2026-07-17,2026-07-31,15
2026-07,Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,817157599125,Responsive search ad,Paused,Approved,Pending,https://www.pankanaturalhealth.com/,184,3,9.88,0.0163,0.0,,0.0,0.0,2.0,2026-07-17,2026-07-31,11
2026-07,Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,817157424693,Responsive search ad,Enabled,Approved,Poor,https://www.pankanaturalhealth.com/mens-health,112,21,17.8452,0.1875,2.0,8.9226,0.0952,130.0,4.0,2026-07-17,2026-07-31,14
2026-07,Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,817157827140,Responsive search ad,Enabled,Approved,Average,https://www.pankanaturalhealth.com/pediatrics,100,10,22.3205,0.1,2.0,11.1603,0.2,130.0,11.0,2026-07-17,2026-07-31,15
2026-07,Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,817195852465,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,88,2,2.99,0.0227,1.0,2.99,0.5,65.0,4.0,2026-07-18,2026-07-31,14
2026-07,PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,810768274448,Responsive search ad,Removed,Approved,Average,https://www.pankanaturalhealth.com/,70,21,43.68,0.3,5.21,8.3839,0.2481,51.28,19.13,2026-07-01,2026-07-16,14
2026-07,PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,817156208814,Responsive search ad,Enabled,Approved,Excellent,https://www.pankanaturalhealth.com/,25,9,3.36,0.36,0.0,,0.0,0.0,1.0,2026-07-17,2026-07-20,4
2026-08,Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,812633205835,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,1524,89,172.8247,0.0584,5.0,34.5649,0.0562,260.0,39.0,2026-08-01,2026-08-31,31
2026-08,Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,812704389533,Responsive search ad,Enabled,Approved (limited),Average,https://www.pankanaturalhealth.com/womens-health-services,1371,80,174.9673,0.0584,5.0,34.9935,0.0625,195.0,27.0,2026-08-01,2026-08-31,31
2026-08,Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,817264881560,Responsive search ad,Paused,Approved,Pending,https://www.pankanaturalhealth.com/,689,42,93.5486,0.061,2.0,46.7743,0.0476,130.0,25.0,2026-08-01,2026-08-12,12
2026-08,Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,817264858229,Responsive search ad,Paused,Approved,Poor,https://www.pankanaturalhealth.com/womens-health-services,350,18,49.4942,0.0514,2.0,24.7471,0.1111,130.0,8.0,2026-08-01,2026-08-12,12
2026-08,Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,817195852465,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,330,7,11.65,0.0212,1.0,11.65,0.1429,0.0,3.0,2026-08-01,2026-08-31,31
2026-08,Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,812704381343,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,314,16,37.5435,0.051,0.0,,0.0,0.0,7.0,2026-08-01,2026-08-31,31
2026-08,Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,817157827140,Responsive search ad,Enabled,Approved,Average,https://www.pankanaturalhealth.com/pediatrics,272,11,24.88,0.0404,2.0,12.44,0.1818,65.0,7.0,2026-08-01,2026-08-31,30
2026-08,Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,812601520263,Responsive search ad,Enabled,Approved,Excellent,https://www.pankanaturalhealth.com/pediatrics,204,9,16.8939,0.0441,1.0,16.8939,0.1111,0.0,5.0,2026-08-01,2026-08-31,29
