Yearmonth,Campaignname,CampaignID,Adgroupname,Age,Impressions,Clicks,Cost,Conversions,AllConversions
2025|07,Leads-Search-1,22767146837,Ad group 1,18-24,138,12,31.4262,2,3
2025|07,Leads-Search-1,22767146837,Ad group 1,25-34,689,48,142.5169,25,43
2025|07,Leads-Search-1,22767146837,Ad group 1,35-44,690,35,82.8795,14,27
2025|07,Leads-Search-1,22767146837,Ad group 1,45-54,537,29,93.7608,15,24
2025|07,Leads-Search-1,22767146837,Ad group 1,55-64,542,36,86.1957,8,14
2025|07,Leads-Search-1,22767146837,Ad group 1,65+,403,33,84.1059,7,10
2025|07,Leads-Search-1,22767146837,Ad group 1,Undetermined,1781,97,253.7477,37,72
2025|08,Leads-Search-1,22767146837,Ad group 1,18-24,143,8,24.746,1,8
2025|08,Leads-Search-1,22767146837,Ad group 1,25-34,550,51,133.557,27,50
2025|08,Leads-Search-1,22767146837,Ad group 1,35-44,622,56,154.9086,21,34
2025|08,Leads-Search-1,22767146837,Ad group 1,45-54,457,27,65.1472,12,19
2025|08,Leads-Search-1,22767146837,Ad group 1,55-64,384,27,59.0224,6,6
2025|08,Leads-Search-1,22767146837,Ad group 1,65+,275,22,46.5873,7,14
2025|08,Leads-Search-1,22767146837,Ad group 1,Undetermined,1244,75,175.6351,35,46
2026|04,Leads-Search-1,22767146837,Ad group 1,18-24,28,1,2.56,0,0
2026|04,Leads-Search-1,22767146837,Ad group 1,25-34,123,4,14.0386,1,3
2026|04,Leads-Search-1,22767146837,Ad group 1,35-44,234,12,34.1785,1,6
2026|04,Leads-Search-1,22767146837,Ad group 1,45-54,137,11,30.33,8,12
2026|04,Leads-Search-1,22767146837,Ad group 1,55-64,136,18,45.49,4,12
2026|04,Leads-Search-1,22767146837,Ad group 1,65+,120,6,16.4712,0,0
2026|04,Leads-Search-1,22767146837,Ad group 1,Undetermined,382,16,43.1502,2,7
2026|05,Leads-Search-1,22767146837,Ad group 1,18-24,11,1,0.1872,0,1
2026|05,Leads-Search-1,22767146837,Ad group 1,25-34,133,11,25.6394,4,20
2026|05,Leads-Search-1,22767146837,Ad group 1,35-44,199,9,23.9708,0,3
2026|05,Leads-Search-1,22767146837,Ad group 1,45-54,158,24,55.0108,2,14
2026|05,Leads-Search-1,22767146837,Ad group 1,55-64,130,11,29.0813,1,1
2026|05,Leads-Search-1,22767146837,Ad group 1,65+,73,2,10.211,2,5
2026|05,Leads-Search-1,22767146837,Ad group 1,Undetermined,413,23,46.1432,11,17
2026|05,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,25-34,2,0,0,0,0
2026|05,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,45-54,2,1,0.01,0,0
2026|05,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,Undetermined,17,0,0,0,0
2026|06,Leads-Search-1,22767146837,Ad group 1,18-24,3,0,0,0,0
2026|06,Leads-Search-1,22767146837,Ad group 1,25-34,27,1,12.2552,0.02,0.02
2026|06,Leads-Search-1,22767146837,Ad group 1,35-44,4,0,0,0,0
2026|06,Leads-Search-1,22767146837,Ad group 1,45-54,3,1,2.69,0,0
2026|06,Leads-Search-1,22767146837,Ad group 1,55-64,3,0,0,0,0
2026|06,Leads-Search-1,22767146837,Ad group 1,65+,1,0,0,0,0
2026|06,Leads-Search-1,22767146837,Ad group 1,Undetermined,12,2,9.114,0,0
2026|06,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,18-24,4,0,0,0,0
2026|06,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,25-34,20,4,14.26,0,1
2026|06,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,35-44,46,4,18.0165,4,12
2026|06,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,45-54,18,6,33.0341,0,2
2026|06,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,55-64,15,6,16.4589,6,16
2026|06,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,Undetermined,144,15,29.2366,11,37.01
2026|07,Leads-Search-1,22767146837,Functional & Integrative Medicine,18-24,98,2,5.3,1,2
