Campaignname,CampaignID,AssetGroupName,AssetGroupID,AdID,AssetRole,Position,Text,URL,Notes
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Headline,1,Free 10-Min Intro Call,,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Headline,2,A Doctor Who Listens,,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Headline,3,Two-Hour First Visits,,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Headline,4,Find the Root Cause,,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Headline,5,"Normal Labs, Still Unwell?",,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Headline,6,"Naturopathic Care, Hopkins MN",,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Headline,7,Whole-Family Natural Care,,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Headline,8,In-Person or Virtual Visits,,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Headline,9,Care Built for Real Life,,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Headline,10,Doctors Who Have Time,,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Description,1,Doctors who listen. Book a free 10-minute intro call.,,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Description,2,"Warm, evidence-informed naturopathic care in Hopkins, MN — in person or virtual.",,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Description,3,"Your goals, history, labs, and lifestyle — a plan built around your real life.",,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Description,4,Family-owned clinic serving the west metro since 2018. Telehealth in MN & WI.,,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,LongHeadline,1,Told your labs are normal but you still don't feel well? We look deeper — and we listen.,,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Image,1,main,https://tpc.googlesyndication.com/simgad/17100174155193368568,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Image,1,square,https://tpc.googlesyndication.com/simgad/11659853226149509460,
Leads-PMax-Video-1,24032465476,A doctor who listens,6730142616,6730142616,Logo,1,Panka Natural Health,https://tpc.googlesyndication.com/simgad/17013888205079666598,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Headline,1,Evidence-Informed Care,,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Headline,2,Free 10-Min Intro Call,,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Headline,3,Functional Lab Testing,,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Headline,4,"Naturopathic Care, Hopkins MN",,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Headline,5,Normal Isn't Optimal,,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Headline,6,Prevention Starts Now,,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Headline,7,"Small Shifts, Lasting Change",,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Headline,8,See What Labs Really Say,,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Headline,9,"Proactive, Not Reactive",,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Headline,10,"Your Plan, Built for Life",,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Description,1,Look deeper at your labs. Free 10-minute intro call.,,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Description,2,Functional lab analysis catches early shifts before they become bigger problems.,,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Description,3,"Sustainable plans that stick — no 30-supplement protocols, no assembly-line visits.",,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Description,4,"Evidence-informed prevention for heart, brain, and metabolic health. Hopkins, MN.",,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,LongHeadline,1,Normal isn't optimal. Functional lab analysis that finds what standard labs miss.,,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Image,1,square,https://tpc.googlesyndication.com/simgad/378777997263674057,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Image,1,main,https://tpc.googlesyndication.com/simgad/5008492856888675487,
Leads-PMax-Video-1,24032465476,Functional labs & prevention,6730142790,6730142790,Logo,1,Panka Natural Health,https://tpc.googlesyndication.com/simgad/17013888205079666598,
