Campaignname,CampaignID,Adgroupname,AdgroupID,AdID,Adstatus,ad_strength,assetFieldType,assetType,assetPerformanceLabel,assetTextText,InCurrentCreative,Impressions,Clicks,Cost,Ctr,Conversions,CostPerConversion
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Description,Text,,"Personalized natural medicine for families. Women's health, heart care, pediatrics.",no,9692,599,1529.5043,0.0618,224.0,6.8281
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Description,Text,,"Root cause medicine. Hormone therapy, gut health, heart program. Hopkins clinic.",no,5722,424,1133.1304,0.0741,154.0,7.358
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Description,Text,,Dr. Haley & Dr. Jacob Panka. Evidence-based holistic care. HSA/FSA accepted.,no,944,103,270.8395,0.1091,28.0,9.6728
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Description,Text,,Licensed naturopathic doctors in Hopkins. Free intro call. Virtual & in-person.,no,294,31,85.044,0.1054,7.0,12.1491
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Description,Text,Pending information,Naturopathic doctors in Hopkins MN. Free 10-min intro call. In-person or telehealth.,yes,33,1,5.24,0.0303,0.0,
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Description,Text,Pending information,Drs. Haley & Jacob Panka. Evidence-informed naturopathic care. HSA/FSA & cash-pay.,yes,28,4,23.1202,0.1429,2.02,11.4456
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Description,Text,Pending information,"Naturopathic care for women, men, and kids. Hormones, gut, metabolic & heart health.",yes,15,3,11.804,0.2,0.0,
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Description,Text,Pending information,"Root-cause naturopathy. Hormone balance, gut, metabolic, heart. Hopkins MN clinic.",yes,12,2,16.5562,0.1667,2.02,8.1961
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Good,Dr. Panka Hopkins MN,yes,6937,489,1348.2025,0.0705,194.02,6.9488
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Good,Twin Cities Holistic Doctors,yes,3507,259,676.4928,0.0739,105.0,6.4428
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,,Natural Medicine MN,no,2593,148,336.907,0.0571,45.5,7.4045
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,,Holistic Family Care,no,2401,173,429.9595,0.0721,40.0,10.749
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,,Hopkins Naturopath,no,2303,153,430.7416,0.0664,64.5,6.6782
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,,Downtown Hopkins,no,2013,118,361.4452,0.0586,81.0,4.4623
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Learning stats,Women's Health,yes,1467,116,336.1474,0.0791,51.0,6.5911
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Learning stats,Hormone Specialist,yes,1195,87,218.9463,0.0728,28.0,7.8195
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Learning stats,Naturopathic Doctors,yes,784,66,182.2813,0.0842,20.0,9.1141
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Learning stats,HSA/FSA Accepted,yes,568,38,99.187,0.0669,8.02,12.3675
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Learning stats,Pediatric Care,yes,386,53,99.8138,0.1373,12.0,8.3178
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,,Virtual Appointments,no,196,7,7.94,0.0357,0.0,
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,,Evidence-Based Care,no,188,17,15.9232,0.0904,0.0,
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,,Free Intro Call,no,185,15,32.23,0.0811,0.0,
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,,Heart Health Program,no,130,5,10.45,0.0385,1.0,10.45
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Pending information,Naturopaths in Hopkins MN,yes,34,2,16.5562,0.0588,2.02,8.1961
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Pending information,Husband-Wife Naturopaths,yes,11,1,2.69,0.0909,0.0,
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Pending information,Trusted Since 2018,yes,5,0,0.0,0.0,0.0,
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Pending information,Free 10-Min Intro Call,yes,2,0,0.0,0.0,0.0,
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Pending information,Lab-Driven Care Plans,yes,2,0,0.0,0.0,0.0,
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Pending information,MN & WI Telehealth,yes,2,1,3.874,0.5,0.0,
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Pending information,Same-Week Appointments,yes,2,0,0.0,0.0,0.0,
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Paused,Average,Headline,Text,Pending information,Evidence-Informed Care,yes,1,0,0.0,0.0,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Description,Text,Pending information,"Functional lab testing beyond the annual physical — hormones, gut, thyroid, metabolic.",yes,3448,143,273.491,0.0415,12.0,22.7909
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Description,Text,Pending information,"Integrative medicine in Hopkins — conventional insight plus natural therapies, one plan.",yes,1137,54,119.2004,0.0475,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Description,Text,Pending information,"A root-cause, functional lens: detailed labs, unhurried visits, and a clear plan.",yes,912,70,140.3946,0.0768,6.0,23.3991
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Description,Text,Pending information,Whole-person integrative medicine for the west metro. In person or MN & WI telehealth.,yes,472,57,145.4268,0.1208,3.0,48.4756
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Description,Text,Pending information,Two full hours on your case. Evidence-informed care from doctors who listen.,yes,378,30,64.9591,0.0794,4.0,16.2398
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Description,Text,Pending information,"Cash-pay clinic, HSA/FSA accepted. No membership. Telehealth across MN & WI.",yes,266,17,36.51,0.0639,1.0,36.51
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Description,Text,Pending information,Creating health with science and nature. Root-cause evaluation with functional labs.,yes,95,12,26.29,0.1263,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Description,Text,Pending information,Unhurried integrative care from a husband-wife ND team. Free 10-minute intro call.,yes,39,6,13.55,0.1538,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,"Functional Medicine, Hopkins",yes,2663,88,179.5017,0.033,6.0,29.9169
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,"Integrative, Root-Cause Care",yes,781,54,105.0737,0.0691,5.0,21.0147
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,"No Membership, No Monthly Fee",yes,738,58,137.5535,0.0786,4.0,34.3884
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,MN & WI Telehealth,yes,546,24,44.1106,0.044,2.02,21.8369
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,,Integrative Care in Hopkins,no,510,35,91.7889,0.0686,1.0,91.7889
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,,Integrative Medicine Clinic,no,491,31,81.2709,0.0631,2.0,40.6354
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,Find the Root Cause,yes,458,27,66.6604,0.059,2.98,22.3693
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,Pending information,Hopkins & West Metro Clinic,yes,454,49,123.4841,0.1079,1.0,123.4841
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,Functional Lab Testing,yes,451,27,54.6786,0.0599,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,Two-Hour First Visits,yes,390,22,45.4386,0.0564,6.0,7.5731
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,"Your Labs, Fully Explained",yes,346,20,38.5008,0.0578,1.0,38.5008
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,Same-Week Appointments,yes,314,18,29.838,0.0573,3.0,9.946
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,HSA/FSA Accepted,yes,306,20,32.3639,0.0654,3.0,10.788
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,,Drs. Haley & Jacob Panka,yes,231,16,47.9245,0.0693,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,Pending information,Integrative Medicine Doctors,yes,189,23,56.8958,0.1217,2.0,28.4479
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,,"Whole-Person, Root-Cause Care",no,164,11,22.5583,0.0671,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,A Doctor Who Listens,yes,142,10,20.3283,0.0704,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,Evidence-Informed Care,yes,140,20,20.0918,0.1429,2.0,10.0459
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,,"Your Whole Story, Two Hours",no,121,7,8.4374,0.0579,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,,Functional & Integrative NDs,no,92,7,17.3611,0.0761,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,,Integrative Lab Testing,no,77,9,24.4245,0.1169,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,Free 10-Min Intro Call,yes,75,2,0.9221,0.0267,1.0,0.9221
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,Trusted Since 2018,yes,73,4,3.56,0.0548,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Enabled,Good,Headline,Text,Pending information,Lab-Driven Care Plans,yes,70,4,7.8892,0.0571,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,Pending information,Free 10-Min Intro Call,yes,60,3,4.75,0.05,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,,"Science & Nature, Together",no,58,5,11.12,0.0862,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,,Conventional Meets Natural,no,24,2,2.3,0.0833,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,Pending information,Accepting New Patients,yes,0,0,0.0,,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,Pending information,Beyond the Annual Physical,yes,0,0,0.0,,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,Pending information,Functional Care in Hopkins,yes,0,0,0.0,,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,Pending information,Functional Medicine Clinic,yes,0,0,0.0,,0.0,
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Paused,Pending,Headline,Text,Pending information,Functional Medicine Doctors,yes,0,0,0.0,,0.0,
