Date,Campaignname,CampaignID,AdvertisingChannelType,AdvertisingChannelSubType,Campaignstatus,CampaignServingStatus,CampaignBidStrategyStatus,Currencycode,Timezone,ConfiguredBudget,BudgetName,BudgetId,BudgetStatus,BudgetPeriod,IsBudgetExplicitlyShared,CampaignMobileBidModifier,Impressions,Clicks,Cost,Ctr,CPC,CPM,interactions,Conversions,CostPerConversion,ConversionRate,conversionsByConversionDate,allConversionsByConversionDate,EstimatedCrossDeviceConversions,ROAS,Invalidclicks,SearchImpressionShare,SearchImpressionShareRaw,SearchBudgetLostImpressionShare,SearchRankLostImpressionShare,SearchTopImpressionShare,SearchAbsoluteTopImpressionShare,SearchExactMatchImpressionShare,SearchRankLostTopImpressionShare,SearchRankLostAbsoluteTopImpressionShare,SearchBudgetLostTopImpressionShare,SearchBudgetLostAbsoluteTopImpressionShare,SearchClickShare,EligibleSearchClicks,LostSearchClicks,TotalAvailableImpressions,LostImpressions,LostImpressionsDueToBudget,LostImpressionsDueToRank,dailybudget,Budget,budgetUsedPortion
2025-06-02,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,0,0,0,,,,0,0,,,0,0,0,,0,,0.0999,,,0,0,0.0999,0,0,0,0,,,,0,0,0,0,,,
2025-06-03,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,119,6,10.25,0.0504,1.7083,86.1345,6,5,2.05,0.8333,2,2,2,0.4878,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,60,54,0,0,0,0,6,6,1.7083
2025-06-04,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,373,17,30.3367,0.0456,1.7845,81.3317,18,1,30.3367,0.0588,1,2,0,0.033,2,,0.1071,,,0,0,0.1071,0,0,0,0,0.148,115,98,0,0,0,0,6,6,5.0561
2025-06-05,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,292,22,30.9629,0.0753,1.4074,106.0372,23,4,7.7407,0.1818,4,4,0,0.1292,2,,0.0999,,,0,0,0.0999,0,0,0,0,0.1835,120,98,0,0,0,0,6,6,5.1605
2025-06-06,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,215,17,33.2645,0.0791,1.9567,154.7186,17,3,11.0882,0.1765,3,10,0,0.0902,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.1568,108,91,0,0,0,0,6,6,5.5441
2025-06-07,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,132,15,21.8895,0.1136,1.4593,165.8298,16,11,1.99,0.7333,10,10,0,0.5025,2,,0.0999,,,0,0,0.0999,0,0,0,0,0.1747,86,71,0,0,0,0,6,6,3.6483
2025-06-08,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,51,1,0.06,0.0196,0.06,1.1765,1,0,,0,0,0,0,0,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,10,9,0,0,0,0,6,6,0.01
2025-06-09,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,63,0,0,0,,0,0,0,,,1,1,0,,0,,0.0999,,,0,0,0.0999,0,0,0,0,,,,0,0,0,0,6,6,0
2025-06-10,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,219,5,6.3553,0.0228,1.2711,29.0196,20,0,,0,0,0,0,0,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,50,45,0,0,0,0,6,6,1.0592
2025-06-11,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,367,15,51.3307,0.0409,3.422,139.8657,25,8,6.4163,0.5333,8,13,0,0.1559,0,,0.1323,,,0,0,0.1272,0,0,0,0,0.1323,113,98,0,0,0,0,6,6,8.5551
2025-06-12,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,436,14,23.5285,0.0321,1.6806,53.9644,46,2,11.7642,0.1429,2,5,0,0.085,0,,0.13,,,0,0,0.1209,0,0,0,0,0.1255,112,98,0,0,0,0,6,6,3.9214
