Date,Campaignname,CampaignID,Campaignstatus,ConversionTrackerId,ConversionTypeName,ConversionCategory,ExternalConversionSource,Conversions,conversionsByConversionDate,EstimatedTotalConversions,allConversionsByConversionDate,ConversionValue,EstimatedTotalConversionValue,allConversionsValueByConversionDate,Viewthroughconversions,EstimatedCrossDeviceConversions
2025-06-03,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,4,2,4,2,4,4,2,0,2
2025-06-03,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,0,1,0,1,1,0,0,0
2025-06-04,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-04,Campaign #1,22625352639,paused,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,1,1,0,1,1,0,0
2025-06-05,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,1,1,1,1,1,1,1,0,0
2025-06-05,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-05,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-05,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-06,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,1,1,1,1,1,1,1,0,0
2025-06-06,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-06,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-06,Campaign #1,22625352639,paused,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,3,3,0,3,3,0,0
2025-06-06,Campaign #1,22625352639,paused,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,4,4,0,4,4,0,0
2025-06-07,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,5,4,5,4,5,5,4,0,0
2025-06-07,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,4,4,4,4,4,4,4,0,0
2025-06-07,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-07,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-09,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,0,1,0,1,0,0,1,0,0
2025-06-11,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,4,4,4,4,4,4,4,0,0
2025-06-11,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,2,2,2,2,2,2,2,0,0
2025-06-11,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-11,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-11,Campaign #1,22625352639,paused,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,4,3,0,4,3,0,0
2025-06-11,Campaign #1,22625352639,paused,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,2,2,0,2,2,0,0
2025-06-12,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,1,1,1,1,1,1,1,0,0
2025-06-12,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-12,Campaign #1,22625352639,paused,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,0,1,0,0,1,0,0
2025-06-12,Campaign #1,22625352639,paused,7169930375,Local actions - Menu views,Page view,Google hosted,0,0,2,2,0,2,2,0,0
2025-06-13,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-13,Campaign #1,22625352639,paused,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,1,1,0,1,1,0,0
2025-06-13,Campaign #1,22625352639,paused,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,2,2,0,2,2,0,0
2025-06-14,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-14,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-15,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,4,3,4,3,4,4,3,0,1
2025-06-15,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-15,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-15,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,2,2,2,2,2,2,2,0,0
2025-06-15,Campaign #1,22625352639,paused,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,2,2,0,2,2,0,0
2025-06-15,Campaign #1,22625352639,paused,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,5,5,0,5,5,0,0
2025-06-16,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,1,1,1,1,1,1,1,0,0
2025-06-16,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-16,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,1,1,1,1,1,1,1,0,0
2025-06-16,Campaign #1,22625352639,paused,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,4,4,0,4,4,0,0
