Yearmonth,Campaignname,CampaignID,ConversionTrackerId,ConversionTypeName,ConversionCategory,ExternalConversionSource,Conversions,conversionsByConversionDate,EstimatedTotalConversions,allConversionsByConversionDate,ConversionValue,EstimatedTotalConversionValue,allConversionsValueByConversionDate,Viewthroughconversions,EstimatedCrossDeviceConversions,primary_for_goal_now,include_in_conversions_now,counting,action_bucket
2025|06,Campaign #1,22625352639,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,55.0,43.0,55.0,43.0,55.0,55.0,43.0,0.0,3.0,False,False,Many per click,scheduling_page_or_event
2025|06,Campaign #1,22625352639,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,20.0,16.0,20.0,16.0,20.0,20.0,16.0,0.0,0.0,False,False,Many per click,doctor_bio_page_view
2025|06,Campaign #1,22625352639,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,14.0,13.0,14.0,13.0,14.0,14.0,13.0,0.0,0.0,False,False,Many per click,doctor_bio_page_view
2025|06,Campaign #1,22625352639,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,84.0,47.0,88.0,47.0,84.0,88.0,47.0,0.0,0.0,False,False,Many per click,whypnh_page_view
2025|06,Campaign #1,22625352639,7157480846,Local actions - Website visits,Page view,Google hosted,0.0,0.0,15.0,15.0,0.0,15.0,15.0,0.0,0.0,True,False,Many per click,google_hosted_local_action
2025|06,Campaign #1,22625352639,7160506736,Local actions - Other engagements,Engagement,Google hosted,0.0,0.0,37.0,37.0,0.0,37.0,37.0,0.0,0.0,True,False,Many per click,google_hosted_local_action
2025|06,Campaign #1,22625352639,7169930375,Local actions - Menu views,Page view,Google hosted,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,True,False,Many per click,google_hosted_local_action
2025|06,Campaign #1,22625352639,7180867432,Local actions - Directions,Get directions,Google hosted,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,True,False,Many per click,google_hosted_local_action
2025|07,Campaign #1,22625352639,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,622.0,630.0,622.0,630.0,622.0,622.0,630.0,0.0,0.0,False,False,Many per click,scheduling_page_or_event
2025|07,Campaign #1,22625352639,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,34.0,38.0,41.0,45.0,34.0,41.0,45.0,0.0,0.0,False,False,Many per click,doctor_bio_page_view
2025|07,Campaign #1,22625352639,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,20.0,21.0,22.0,23.0,20.0,22.0,23.0,0.0,0.0,False,False,Many per click,doctor_bio_page_view
2025|07,Campaign #1,22625352639,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,1006.0,1043.0,1130.0,1167.0,1006.0,1130.0,1167.0,0.0,0.0,False,False,Many per click,whypnh_page_view
2025|07,Leads-Search-1,22767146837,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,70.0,69.0,70.0,69.0,70.0,70.0,69.0,0.0,3.0,False,False,Many per click,scheduling_page_or_event
2025|07,Leads-Search-1,22767146837,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,0.0,False,False,Many per click,doctor_bio_page_view
2025|07,Leads-Search-1,22767146837,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,False,False,Many per click,doctor_bio_page_view
2025|07,Leads-Search-1,22767146837,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,False,False,Many per click,whypnh_page_view
2025|07,Leads-Search-1,22767146837,7157480846,Local actions - Website visits,Page view,Google hosted,0.0,0.0,24.0,24.0,0.0,24.0,24.0,0.0,0.0,True,False,Many per click,google_hosted_local_action
2025|07,Leads-Search-1,22767146837,7160506736,Local actions - Other engagements,Engagement,Google hosted,0.0,0.0,57.0,57.0,0.0,57.0,57.0,0.0,0.0,True,False,Many per click,google_hosted_local_action
2025|07,Leads-Search-1,22767146837,7180867432,Local actions - Directions,Get directions,Google hosted,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,True,False,Many per click,google_hosted_local_action
2025|07,Leads-Search-1,22767146837,7217291006,Calls from ads,Phone call lead,Calls from ads,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,False,False,One per click,call_or_lead_form
2025|08,Campaign #1,22625352639,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,False,False,Many per click,scheduling_page_or_event
2025|08,Campaign #1,22625352639,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,False,False,Many per click,whypnh_page_view
2025|08,Leads-Search-1,22767146837,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,54.0,50.0,54.0,50.0,54.0,54.0,50.0,0.0,3.0,False,False,Many per click,scheduling_page_or_event
2025|08,Leads-Search-1,22767146837,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.0,0.0,False,False,Many per click,doctor_bio_page_view
2025|08,Leads-Search-1,22767146837,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,False,False,Many per click,doctor_bio_page_view
2025|08,Leads-Search-1,22767146837,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,False,False,Many per click,whypnh_page_view
2025|08,Leads-Search-1,22767146837,7157480846,Local actions - Website visits,Page view,Google hosted,0.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,True,False,Many per click,google_hosted_local_action
2025|08,Leads-Search-1,22767146837,7160506736,Local actions - Other engagements,Engagement,Google hosted,0.0,0.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,True,False,Many per click,google_hosted_local_action
