Yearmonth,Campaignname,counted_conversions_total,counted_scheduling_page_or_event,counted_doctor_bio_page_view,counted_whypnh_page_view,counted_google_hosted_local_action,counted_purchase,counted_call_or_lead_form,counted_intro_call_click,counted_other,share_counted_scheduling,share_counted_bio_pages,share_counted_whypnh,share_counted_other_pct,all_conversions_total,all_scheduling_page_or_event,all_doctor_bio_page_view,all_whypnh_page_view,all_google_hosted_local_action,all_purchase,all_call_or_lead_form,all_intro_call_click,all_other
2025|06,Campaign #1,173.0,55.0,34.0,84.0,0.0,0.0,0.0,0.0,0.0,31.79,19.65,48.55,0.0,233.0,55.0,34.0,88.0,56.0,0.0,0.0,0.0,0.0
2025|07,Campaign #1,1682.0,622.0,54.0,1006.0,0.0,0.0,0.0,0.0,0.0,36.98,3.21,59.81,0.0,1815.0,622.0,63.0,1130.0,0.0,0.0,0.0,0.0,0.0
2025|07,Leads-Search-1,108.0,70.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,64.81,33.33,1.85,0.0,193.0,70.0,36.0,2.0,84.0,0.0,1.0,0.0,0.0
2025|08,Campaign #1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025|08,Leads-Search-1,109.0,54.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,49.54,48.62,1.83,0.0,177.0,54.0,53.0,2.0,68.0,0.0,0.0,0.0,0.0
2025|09,Leads-Search-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026|04,Leads-Search-1,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,40.0,16.0,11.0,1.0,12.0,0.0,0.0,0.0,0.0
2026|05,Leads-Search-1,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,61.0,20.0,13.0,2.0,26.0,0.0,0.0,0.0,0.0
2026|06,Leads-Search-1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026|06,PNHdefense-Website traffic-Search-2,21.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.24,0.0,0.0,4.76,68.01,52.01,11.0,1.0,2.0,2.0,0.0,0.0,0.0
2026|07,Leads-Search-1,46.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,97.83,0.0,0.0,2.17,234.0,111.0,55.0,9.0,58.0,1.0,0.0,0.0,0.0
2026|07,PNHdefense-Website traffic-Search-2,5.21,5.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,95.97,0.0,0.0,4.03,20.13,8.92,9.0,0.0,2.0,0.21,0.0,0.0,0.0
2026|08,Leads-Search-1,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,137.0,50.0,45.0,5.0,36.0,0.0,1.0,0.0,0.0
2026|09,Leads-Search-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,15.0,5.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0
