Yearmonth,Campaignname,Impressions,Clicks,Cost,counting_regime,as_reported_conversions_metric,as_reported_CPA_DISTORTED,LFL_begin_checkout_all_conversions_clickdate,LFL_CPA_begin_checkout_clickdate,LFL_begin_checkout_all_conversions_convdate,LFL_CPA_begin_checkout_convdate,begin_checkout_COUNTED_in_conversions_metric,schedule_appointment_all_conversions,CPA_schedule_appointment,bio_whypnh_pageviews_counted,bio_whypnh_pageviews_all,all_conversions_total
2025|06,Campaign #1,9011,313,357.26,A: BeginCheckout+3 page-views primary (page-views dropped from Campaign #1 on 2025-07-07/08),173.0,2.07,55.0,6.5,43.0,8.31,55.0,0.0,,118.0,122.0,233.0
2025|07,Campaign #1,91432,3073,553.66,A: BeginCheckout+3 page-views primary (page-views dropped from Campaign #1 on 2025-07-07/08),1682.0,0.33,622.0,0.89,630.0,0.88,622.0,0.0,,1060.0,1193.0,1815.0
2025|07,Leads-Search-1,4780,290,774.63,B: BeginCheckout + meet-dr-haley + meet-dr-jacob + whypnh all primary,108.0,7.17,70.0,11.07,69.0,11.23,70.0,0.0,,38.0,38.0,193.0
2025|08,Campaign #1,0,0,0.0,B: BeginCheckout + meet-dr-haley + meet-dr-jacob + whypnh all primary,0.0,,0.0,,4.0,0.0,0.0,0.0,,0.0,0.0,0.0
2025|08,Leads-Search-1,3675,266,659.6,B: BeginCheckout + meet-dr-haley + meet-dr-jacob + whypnh all primary,109.0,6.05,54.0,12.21,50.0,13.19,54.0,0.0,,55.0,55.0,177.0
2025|09,Leads-Search-1,0,0,0.0,B: BeginCheckout + meet-dr-haley + meet-dr-jacob + whypnh all primary,0.0,,0.0,,5.0,0.0,0.0,0.0,,0.0,0.0,0.0
2026|04,Leads-Search-1,1160,68,186.22,D: BeginCheckout primary only (page-views demoted during the 2025-09..2026-04 dark period; PNH2 purchase promoted ~2026-06-26),16.0,11.64,16.0,11.64,12.0,15.52,16.0,0.0,,0.0,12.0,40.0
2026|05,Leads-Search-1,1117,81,190.24,D: BeginCheckout primary only (page-views demoted during the 2025-09..2026-04 dark period; PNH2 purchase promoted ~2026-06-26),20.0,9.51,20.0,9.51,24.0,7.93,20.0,0.0,,0.0,15.0,61.0
2026|05,PNHdefense-Website traffic-Search-2,21,1,0.01,D: BeginCheckout primary only (page-views demoted during the 2025-09..2026-04 dark period; PNH2 purchase promoted ~2026-06-26),0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0
2026|06,Leads-Search-1,53,4,24.06,D: BeginCheckout primary only (page-views demoted during the 2025-09..2026-04 dark period; PNH2 purchase promoted ~2026-06-26),0.02,1202.96,0.0,,0.0,,0.0,0.02,1202.96,0.0,0.0,0.02
2026|06,PNHdefense-Website traffic-Search-2,247,35,111.01,D: BeginCheckout primary only (page-views demoted during the 2025-09..2026-04 dark period; PNH2 purchase promoted ~2026-06-26),21.0,5.29,34.0,3.26,11.0,10.09,18.0,18.01,6.16,0.0,12.0,68.01
2026|07,Leads-Search-1,6296,309,626.29,D->E SPLICE on 2026-07-12: BeginCheckout counted Jul 1-11 only; schedule_appointment counted Jul 13-31 only,46.0,13.61,67.0,9.35,66.0,9.49,18.0,44.0,14.23,0.0,64.0,234.0
2026|07,PNHdefense-Website traffic-Search-2,95,30,47.04,D->E SPLICE on 2026-07-12: BeginCheckout counted Jul 1-11 only; schedule_appointment counted Jul 13-31 only,5.21,9.03,6.0,7.84,29.0,1.62,5.0,2.92,16.11,0.0,9.0,20.13
2026|08,Leads-Search-1,5534,315,651.84,E: PNH2 (web) schedule_appointment + PNH2 (web) purchase primary; BeginCheckout secondary,22.0,29.63,28.0,23.28,29.0,22.48,0.0,22.0,29.63,0.0,50.0,137.0
2026|09,Leads-Search-1,1335,50,102.47,E: PNH2 (web) schedule_appointment + PNH2 (web) purchase primary; BeginCheckout secondary,1.0,102.47,4.0,25.62,4.0,25.62,0.0,1.0,102.47,0.0,5.0,15.0
