Date,Yearmonth,Campaignname,CampaignID,Device,Impressions,Clicks,Cost,Ctr,Conversions,CostPerConversion
2025-06-03,2025|06,Campaign #1,22625352639,Computers,53,2,6.15,0.0377,3,2.05
2025-06-03,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,66,4,4.1,0.0606,2,2.05
2025-06-04,2025|06,Campaign #1,22625352639,Computers,126,3,8.12,0.0238,1,8.12
2025-06-04,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,240,13,21.7667,0.0542,0,
2025-06-04,2025|06,Campaign #1,22625352639,Tablets with full browsers,7,1,0.45,0.1429,0,
2025-06-05,2025|06,Campaign #1,22625352639,Computers,94,2,5.1,0.0213,2,2.55
2025-06-05,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,191,18,24.7317,0.0942,2,12.3659
2025-06-05,2025|06,Campaign #1,22625352639,Tablets with full browsers,7,2,1.1311,0.2857,0,
2025-06-06,2025|06,Campaign #1,22625352639,Computers,78,3,2.33,0.0385,0,
2025-06-06,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,126,12,29.5845,0.0952,3,9.8615
2025-06-06,2025|06,Campaign #1,22625352639,Tablets with full browsers,11,2,1.35,0.1818,0,
2025-06-07,2025|06,Campaign #1,22625352639,Computers,26,3,2.76,0.1154,1,2.76
2025-06-07,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,104,11,18.5295,0.1058,10,1.853
2025-06-07,2025|06,Campaign #1,22625352639,Tablets with full browsers,2,1,0.6,0.5,0,
2025-06-08,2025|06,Campaign #1,22625352639,Computers,20,0,0,0,0,
2025-06-08,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,30,1,0.06,0.0333,0,
2025-06-08,2025|06,Campaign #1,22625352639,Tablets with full browsers,1,0,0,0,0,
2025-06-09,2025|06,Campaign #1,22625352639,Computers,36,0,0,0,0,
2025-06-09,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,27,0,0,0,0,
2025-06-10,2025|06,Campaign #1,22625352639,Computers,92,1,1.46,0.0109,0,
2025-06-10,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,121,4,4.8922,0.0331,0,
2025-06-10,2025|06,Campaign #1,22625352639,Tablets with full browsers,6,0,0.0031,0,0,
2025-06-11,2025|06,Campaign #1,22625352639,Computers,120,3,8.36,0.025,4,2.09
2025-06-11,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,236,12,42.945,0.0508,4,10.7363
2025-06-11,2025|06,Campaign #1,22625352639,Tablets with full browsers,11,0,0.0257,0,0,
2025-06-12,2025|06,Campaign #1,22625352639,Computers,123,1,0.14,0.0081,0,
2025-06-12,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,303,13,23.3531,0.0429,2,11.6766
2025-06-12,2025|06,Campaign #1,22625352639,Tablets with full browsers,10,0,0.0354,0,0,
2025-06-13,2025|06,Campaign #1,22625352639,Computers,73,4,1.7912,0.0548,0,
2025-06-13,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,196,8,27.2604,0.0408,1,27.2604
2025-06-13,2025|06,Campaign #1,22625352639,Tablets with full browsers,8,0,0.0623,0,0,
2025-06-14,2025|06,Campaign #1,22625352639,Computers,40,0,0,0,0,
2025-06-14,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,278,12,9.4782,0.0432,2,4.7391
2025-06-14,2025|06,Campaign #1,22625352639,Tablets with full browsers,3,0,0.0272,0,0,
2025-06-15,2025|06,Campaign #1,22625352639,Computers,68,2,2.5615,0.0294,1,2.5615
2025-06-15,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,243,10,17.7624,0.0412,7,2.5375
2025-06-15,2025|06,Campaign #1,22625352639,Tablets with full browsers,3,0,0,0,0,
2025-06-16,2025|06,Campaign #1,22625352639,Computers,113,1,0.29,0.0088,0,
2025-06-16,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,183,5,15.9706,0.0273,3,5.3235
2025-06-16,2025|06,Campaign #1,22625352639,Tablets with full browsers,8,0,0.0039,0,0,
2025-06-17,2025|06,Campaign #1,22625352639,Computers,130,4,12.55,0.0308,6,2.0917
2025-06-17,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,241,6,13.6416,0.0249,2,6.8208
2025-06-17,2025|06,Campaign #1,22625352639,Tablets with full browsers,2,0,0.0087,0,0,
2025-06-18,2025|06,Campaign #1,22625352639,Computers,102,4,10.0497,0.0392,1,10.0497
2025-06-18,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,256,8,16.3306,0.0313,5,3.2661
2025-06-18,2025|06,Campaign #1,22625352639,Tablets with full browsers,7,0,0.0287,0,0,
2025-06-19,2025|06,Campaign #1,22625352639,Computers,55,3,1.13,0.0545,1,1.13
2025-06-19,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,253,7,1.6828,0.0277,0,
2025-06-19,2025|06,Campaign #1,22625352639,Tablets with full browsers,5,0,0.0372,0,0,
2025-06-20,2025|06,Campaign #1,22625352639,Computers,28,0,0,0,0,
2025-06-20,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,198,9,0.9885,0.0455,5,0.1977
2025-06-20,2025|06,Campaign #1,22625352639,Tablets with full browsers,3,0,0.0151,0,0,
2025-06-21,2025|06,Campaign #1,22625352639,Computers,18,0,0,0,0,
2025-06-21,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,176,5,1.001,0.0284,2,0.5005
2025-06-21,2025|06,Campaign #1,22625352639,Tablets with full browsers,2,0,0.0045,0,0,
2025-06-22,2025|06,Campaign #1,22625352639,Computers,13,0,0,0,0,
2025-06-22,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,9,0,0.0088,0,0,
2025-06-22,2025|06,Campaign #1,22625352639,Tablets with full browsers,1,0,0,0,0,
2025-06-23,2025|06,Campaign #1,22625352639,Computers,57,2,0.02,0.0351,0,
2025-06-23,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,44,0,0.0799,0,1,0.0799
2025-06-24,2025|06,Campaign #1,22625352639,Computers,49,2,0.62,0.0408,1,0.62
2025-06-24,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,83,2,0.3531,0.0241,1,0.3531
2025-06-24,2025|06,Campaign #1,22625352639,Tablets with full browsers,1,0,0,0,0,
2025-06-25,2025|06,Campaign #1,22625352639,Computers,51,0,0,0,0,
2025-06-25,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,65,0,0.1502,0,0,
2025-06-25,2025|06,Campaign #1,22625352639,Tablets with full browsers,2,0,0.0081,0,0,
2025-06-26,2025|06,Campaign #1,22625352639,Computers,47,0,0,0,0,
2025-06-26,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,34,0,0.0445,0,0,
2025-06-27,2025|06,Campaign #1,22625352639,Computers,45,1,0.0635,0.0222,1,0.0635
2025-06-27,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,58,0,0.0763,0,0,
2025-06-28,2025|06,Campaign #1,22625352639,Computers,18,1,0.02,0.0556,0,
2025-06-28,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,106,4,0.4645,0.0377,1,0.4645
2025-06-29,2025|06,Campaign #1,22625352639,Computers,14,0,0,0,0,
2025-06-29,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,82,3,0.2802,0.0366,10,0.028
2025-06-30,2025|06,Campaign #1,22625352639,Computers,60,1,0.0488,0.0167,0,
2025-06-30,2025|06,Campaign #1,22625352639,Mobile devices with full browsers,3173,97,14.1968,0.0306,88,0.1613
2025-06-30,2025|06,Campaign #1,22625352639,Tablets with full browsers,40,0,0.1751,0,0,
2025-07-01,2025|07,Campaign #1,22625352639,Computers,35,2,0.5594,0.0571,2,0.2797
2025-07-01,2025|07,Campaign #1,22625352639,Mobile devices with full browsers,12113,424,57.7971,0.035,195.02,0.2964
