Yearmonth,Campaignname,CampaignID,Device,Impressions,Clicks,Cost,Ctr,Conversions,CostPerConversion
2025|06,Campaign #1,22625352639,Computers,1749,43,63.5647,0.024585,22.0,2.8893
2025|06,Campaign #1,22625352639,Mobile devices with full browsers,7122,264,289.7331,0.037068,151.0,1.9188
2025|06,Campaign #1,22625352639,Tablets with full browsers,140,6,3.9661,0.042857,0.0,
2025|07,Campaign #1,22625352639,Computers,345,4,7.1034,0.011594,2.0,3.5517
2025|07,Campaign #1,22625352639,Mobile devices with full browsers,90762,3059,544.8974,0.033704,1679.01,0.3245
2025|07,Campaign #1,22625352639,Tablets with full browsers,325,10,1.6562,0.030769,1.0,1.6562
2025|07,Leads-Search-1,22767146837,Computers,1215,75,236.4072,0.061728,32.0,7.3877
2025|07,Leads-Search-1,22767146837,Mobile devices with full browsers,3495,207,515.9357,0.059227,76.0,6.7886
2025|07,Leads-Search-1,22767146837,Tablets with full browsers,70,8,22.29,0.114286,0.0,
2025|08,Leads-Search-1,22767146837,Computers,982,73,194.3258,0.074338,36.0,5.3979
2025|08,Leads-Search-1,22767146837,Mobile devices with full browsers,2663,191,461.8214,0.071724,73.0,6.3263
2025|08,Leads-Search-1,22767146837,Tablets with full browsers,30,2,3.4563,0.066667,0.0,
2026|04,Leads-Search-1,22767146837,Computers,355,16,48.2224,0.04507,1.0,48.2224
2026|04,Leads-Search-1,22767146837,Mobile devices with full browsers,793,52,137.9963,0.065574,15.0,9.1998
2026|04,Leads-Search-1,22767146837,Tablets with full browsers,12,0,0.0,0.0,0.0,
2026|05,Leads-Search-1,22767146837,Computers,339,18,54.5594,0.053097,11.0,4.9599
2026|05,Leads-Search-1,22767146837,Mobile devices with full browsers,771,63,135.6844,0.081712,9.0,15.076
2026|05,Leads-Search-1,22767146837,Tablets with full browsers,7,0,0.0,0.0,0.0,
2026|05,PNHdefense-Website traffic-Search-2,23888858069,Computers,7,1,0.01,0.142857,0.0,
2026|05,PNHdefense-Website traffic-Search-2,23888858069,Mobile devices with full browsers,14,0,0.0,0.0,0.0,
2026|06,Leads-Search-1,22767146837,Computers,5,0,0.0,0.0,0.0,
2026|06,Leads-Search-1,22767146837,Mobile devices with full browsers,48,4,24.0592,0.083333,0.02,1202.96
2026|06,PNHdefense-Website traffic-Search-2,23888858069,Computers,97,16,50.1355,0.164948,15.0,3.3424
2026|06,PNHdefense-Website traffic-Search-2,23888858069,Mobile devices with full browsers,150,19,60.8706,0.126667,6.0,10.1451
2026|07,Leads-Search-1,22767146837,Computers,2343,72,151.8386,0.03073,14.0,10.8456
2026|07,Leads-Search-1,22767146837,Mobile devices with full browsers,3913,232,469.371,0.05929,31.0,15.141
2026|07,Leads-Search-1,22767146837,Tablets with full browsers,40,5,5.0789,0.125,1.0,5.0789
2026|07,PNHdefense-Website traffic-Search-2,23888858069,Computers,24,7,20.42,0.291667,1.0,20.42
2026|07,PNHdefense-Website traffic-Search-2,23888858069,Mobile devices with full browsers,71,23,26.62,0.323944,4.21,6.323
2026|08,Leads-Search-1,22767146837,Computers,1092,43,86.9591,0.039377,2.0,43.4795
2026|08,Leads-Search-1,22767146837,Mobile devices with full browsers,4342,264,548.7449,0.060801,19.0,28.8813
2026|08,Leads-Search-1,22767146837,Tablets with full browsers,100,8,16.1342,0.08,1.0,16.1342
2026|09,Leads-Search-1,22767146837,Computers,273,9,20.06,0.032967,1.0,20.06
2026|09,Leads-Search-1,22767146837,Mobile devices with full browsers,1046,41,82.4062,0.039197,0.0,
2026|09,Leads-Search-1,22767146837,Tablets with full browsers,16,0,0.0,0.0,0.0,
