Yearmonth,Campaignname,CampaignID,Adgroupname,Gender,Impressions,Clicks,Cost,Conversions,AllConversions
2025|07,Leads-Search-1,22767146837,Ad group 1,Female,2504,166,461.2303,62,108
2025|07,Leads-Search-1,22767146837,Ad group 1,Male,500,27,59.6548,9,13
2025|07,Leads-Search-1,22767146837,Ad group 1,Undetermined,1776,97,253.7477,37,72
2025|08,Leads-Search-1,22767146837,Ad group 1,Female,2024,167,419.648,67,116
2025|08,Leads-Search-1,22767146837,Ad group 1,Male,417,26,67.2021,11,18
2025|08,Leads-Search-1,22767146837,Ad group 1,Undetermined,1234,73,172.7535,31,43
2026|04,Leads-Search-1,22767146837,Ad group 1,Female,606,41,114.0884,3,13
2026|04,Leads-Search-1,22767146837,Ad group 1,Male,178,11,28.98,11,20
2026|04,Leads-Search-1,22767146837,Ad group 1,Undetermined,376,16,43.1502,2,7
2026|05,Leads-Search-1,22767146837,Ad group 1,Female,589,52,130.0598,7,34
2026|05,Leads-Search-1,22767146837,Ad group 1,Male,120,6,14.0408,2,10
2026|05,Leads-Search-1,22767146837,Ad group 1,Undetermined,408,23,46.1432,11,17
2026|05,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,Female,4,1,0.01,0,0
2026|05,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,Undetermined,17,0,0,0,0
2026|06,Leads-Search-1,22767146837,Ad group 1,Female,39,2,14.9452,0.02,0.02
2026|06,Leads-Search-1,22767146837,Ad group 1,Male,4,0,0,0,0
2026|06,Leads-Search-1,22767146837,Ad group 1,Undetermined,10,2,9.114,0,0
2026|06,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,Female,83,14,55.3945,10,28
2026|06,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,Male,20,6,26.3752,0,3
2026|06,PNHdefense-Website traffic-Search-2,23888858069,Ad group 1,Undetermined,144,15,29.2366,11,37.01
2026|07,Leads-Search-1,22767146837,Functional & Integrative Medicine,Female,1297,57,142.6521,6,51
2026|07,Leads-Search-1,22767146837,Functional & Integrative Medicine,Male,327,15,27.54,0,21
2026|07,Leads-Search-1,22767146837,Functional & Integrative Medicine,Undetermined,947,30,52.9932,3,12
2026|07,Leads-Search-1,22767146837,Geo-Qualified — Hopkins & West Metro,Female,400,20,38.4975,3.5,18.5
2026|07,Leads-Search-1,22767146837,Geo-Qualified — Hopkins & West Metro,Male,147,9,21.6,1,9
