Date,Campaignname,CampaignID,Location,LocationType,Impressions,Clicks,Cost,Ctr,Conversions,CostPerConversion
2025-06-20,Campaign #1,22625352639,Minnesota,State,174,6,0.7006,0.0345,3,0.2335
2025-06-21,Campaign #1,22625352639,Minnesota,State,167,3,0.7952,0.018,1,0.7952
2025-06-22,Campaign #1,22625352639,Minnesota,State,23,0,0.0088,0,0,
2025-06-23,Campaign #1,22625352639,Minnesota,State,98,2,0.0952,0.0204,1,0.0952
2025-06-24,Campaign #1,22625352639,Minnesota,State,128,4,0.9302,0.0313,2,0.4651
2025-06-25,Campaign #1,22625352639,Minnesota,State,113,0,0.1504,0,0,
2025-06-26,Campaign #1,22625352639,Minnesota,State,75,0,0.0268,0,0,
2025-06-27,Campaign #1,22625352639,Minnesota,State,37,0,0.0072,0,0,
2025-06-27,Campaign #1,22625352639,Unknown location: 2483514420367,,53,1,0.1047,0.0189,1,0.1047
2025-06-28,Campaign #1,22625352639,Unknown location: 2483514420367,,124,5,0.4845,0.0403,1,0.4845
2025-06-29,Campaign #1,22625352639,Unknown location: 2483514420367,,96,3,0.2802,0.0313,10,0.028
2025-06-30,Campaign #1,22625352639,Unknown location: 2483514420367,,3273,98,14.4206,0.0299,88,0.1639
2025-07-01,Campaign #1,22625352639,Unknown location: 2483514420367,,12222,431,58.7273,0.0353,197.02,0.2981
2025-07-02,Campaign #1,22625352639,Unknown location: 2483514420367,,8582,297,41.2741,0.0346,223.02,0.1851
2025-07-03,Campaign #1,22625352639,Unknown location: 2483514420367,,6821,199,33.7492,0.0292,76.99,0.4384
2025-07-04,Campaign #1,22625352639,Unknown location: 2483514420367,,18368,614,117.7417,0.0334,474.75,0.248
2025-07-05,Campaign #1,22625352639,Unknown location: 2483514420367,,17989,531,125.41,0.0295,244.5,0.5129
2025-07-06,Campaign #1,22625352639,Unknown location: 2483514420367,,12087,474,67.0579,0.0392,377.73,0.1775
2025-07-07,Campaign #1,22625352639,Unknown location: 2483514420367,,8389,269,55.3267,0.0321,49,1.1291
2025-07-08,Campaign #1,22625352639,Unknown location: 2483514420367,,3747,179,29.164,0.0478,18,1.6202
2025-07-08,Leads-Search-1,22767146837,Minneapolis,City,1,1,0.6,1,1,0.6
2025-07-09,Campaign #1,22625352639,Unknown location: 2483514420367,,1,0,0,0,0,
2025-07-09,Leads-Search-1,22767146837,Eden Prairie,City,1,0,0,0,0,
2025-07-09,Leads-Search-1,22767146837,Edina,City,11,2,2.92,0.1818,1,2.92
2025-07-09,Leads-Search-1,22767146837,Hopkins,City,4,0,0,0,0,
2025-07-09,Leads-Search-1,22767146837,Minneapolis,City,15,0,0,0,0,
2025-07-09,Leads-Search-1,22767146837,Plymouth,City,3,0,0,0,0,
2025-07-10,Campaign #1,22625352639,Unknown location: 2483514420367,,17,0,0.0165,0,0,
2025-07-10,Leads-Search-1,22767146837,Eden Prairie,City,10,1,1.81,0.1,0,
2025-07-10,Leads-Search-1,22767146837,Edina,City,8,0,0,0,0,
2025-07-10,Leads-Search-1,22767146837,Hopkins,City,5,3,3.8129,0.6,0,
2025-07-10,Leads-Search-1,22767146837,Minneapolis,City,43,3,4.4318,0.0698,0,
2025-07-10,Leads-Search-1,22767146837,Plymouth,City,8,2,3.1,0.25,1,3.1
2025-07-11,Campaign #1,22625352639,Unknown location: 2483514420367,,78,1,0.1621,0.0128,0,
2025-07-11,Leads-Search-1,22767146837,Eden Prairie,City,9,0,0,0,0,
