Campaignname,DayofweekWithNum,Hour,Impressions,Clicks,Cost,Ctr,Conversions,CostPerConversion
Campaign #1,0 Sunday,00,727,32,4.3271,0.044017,44.0,0.0983
Campaign #1,0 Sunday,01,576,28,3.1973,0.048611,33.73,0.0948
Campaign #1,0 Sunday,02,405,20,2.3211,0.049383,20.0,0.1161
Campaign #1,0 Sunday,03,426,14,2.4216,0.032864,10.0,0.2422
Campaign #1,0 Sunday,04,299,10,1.8005,0.033445,9.0,0.2001
Campaign #1,0 Sunday,05,148,7,0.8828,0.047297,4.0,0.2207
Campaign #1,0 Sunday,06,127,2,0.8019,0.015748,2.0,0.401
Campaign #1,0 Sunday,07,171,5,1.1264,0.02924,5.0,0.2253
Campaign #1,0 Sunday,08,223,5,1.4018,0.022422,4.0,0.3504
Campaign #1,0 Sunday,09,473,11,3.1141,0.023256,9.02,0.3452
Campaign #1,0 Sunday,10,762,19,4.6074,0.024934,16.0,0.288
Campaign #1,0 Sunday,11,1283,41,7.586,0.031956,23.0,0.3298
Campaign #1,0 Sunday,12,1281,73,12.4714,0.056987,22.98,0.5427
Campaign #1,0 Sunday,13,810,37,10.3895,0.045679,23.0,0.4517
Campaign #1,0 Sunday,14,686,17,3.3997,0.024781,16.0,0.2125
Campaign #1,0 Sunday,15,552,20,2.8846,0.036232,13.0,0.2219
Campaign #1,0 Sunday,16,468,19,4.2065,0.040598,16.0,0.2629
Campaign #1,0 Sunday,17,425,19,2.1112,0.044706,10.0,0.2111
Campaign #1,0 Sunday,18,335,17,4.9957,0.050746,12.0,0.4163
Campaign #1,0 Sunday,19,349,16,3.3055,0.045845,18.0,0.1836
Campaign #1,0 Sunday,20,427,11,2.1263,0.025761,15.0,0.1418
Campaign #1,0 Sunday,21,520,17,3.4679,0.032692,18.0,0.1927
Campaign #1,0 Sunday,22,914,36,4.2647,0.039387,39.0,0.1094
Campaign #1,0 Sunday,23,336,16,1.616,0.047619,14.0,0.1154
Campaign #1,1 Monday,00,1001,33,4.9892,0.032967,24.0,0.2079
Campaign #1,1 Monday,01,509,19,2.558,0.037328,6.0,0.4263
Campaign #1,1 Monday,02,298,10,1.4153,0.033557,1.0,1.4153
Campaign #1,1 Monday,03,177,10,0.8807,0.056497,1.0,0.8807
Campaign #1,1 Monday,04,80,2,0.4187,0.025,0.0,
Campaign #1,1 Monday,05,55,2,0.2785,0.036364,0.0,
Campaign #1,1 Monday,06,41,2,0.2021,0.04878,2.0,0.1011
Campaign #1,1 Monday,07,47,2,0.1764,0.042553,1.0,0.1764
Campaign #1,1 Monday,08,77,3,0.2729,0.038961,0.0,
Campaign #1,1 Monday,09,66,3,0.2189,0.045455,1.0,0.2189
Campaign #1,1 Monday,10,583,17,14.5267,0.02916,3.0,4.8422
Campaign #1,1 Monday,11,1169,33,11.5118,0.028229,5.0,2.3024
Campaign #1,1 Monday,12,1405,57,8.1861,0.040569,1.0,8.1861
Campaign #1,1 Monday,13,2064,48,6.6779,0.023256,0.0,
Campaign #1,1 Monday,14,685,21,12.1977,0.030657,2.0,6.0988
Campaign #1,1 Monday,15,108,3,4.1967,0.027778,0.0,
Campaign #1,1 Monday,16,138,2,0.329,0.014493,0.0,
Campaign #1,1 Monday,17,192,6,0.6906,0.03125,2.0,0.3453
Campaign #1,1 Monday,18,29,1,0.031,0.034483,0.0,
Campaign #1,1 Monday,19,37,1,1.0875,0.027027,1.0,1.0875
Campaign #1,1 Monday,20,106,1,0.2342,0.009434,0.0,
Campaign #1,1 Monday,21,366,13,1.6985,0.035519,7.0,0.2426
Campaign #1,1 Monday,22,1234,35,5.5058,0.028363,32.0,0.1721
Campaign #1,1 Monday,23,1663,51,7.8282,0.030667,52.0,0.1505
Campaign #1,2 Tuesday,00,1848,74,9.1726,0.040043,56.0,0.1638
Campaign #1,2 Tuesday,01,1552,60,8.0811,0.03866,34.0,0.2377
Campaign #1,2 Tuesday,02,1070,43,5.4738,0.040187,26.0,0.2105
Campaign #1,2 Tuesday,03,575,12,2.792,0.02087,9.0,0.3102
Campaign #1,2 Tuesday,04,695,31,4.1142,0.044604,10.0,0.4114
