DayofweekWithNum,Hour,Impressions,Clicks,Cost,Ctr,Conversions,CostPerConversion
1 Monday,00,1124,40,18.0411,0.035587,24.0,0.7517
1 Monday,01,581,26,20.2011,0.04475,7.0,2.8859
1 Monday,02,353,12,6.4253,0.033994,1.0,6.4253
1 Monday,03,214,15,5.0707,0.070093,1.0,5.0707
1 Monday,04,114,3,1.9287,0.026316,0.0,
1 Monday,05,127,6,6.3785,0.047244,1.0,6.3785
1 Monday,06,137,8,21.2951,0.058394,6.0,3.5492
1 Monday,07,230,9,12.8638,0.03913,2.0,6.4319
1 Monday,08,336,19,32.7706,0.056548,1.0,32.7706
1 Monday,09,397,19,53.7189,0.047859,23.0,2.3356
1 Monday,10,966,37,64.2742,0.038302,5.02,12.8036
1 Monday,11,1581,53,61.1749,0.033523,9.0,6.7972
1 Monday,12,1819,86,79.6344,0.047279,5.0,15.9269
1 Monday,13,2350,64,46.2107,0.027234,8.0,5.7763
1 Monday,14,938,43,74.2292,0.045842,9.0,8.2477
1 Monday,15,332,23,46.9714,0.069277,7.0,6.7102
1 Monday,16,249,9,12.154,0.036145,2.0,6.077
1 Monday,17,327,14,17.673,0.042813,3.0,5.891
1 Monday,18,145,7,13.337,0.048276,3.0,4.4457
1 Monday,19,129,2,4.3975,0.015504,2.0,2.1987
1 Monday,20,201,7,9.6442,0.034826,1.0,9.6442
1 Monday,21,401,19,12.7351,0.047382,8.0,1.5919
1 Monday,22,1251,36,8.7258,0.028777,32.0,0.2727
1 Monday,23,1663,51,7.8282,0.030667,52.0,0.1505
2 Tuesday,00,1921,78,20.6126,0.040604,56.0,0.3681
2 Tuesday,01,1605,67,20.1111,0.041745,35.0,0.5746
2 Tuesday,02,1089,46,8.7838,0.042241,26.0,0.3378
2 Tuesday,03,612,15,6.0052,0.02451,9.0,0.6672
2 Tuesday,04,753,34,9.4866,0.045153,10.51,0.9026
2 Tuesday,05,647,26,18.7986,0.040185,10.0,1.8799
2 Tuesday,06,719,26,25.7627,0.036161,10.51,2.4513
2 Tuesday,07,1018,50,58.6792,0.049116,8.0,7.3349
2 Tuesday,08,1314,69,50.8434,0.052511,22.98,2.2125
2 Tuesday,09,1233,51,64.1645,0.041363,5.0,12.8329
2 Tuesday,10,1835,99,86.7466,0.053951,19.02,4.5608
2 Tuesday,11,1619,72,50.4022,0.044472,21.0,2.4001
2 Tuesday,12,1590,61,44.9917,0.038365,13.02,3.4556
2 Tuesday,13,1612,56,32.3601,0.034739,13.98,2.3147
2 Tuesday,14,1363,57,45.3343,0.04182,7.0,6.4763
2 Tuesday,15,551,28,38.9448,0.050817,7.98,4.8803
2 Tuesday,16,229,11,28.56,0.048035,6.0,4.76
2 Tuesday,17,131,7,11.3406,0.053435,2.0,5.6703
