Yearmonth,Campaignname,CampaignID,DayofweekWithNum,Hour,Impressions,Clicks,Cost,Ctr,Conversions,CostPerConversion
2025|06,Campaign #1,22625352639,0 Sunday,00,128,5,1.0269,0.039062,2.0,0.5135
2025|06,Campaign #1,22625352639,0 Sunday,01,10,0,0.0101,0.0,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,02,9,0,0.0314,0.0,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,03,7,0,0.0154,0.0,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,04,4,0,0.006,0.0,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,05,3,0,0.0019,0.0,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,06,5,0,0.0,0.0,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,07,8,0,0.0,0.0,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,08,14,0,0.0,0.0,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,09,21,0,0.0,0.0,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,10,28,0,0.0067,0.0,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,11,16,1,0.06,0.0625,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,12,21,2,5.3339,0.095238,1.0,5.3339
2025|06,Campaign #1,22625352639,0 Sunday,13,16,1,6.2825,0.0625,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,14,23,1,0.0157,0.043478,8.0,0.002
2025|06,Campaign #1,22625352639,0 Sunday,15,21,0,0.0198,0.0,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,16,17,2,1.8411,0.117647,4.0,0.4603
2025|06,Campaign #1,22625352639,0 Sunday,17,17,0,0.0253,0.0,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,18,20,1,3.3619,0.05,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,19,24,1,1.7028,0.041667,1.0,1.7028
2025|06,Campaign #1,22625352639,0 Sunday,20,19,1,0.0222,0.052632,1.0,0.0222
2025|06,Campaign #1,22625352639,0 Sunday,21,30,1,0.8825,0.033333,1.0,0.8825
2025|06,Campaign #1,22625352639,0 Sunday,22,17,0,0.0159,0.0,0.0,
2025|06,Campaign #1,22625352639,0 Sunday,23,6,0,0.0111,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,00,42,0,0.1333,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,01,15,0,0.0449,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,02,7,0,0.0128,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,03,5,0,0.0226,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,04,4,0,0.0083,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,05,4,0,0.0054,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,06,3,0,0.0,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,07,19,0,0.0,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,08,30,1,0.0145,0.033333,0.0,
2025|06,Campaign #1,22625352639,1 Monday,09,29,0,0.0,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,10,24,0,0.0046,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,11,35,0,0.0035,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,12,35,1,0.7179,0.028571,0.0,
2025|06,Campaign #1,22625352639,1 Monday,13,32,0,0.0277,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,14,28,4,10.0563,0.142857,2.0,5.0281
2025|06,Campaign #1,22625352639,1 Monday,15,48,2,4.0697,0.041667,0.0,
2025|06,Campaign #1,22625352639,1 Monday,16,29,0,0.03,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,17,31,1,0.0077,0.032258,2.0,0.0039
2025|06,Campaign #1,22625352639,1 Monday,18,25,0,0.0252,0.0,0.0,
2025|06,Campaign #1,22625352639,1 Monday,19,32,1,1.0875,0.03125,1.0,1.0875
2025|06,Campaign #1,22625352639,1 Monday,20,81,1,0.2117,0.012346,0.0,
2025|06,Campaign #1,22625352639,1 Monday,21,348,12,1.6917,0.034483,5.0,0.3383
2025|06,Campaign #1,22625352639,1 Monday,22,1196,33,4.8964,0.027592,31.0,0.1579
2025|06,Campaign #1,22625352639,1 Monday,23,1639,50,7.7138,0.030506,51.0,0.1513
2025|06,Campaign #1,22625352639,2 Tuesday,00,9,0,0.0065,0.0,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,01,14,0,0.0272,0.0,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,02,6,0,0.0304,0.0,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,03,2,0,0.0038,0.0,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,04,24,0,0.1168,0.0,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,05,12,1,1.95,0.083333,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,06,41,0,0.1643,0.0,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,07,43,1,2.9585,0.023256,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,08,32,0,0.0348,0.0,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,09,41,0,0.0135,0.0,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,10,33,0,0.0071,0.0,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,11,42,1,1.4657,0.02381,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,12,44,0,0.002,0.0,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,13,39,3,4.9508,0.076923,4.0,1.2377
2025|06,Campaign #1,22625352639,2 Tuesday,14,64,2,0.21,0.03125,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,15,54,3,3.3359,0.055556,2.0,1.668
2025|06,Campaign #1,22625352639,2 Tuesday,16,57,3,5.36,0.052632,2.0,2.68
2025|06,Campaign #1,22625352639,2 Tuesday,17,31,0,0.0306,0.0,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,18,23,1,0.4625,0.043478,1.0,0.4625
2025|06,Campaign #1,22625352639,2 Tuesday,19,34,0,0.0098,0.0,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,20,44,4,9.8032,0.090909,0.0,
2025|06,Campaign #1,22625352639,2 Tuesday,21,53,1,1.3,0.018868,2.0,0.65
2025|06,Campaign #1,22625352639,2 Tuesday,22,64,4,11.4422,0.0625,3.0,3.8141
2025|06,Campaign #1,22625352639,2 Tuesday,23,38,1,0.0931,0.026316,1.0,0.0931
2025|06,Campaign #1,22625352639,3 Wednesday,00,19,0,0.0,0.0,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,01,9,1,0.6234,0.111111,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,02,8,0,0.0035,0.0,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,03,9,1,2.3236,0.111111,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,04,14,1,3.8885,0.071429,4.0,0.9721
2025|06,Campaign #1,22625352639,3 Wednesday,05,23,2,5.2067,0.086957,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,06,34,3,2.5146,0.088235,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,07,60,4,5.39,0.066667,2.0,2.695
2025|06,Campaign #1,22625352639,3 Wednesday,08,71,1,1.3344,0.014085,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,09,95,3,9.8909,0.031579,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,10,85,3,6.7668,0.035294,1.0,6.7668
2025|06,Campaign #1,22625352639,3 Wednesday,11,86,3,9.2115,0.034884,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,12,74,2,7.3809,0.027027,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,13,88,2,0.2779,0.022727,1.0,0.2779
2025|06,Campaign #1,22625352639,3 Wednesday,14,84,1,1.3862,0.011905,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,15,92,5,26.3159,0.054348,2.0,13.1579
2025|06,Campaign #1,22625352639,3 Wednesday,16,46,1,0.9294,0.021739,1.0,0.9294
2025|06,Campaign #1,22625352639,3 Wednesday,17,29,3,15.769,0.103448,4.0,3.9423
2025|06,Campaign #1,22625352639,3 Wednesday,18,40,2,0.9329,0.05,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,19,48,0,0.0763,0.0,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,20,49,3,4.8069,0.061224,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,21,48,0,0.1386,0.0,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,22,76,2,2.8832,0.026316,0.0,
2025|06,Campaign #1,22625352639,3 Wednesday,23,36,1,0.1836,0.027778,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,00,25,0,0.1042,0.0,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,01,30,1,2.2526,0.033333,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,02,38,0,0.1489,0.0,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,03,33,0,0.1877,0.0,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,04,30,0,0.1611,0.0,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,05,39,0,0.2489,0.0,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,06,106,5,6.212,0.04717,3.0,2.0707
2025|06,Campaign #1,22625352639,4 Thursday,07,34,4,1.6029,0.117647,1.0,1.6029
2025|06,Campaign #1,22625352639,4 Thursday,08,34,2,1.0315,0.058824,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,09,34,0,0.0083,0.0,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,10,69,3,4.6515,0.043478,2.0,2.3257
2025|06,Campaign #1,22625352639,4 Thursday,11,62,2,1.4965,0.032258,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,12,62,1,5.463,0.016129,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,13,66,2,1.2549,0.030303,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,14,52,3,4.6157,0.057692,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,15,77,3,4.2363,0.038961,1.0,4.2363
2025|06,Campaign #1,22625352639,4 Thursday,16,47,0,0.0247,0.0,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,17,37,3,2.362,0.081081,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,18,31,1,2.6859,0.032258,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,19,41,3,2.7523,0.073171,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,20,53,5,6.729,0.09434,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,21,46,0,0.0555,0.0,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,22,41,3,2.1801,0.073171,0.0,
2025|06,Campaign #1,22625352639,4 Thursday,23,35,5,6.9202,0.142857,0.0,
2025|06,Campaign #1,22625352639,5 Friday,00,30,1,0.1434,0.033333,0.0,
2025|06,Campaign #1,22625352639,5 Friday,01,19,0,0.0664,0.0,0.0,
2025|06,Campaign #1,22625352639,5 Friday,02,18,0,0.0575,0.0,0.0,
2025|06,Campaign #1,22625352639,5 Friday,03,9,1,0.0192,0.111111,2.0,0.0096
2025|06,Campaign #1,22625352639,5 Friday,04,2,0,0.0157,0.0,0.0,
2025|06,Campaign #1,22625352639,5 Friday,05,14,2,3.5974,0.142857,0.0,
2025|06,Campaign #1,22625352639,5 Friday,06,17,0,0.0336,0.0,0.0,
2025|06,Campaign #1,22625352639,5 Friday,07,32,1,1.4608,0.03125,0.0,
2025|06,Campaign #1,22625352639,5 Friday,08,27,1,0.4409,0.037037,0.0,
2025|06,Campaign #1,22625352639,5 Friday,09,49,2,5.9796,0.040816,1.0,5.9796
2025|06,Campaign #1,22625352639,5 Friday,10,77,5,2.0207,0.064935,1.0,2.0207
2025|06,Campaign #1,22625352639,5 Friday,11,114,2,1.8075,0.017544,0.0,
2025|06,Campaign #1,22625352639,5 Friday,12,108,5,2.3717,0.046296,0.0,
2025|06,Campaign #1,22625352639,5 Friday,13,56,4,1.5012,0.071429,2.0,0.7506
2025|06,Campaign #1,22625352639,5 Friday,14,40,2,14.1998,0.05,0.0,
2025|06,Campaign #1,22625352639,5 Friday,15,26,3,3.4877,0.115385,1.0,3.4877
2025|06,Campaign #1,22625352639,5 Friday,16,24,2,1.3773,0.083333,0.0,
2025|06,Campaign #1,22625352639,5 Friday,17,26,0,0.0,0.0,0.0,
2025|06,Campaign #1,22625352639,5 Friday,18,11,4,17.46,0.363636,0.0,
2025|06,Campaign #1,22625352639,5 Friday,19,21,2,2.5545,0.095238,0.0,
2025|06,Campaign #1,22625352639,5 Friday,20,20,0,0.0032,0.0,0.0,
2025|06,Campaign #1,22625352639,5 Friday,21,30,1,0.7946,0.033333,0.0,
2025|06,Campaign #1,22625352639,5 Friday,22,36,1,4.1125,0.027778,3.0,1.3708
2025|06,Campaign #1,22625352639,5 Friday,23,18,0,0.0164,0.0,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,00,151,9,3.6147,0.059603,3.0,1.2049
2025|06,Campaign #1,22625352639,6 Saturday,01,46,3,1.3698,0.065217,2.0,0.6849
2025|06,Campaign #1,22625352639,6 Saturday,02,24,0,0.0961,0.0,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,03,19,2,0.6133,0.105263,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,04,11,0,0.0138,0.0,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,05,7,0,0.0048,0.0,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,06,11,0,0.0021,0.0,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,07,24,3,4.861,0.125,1.0,4.861
2025|06,Campaign #1,22625352639,6 Saturday,08,28,2,5.7442,0.071429,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,09,17,1,5.9505,0.058824,4.0,1.4876
2025|06,Campaign #1,22625352639,6 Saturday,10,36,0,0.0268,0.0,1.0,0.0268
2025|06,Campaign #1,22625352639,6 Saturday,11,18,0,0.0039,0.0,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,12,29,3,3.8766,0.103448,2.0,1.9383
2025|06,Campaign #1,22625352639,6 Saturday,13,27,1,0.1174,0.037037,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,14,34,3,1.7427,0.088235,3.0,0.5809
2025|06,Campaign #1,22625352639,6 Saturday,15,90,2,0.5797,0.022222,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,16,28,1,0.4197,0.035714,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,17,34,2,0.0612,0.058824,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,18,22,1,0.6226,0.045455,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,19,21,1,0.8516,0.047619,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,20,22,0,0.0259,0.0,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,21,28,0,0.027,0.0,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,22,32,1,1.4063,0.03125,0.0,
2025|06,Campaign #1,22625352639,6 Saturday,23,14,2,0.8532,0.142857,0.0,
2025|07,Campaign #1,22625352639,0 Sunday,00,599,27,3.3002,0.045075,42.0,0.0786
2025|07,Campaign #1,22625352639,0 Sunday,01,566,28,3.1872,0.04947,33.73,0.0945
2025|07,Campaign #1,22625352639,0 Sunday,02,396,20,2.2897,0.050505,20.0,0.1145
2025|07,Campaign #1,22625352639,0 Sunday,03,419,14,2.4062,0.033413,10.0,0.2406
2025|07,Campaign #1,22625352639,0 Sunday,04,295,10,1.7945,0.033898,9.0,0.1994
2025|07,Campaign #1,22625352639,0 Sunday,05,145,7,0.8809,0.048276,4.0,0.2202
2025|07,Campaign #1,22625352639,0 Sunday,06,122,2,0.8019,0.016393,2.0,0.401
2025|07,Campaign #1,22625352639,0 Sunday,07,163,5,1.1264,0.030675,5.0,0.2253
2025|07,Campaign #1,22625352639,0 Sunday,08,209,5,1.4018,0.023923,4.0,0.3504
2025|07,Campaign #1,22625352639,0 Sunday,09,452,11,3.1141,0.024336,9.02,0.3452
2025|07,Campaign #1,22625352639,0 Sunday,10,734,19,4.6007,0.025886,16.0,0.2875
2025|07,Campaign #1,22625352639,0 Sunday,11,1267,40,7.526,0.031571,23.0,0.3272
2025|07,Campaign #1,22625352639,0 Sunday,12,1260,71,7.1375,0.056349,21.98,0.3247
2025|07,Campaign #1,22625352639,0 Sunday,13,794,36,4.107,0.04534,23.0,0.1786
2025|07,Campaign #1,22625352639,0 Sunday,14,663,16,3.384,0.024133,8.0,0.423
2025|07,Campaign #1,22625352639,0 Sunday,15,531,20,2.8648,0.037665,13.0,0.2204
2025|07,Campaign #1,22625352639,0 Sunday,16,451,17,2.3654,0.037694,12.0,0.1971
2025|07,Campaign #1,22625352639,0 Sunday,17,408,19,2.0859,0.046569,10.0,0.2086
2025|07,Campaign #1,22625352639,0 Sunday,18,315,16,1.6338,0.050794,12.0,0.1361
2025|07,Campaign #1,22625352639,0 Sunday,19,325,15,1.6027,0.046154,17.0,0.0943
2025|07,Campaign #1,22625352639,0 Sunday,20,408,10,2.1041,0.02451,14.0,0.1503
2025|07,Campaign #1,22625352639,0 Sunday,21,490,16,2.5854,0.032653,17.0,0.1521
2025|07,Campaign #1,22625352639,0 Sunday,22,897,36,4.2488,0.040134,39.0,0.1089
2025|07,Campaign #1,22625352639,0 Sunday,23,330,16,1.6049,0.048485,14.0,0.1146
2025|07,Campaign #1,22625352639,1 Monday,00,959,33,4.8559,0.034411,24.0,0.2023
2025|07,Campaign #1,22625352639,1 Monday,01,494,19,2.5131,0.038462,6.0,0.4189
2025|07,Campaign #1,22625352639,1 Monday,02,291,10,1.4025,0.034364,1.0,1.4025
2025|07,Campaign #1,22625352639,1 Monday,03,172,10,0.8581,0.05814,1.0,0.8581
2025|07,Campaign #1,22625352639,1 Monday,04,76,2,0.4104,0.026316,0.0,
2025|07,Campaign #1,22625352639,1 Monday,05,51,2,0.2731,0.039216,0.0,
2025|07,Campaign #1,22625352639,1 Monday,06,38,2,0.2021,0.052632,2.0,0.1011
2025|07,Campaign #1,22625352639,1 Monday,07,28,2,0.1764,0.071429,1.0,0.1764
2025|07,Campaign #1,22625352639,1 Monday,08,47,2,0.2584,0.042553,0.0,
2025|07,Campaign #1,22625352639,1 Monday,09,37,3,0.2189,0.081081,1.0,0.2189
2025|07,Campaign #1,22625352639,1 Monday,10,559,17,14.5221,0.030411,3.0,4.8407
2025|07,Campaign #1,22625352639,1 Monday,11,1134,33,11.5083,0.029101,5.0,2.3017
2025|07,Campaign #1,22625352639,1 Monday,12,1370,56,7.4682,0.040876,1.0,7.4682
2025|07,Campaign #1,22625352639,1 Monday,13,2032,48,6.6502,0.023622,0.0,
2025|07,Campaign #1,22625352639,1 Monday,14,657,17,2.1414,0.025875,0.0,
2025|07,Campaign #1,22625352639,1 Monday,15,60,1,0.127,0.016667,0.0,
2025|07,Campaign #1,22625352639,1 Monday,16,109,2,0.299,0.018349,0.0,
2025|07,Campaign #1,22625352639,1 Monday,17,161,5,0.6829,0.031056,0.0,
2025|07,Campaign #1,22625352639,1 Monday,18,4,1,0.0058,0.25,0.0,
2025|07,Campaign #1,22625352639,1 Monday,19,5,0,0.0,0.0,0.0,
2025|07,Campaign #1,22625352639,1 Monday,20,25,0,0.0225,0.0,0.0,
2025|07,Campaign #1,22625352639,1 Monday,21,18,1,0.0068,0.055556,2.0,0.0034
2025|07,Campaign #1,22625352639,1 Monday,22,38,2,0.6094,0.052632,1.0,0.6094
2025|07,Campaign #1,22625352639,1 Monday,23,24,1,0.1144,0.041667,1.0,0.1144
2025|07,Campaign #1,22625352639,2 Tuesday,00,1839,74,9.1661,0.040239,56.0,0.1637
2025|07,Campaign #1,22625352639,2 Tuesday,01,1538,60,8.0539,0.039012,34.0,0.2369
2025|07,Campaign #1,22625352639,2 Tuesday,02,1064,43,5.4434,0.040414,26.0,0.2094
2025|07,Campaign #1,22625352639,2 Tuesday,03,573,12,2.7882,0.020942,9.0,0.3098
2025|07,Campaign #1,22625352639,2 Tuesday,04,671,31,3.9974,0.0462,10.0,0.3997
2025|07,Campaign #1,22625352639,2 Tuesday,05,562,18,2.901,0.032028,10.0,0.2901
2025|07,Campaign #1,22625352639,2 Tuesday,06,535,13,2.5622,0.024299,4.0,0.6406
