Date,Campaignname,CampaignID,Impressions,Cost,reported_SearchImpressionShare,SearchBudgetLostImpressionShare,SearchRankLostImpressionShare,sum_of_three,implied_true_SIS_1_minus_lost,reported_is_floored,overstatement_pp
2025-07-08,Leads-Search-1,22767146837,1,0.6,0.0999,0.0,0.9001,1.0,0.0999,YES,0.0
2025-07-09,Leads-Search-1,22767146837,34,2.92,0.1169,0.0,0.8831,1.0,0.1169,no,
2025-07-10,Leads-Search-1,22767146837,74,13.1546,0.1275,0.0,0.8725,1.0,0.1275,no,
2025-07-11,Leads-Search-1,22767146837,178,27.3625,0.209,0.0,0.791,1.0,0.209,no,
2025-07-12,Leads-Search-1,22767146837,301,60.2447,0.2955,0.0,0.7045,1.0,0.2955,no,
2025-07-13,Leads-Search-1,22767146837,389,90.2687,0.1797,0.0137,0.8066,1.0,0.1797,no,
2025-07-14,Leads-Search-1,22767146837,477,76.716,0.1095,0.4151,0.4754,1.0,0.1095,no,
2025-07-15,Leads-Search-1,22767146837,445,69.6542,0.0999,0.4684,0.4351,1.0034,0.0965,YES,0.34
2025-07-16,Leads-Search-1,22767146837,443,68.5085,0.0999,0.0,0.9001,1.0,0.0999,YES,0.0
2025-07-17,Leads-Search-1,22767146837,514,58.6542,0.1074,0.0096,0.883,1.0,0.1074,no,
2025-07-18,Leads-Search-1,22767146837,341,63.6183,0.1177,0.2525,0.6298,1.0,0.1177,no,
2025-07-19,Leads-Search-1,22767146837,363,60.5027,0.1462,0.0117,0.8421,1.0,0.1462,no,
2025-07-20,Leads-Search-1,22767146837,356,52.3723,0.1392,0.0,0.8608,1.0,0.1392,no,
2025-07-21,Leads-Search-1,22767146837,393,68.3701,0.1098,0.4348,0.4554,1.0,0.1098,no,
2025-07-22,Leads-Search-1,22767146837,424,53.036,0.1114,0.0319,0.8567,1.0,0.1114,no,
2025-07-23,Leads-Search-1,22767146837,47,8.65,0.1444,0.2193,0.6364,1.0001,0.1443,no,
2025-08-04,Leads-Search-1,22767146837,137,39.7635,0.4706,0.0,0.5294,1.0,0.4706,no,
2025-08-05,Leads-Search-1,22767146837,263,63.9844,0.194,0.4298,0.3763,1.0001,0.1939,no,
2025-08-06,Leads-Search-1,22767146837,408,53.0589,0.2594,0.2444,0.4963,1.0001,0.2593,no,
2025-08-07,Leads-Search-1,22767146837,299,52.089,0.1195,0.7342,0.1463,1.0,0.1195,no,
2025-08-08,Leads-Search-1,22767146837,182,43.2141,0.0999,0.5285,0.4017,1.0301,0.0698,YES,3.01
2025-08-09,Leads-Search-1,22767146837,303,51.8656,0.1565,0.0,0.8435,1.0,0.1565,no,
2025-08-10,Leads-Search-1,22767146837,274,55.2142,0.1218,0.2984,0.5798,1.0,0.1218,no,
2025-08-11,Leads-Search-1,22767146837,354,47.9589,0.1454,0.4914,0.3632,1.0,0.1454,no,
2025-08-12,Leads-Search-1,22767146837,189,40.4246,0.1271,0.3577,0.5152,1.0,0.1271,no,
2025-08-22,Leads-Search-1,22767146837,7,0,0.6,0.0,0.4,1.0,0.6,no,
2025-08-23,Leads-Search-1,22767146837,251,37.6892,0.2854,0.0,0.7146,1.0,0.2854,no,
2025-08-24,Leads-Search-1,22767146837,499,88.756,0.2866,0.0,0.7134,1.0,0.2866,no,
2025-08-25,Leads-Search-1,22767146837,304,41.3895,0.1272,0.7866,0.0862,1.0,0.1272,no,
2025-08-26,Leads-Search-1,22767146837,182,37.2757,0.1133,0.8244,0.0622,0.9999,0.1134,no,
2025-08-27,Leads-Search-1,22767146837,23,6.92,0.2034,0.7627,0.0339,1.0,0.2034,no,
2026-04-27,Leads-Search-1,22767146837,83,20.1602,0.625,0.0,0.375,1.0,0.625,no,
2026-04-28,Leads-Search-1,22767146837,259,78.1172,0.1347,0.6622,0.2031,1.0,0.1347,no,
2026-04-29,Leads-Search-1,22767146837,427,56.1412,0.0999,0.5465,0.3867,1.0331,0.0668,YES,3.31
2026-04-30,Leads-Search-1,22767146837,391,31.8,0.0999,0.5687,0.3945,1.0631,0.0368,YES,6.31
2026-05-01,Leads-Search-1,22767146837,205,34.53,0.0999,0.0462,0.8624,1.0085,0.0914,YES,0.85
2026-05-02,Leads-Search-1,22767146837,146,27.9011,0.0999,0.4038,0.5183,1.022,0.0779,YES,2.2
2026-05-03,Leads-Search-1,22767146837,176,30.3096,0.1211,0.3006,0.5783,1.0,0.1211,no,
2026-05-04,Leads-Search-1,22767146837,171,27.92,0.1085,0.0,0.8915,1.0,0.1085,no,
2026-05-12,Leads-Search-1,22767146837,125,19.4408,0.4403,0.0,0.5597,1.0,0.4403,no,
2026-05-13,Leads-Search-1,22767146837,285,45.8413,0.1252,0.389,0.4858,1.0,0.1252,no,
2026-05-29,PNHdefense-Website traffic-Search-2,23888858069,7,0,0.5833,0.0833,0.3333,0.9999,0.5834,no,
2026-05-30,Leads-Search-1,22767146837,9,4.301,0.75,0.0,0.25,1.0,0.75,no,
2026-05-30,PNHdefense-Website traffic-Search-2,23888858069,8,0,0.4286,0.0714,0.5,1.0,0.4286,no,
2026-05-31,PNHdefense-Website traffic-Search-2,23888858069,6,0.01,1.0,0.0,0.0,1.0,1.0,no,
2026-06-01,PNHdefense-Website traffic-Search-2,23888858069,6,0,1.0,0.0,0.0,1.0,1.0,no,
2026-06-02,PNHdefense-Website traffic-Search-2,23888858069,9,10.501,0.625,0.0,0.375,1.0,0.625,no,
2026-06-03,PNHdefense-Website traffic-Search-2,23888858069,20,0,0.75,0.0,0.25,1.0,0.75,no,
2026-06-04,PNHdefense-Website traffic-Search-2,23888858069,10,5.38,0.5,0.5,0.0,1.0,0.5,no,
2026-06-05,PNHdefense-Website traffic-Search-2,23888858069,4,0,1.0,0.0,0.0,1.0,1.0,no,
2026-06-06,PNHdefense-Website traffic-Search-2,23888858069,6,3.85,1.0,0.0,0.0,1.0,1.0,no,
2026-06-07,PNHdefense-Website traffic-Search-2,23888858069,4,0,1.0,0.0,0.0,1.0,1.0,no,
2026-06-08,PNHdefense-Website traffic-Search-2,23888858069,10,4.8416,1.0,0.0,0.0,1.0,1.0,no,
2026-06-09,PNHdefense-Website traffic-Search-2,23888858069,2,0,1.0,0.0,0.0,1.0,1.0,no,
2026-06-10,Leads-Search-1,22767146837,53,24.0592,0.5918,0.0612,0.3469,0.9999,0.5919,no,
2026-06-10,PNHdefense-Website traffic-Search-2,23888858069,22,15.6555,0.9231,0.0,0.0769,1.0,0.9231,no,
2026-06-11,PNHdefense-Website traffic-Search-2,23888858069,2,1.895,1.0,0.0,0.0,1.0,1.0,no,
2026-06-12,PNHdefense-Website traffic-Search-2,23888858069,11,7.1989,1.0,0.0,0.0,1.0,1.0,no,
2026-06-13,PNHdefense-Website traffic-Search-2,23888858069,5,7.3041,1.0,0.0,0.0,1.0,1.0,no,
2026-06-14,PNHdefense-Website traffic-Search-2,23888858069,2,0,1.0,0.0,0.0,1.0,1.0,no,
2026-06-15,PNHdefense-Website traffic-Search-2,23888858069,20,4,1.0,0.0,0.0,1.0,1.0,no,
2026-06-16,PNHdefense-Website traffic-Search-2,23888858069,11,2.69,1.0,0.0,0.0,1.0,1.0,no,
2026-06-17,PNHdefense-Website traffic-Search-2,23888858069,6,2.25,0.75,0.0,0.25,1.0,0.75,no,
2026-06-18,PNHdefense-Website traffic-Search-2,23888858069,27,0.77,0.6957,0.0,0.3043,1.0,0.6957,no,
2026-06-19,PNHdefense-Website traffic-Search-2,23888858069,9,5.56,1.0,0.0,0.0,1.0,1.0,no,
2026-06-20,PNHdefense-Website traffic-Search-2,23888858069,3,4.87,1.0,0.0,0.0,1.0,1.0,no,
2026-06-21,PNHdefense-Website traffic-Search-2,23888858069,4,0,1.0,0.0,0.0,1.0,1.0,no,
2026-06-22,PNHdefense-Website traffic-Search-2,23888858069,4,5.45,1.0,0.0,0.0,1.0,1.0,no,
2026-06-23,PNHdefense-Website traffic-Search-2,23888858069,3,0,0.5,0.0,0.5,1.0,0.5,no,
2026-06-24,PNHdefense-Website traffic-Search-2,23888858069,6,2.53,1.0,0.0,0.0,1.0,1.0,no,
2026-06-25,PNHdefense-Website traffic-Search-2,23888858069,8,0.67,1.0,0.0,0.0,1.0,1.0,no,
2026-06-26,PNHdefense-Website traffic-Search-2,23888858069,14,2.01,1.0,0.0,0.0,1.0,1.0,no,
2026-06-28,PNHdefense-Website traffic-Search-2,23888858069,6,12,1.0,0.0,0.0,1.0,1.0,no,
2026-06-29,PNHdefense-Website traffic-Search-2,23888858069,6,11.58,1.0,0.0,0.0,1.0,1.0,no,
2026-06-30,PNHdefense-Website traffic-Search-2,23888858069,7,0,1.0,0.0,0.0,1.0,1.0,no,
2026-07-01,PNHdefense-Website traffic-Search-2,23888858069,2,0,1.0,0.0,0.0,1.0,1.0,no,
2026-07-02,PNHdefense-Website traffic-Search-2,23888858069,4,1.91,1.0,0.0,0.0,1.0,1.0,no,
2026-07-03,Leads-Search-1,22767146837,110,13.38,0.3676,0.6216,0.0108,1.0,0.3676,no,
2026-07-03,PNHdefense-Website traffic-Search-2,23888858069,4,8.75,1.0,0.0,0.0,1.0,1.0,no,
2026-07-04,Leads-Search-1,22767146837,145,13.39,0.1481,0.7963,0.0556,1.0,0.1481,no,
2026-07-04,PNHdefense-Website traffic-Search-2,23888858069,2,2.32,1.0,0.0,0.0,1.0,1.0,no,
2026-07-05,Leads-Search-1,22767146837,115,12.4965,0.1753,0.8084,0.0162,0.9999,0.1754,no,
2026-07-05,PNHdefense-Website traffic-Search-2,23888858069,11,3.45,1.0,0.0,0.0,1.0,1.0,no,
2026-07-06,Leads-Search-1,22767146837,200,10.06,0.0999,0.9001,0.0,1.0,0.0999,YES,0.0
2026-07-07,Leads-Search-1,22767146837,89,9.7603,0.0999,0.9001,0.0,1.0,0.0999,YES,0.0
2026-07-07,PNHdefense-Website traffic-Search-2,23888858069,6,7.43,1.0,0.0,0.0,1.0,1.0,no,
2026-07-08,Leads-Search-1,22767146837,319,13.3779,0.0999,0.9001,0.0027,1.0027,0.0972,YES,0.27
2026-07-08,PNHdefense-Website traffic-Search-2,23888858069,9,4.23,1.0,0.0,0.0,1.0,1.0,no,
2026-07-09,Leads-Search-1,22767146837,424,14.22,0.1001,0.73,0.1698,0.9999,0.1002,no,
2026-07-10,Leads-Search-1,22767146837,332,15.56,0.1343,0.7247,0.141,1.0,0.1343,no,
2026-07-10,PNHdefense-Website traffic-Search-2,23888858069,5,0.59,1.0,0.0,0.0,1.0,1.0,no,
2026-07-11,Leads-Search-1,22767146837,232,11.56,0.1183,0.2012,0.6805,1.0,0.1183,no,
2026-07-11,PNHdefense-Website traffic-Search-2,23888858069,2,1.3,1.0,0.0,0.0,1.0,1.0,no,
2026-07-12,Leads-Search-1,22767146837,303,14.715,0.1439,0.0,0.8561,1.0,0.1439,no,
2026-07-12,PNHdefense-Website traffic-Search-2,23888858069,4,1.02,1.0,0.0,0.0,1.0,1.0,no,
2026-07-13,Leads-Search-1,22767146837,338,21.1382,0.0999,0.5678,0.3385,1.0062,0.0937,YES,0.62
2026-07-13,PNHdefense-Website traffic-Search-2,23888858069,6,9.66,1.0,0.0,0.0,1.0,1.0,no,
2026-07-14,Leads-Search-1,22767146837,284,21.2335,0.1003,0.5477,0.352,1.0,0.1003,no,
2026-07-14,PNHdefense-Website traffic-Search-2,23888858069,5,0,0.8,0.0,0.2,1.0,0.8,no,
2026-07-15,Leads-Search-1,22767146837,135,7.9515,0.0999,0.8367,0.0776,1.0142,0.0857,YES,1.42
2026-07-15,PNHdefense-Website traffic-Search-2,23888858069,6,0.62,1.0,0.0,0.0,1.0,1.0,no,
2026-07-16,Leads-Search-1,22767146837,259,15.5055,0.1087,0.5064,0.385,1.0001,0.1086,no,
2026-07-16,PNHdefense-Website traffic-Search-2,23888858069,4,2.4,0.6667,0.0,0.3333,1.0,0.6667,no,
2026-07-17,Leads-Search-1,22767146837,91,37.7589,0.0999,0.9001,0.0,1.0,0.0999,YES,0.0
2026-07-17,PNHdefense-Website traffic-Search-2,23888858069,3,0.11,0.4,0.0,0.6,1.0,0.4,no,
2026-07-18,Leads-Search-1,22767146837,198,30.3218,0.0999,0.9001,0.0077,1.0077,0.0922,YES,0.77
2026-07-18,PNHdefense-Website traffic-Search-2,23888858069,2,0.54,1.0,0.0,0.0,1.0,1.0,no,
2026-07-19,Leads-Search-1,22767146837,89,32.1711,0.0999,0.9001,0.0,1.0,0.0999,YES,0.0
2026-07-19,PNHdefense-Website traffic-Search-2,23888858069,16,2.18,0.8889,0.0,0.1111,1.0,0.8889,no,
2026-07-20,Leads-Search-1,22767146837,187,23.5601,0.0999,0.9001,0.0047,1.0047,0.0952,YES,0.47
2026-07-20,PNHdefense-Website traffic-Search-2,23888858069,4,0.53,0.5,0.0,0.5,1.0,0.5,no,
2026-07-21,Leads-Search-1,22767146837,237,22.3126,0.0999,0.9001,0.0041,1.0041,0.0958,YES,0.41
2026-07-22,Leads-Search-1,22767146837,112,23.6955,0.0999,0.9001,0.0012,1.0012,0.0987,YES,0.12
2026-07-23,Leads-Search-1,22767146837,55,26.1341,0.0999,0.9001,0.0038,1.0038,0.0961,YES,0.38
2026-07-24,Leads-Search-1,22767146837,119,25.49,0.1044,0.8773,0.0183,1.0,0.1044,no,
2026-07-25,Leads-Search-1,22767146837,223,29.7047,0.1475,0.7723,0.0802,1.0,0.1475,no,
2026-07-26,Leads-Search-1,22767146837,188,31.1947,0.1119,0.8296,0.0585,1.0,0.1119,no,
2026-07-27,Leads-Search-1,22767146837,183,20.8665,0.0999,0.898,0.0093,1.0072,0.0927,YES,0.72
2026-07-28,Leads-Search-1,22767146837,190,21.8061,0.0999,0.9001,0.0185,1.0185,0.0814,YES,1.85
