Campaignname,CampaignID,Campaignstatus,Adgroupname,AdgroupID,Adgroupstatus,Keyword,KeywordID,Matchtype,Keywordstatus,SystemServingStatus,Isnegative,Currencycode,MaxCPCCurrency,Qualityscore,SearchPredictedCtr,CreativeQualityScore,PostClickQualityScore,TopOfPageCpc,FirstpageCPC,FirstPositionCpc,EstimatedAddClicksAtFirstPositionCpc,EstimatedAddCostAtFirstPositionCpc,TrackingUrlTemplate,keywordlabels,Impressions,Clicks,interactions,engagements,Cost,Ctr,CPC,CPM,interactionrate,CostPerInteraction,Conversions,CostPerConversion,ConversionRate,ConversionValue,ROAS,EstimatedTotalConversions,EstimatedTotalConversionValue,EstimatedTotalConversionRate,CostPerAllConversion,SearchImpressionShare,SearchExactMatchImpressionShare,SearchBudgetLostImpressionShare,SearchRankLostImpressionShare,SearchTopImpressionShare,SearchAbsoluteTopImpressionShare,SearchRankLostTopImpressionShare,SearchRankLostAbsoluteTopImpressionShare,SearchBudgetLostTopImpressionShare,SearchBudgetLostAbsoluteTopImpressionShare,TopImpressionPercentage,AbsoluteTopImpressionPercentage,TotalAvailableImpressions,LostImpressions,LostImpressionsDueToRank
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,holistic dr near me,296740931208,Broad,enabled,Eligible,False,USD,0.01,,,,,2.61,2.61,,,,,,4591,261,261,0,703.1351,0.0569,2.694,153.1551,0.0569,2.694,98,7.1748,0.3755,98,0.1394,193,193,0.7395,3.6432,0.1314,0.4677,0,0.6146,0.1,0.0999,0.64,0.71,0.25,0.25,0.76,0.28,31599,27446,19421
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,naturopathic doctor near me,296621012791,Broad,enabled,Eligible,False,USD,0.01,,,,,4.87,2.72,,,,,,1899,155,155,0,400.7403,0.0816,2.5854,211.027,0.0816,2.5854,32,12.5231,0.2065,32,0.0799,78,78,0.5032,5.1377,0.1433,0.2615,0,0.4197,0.11,0.0999,0.45,0.51,0.44,0.44,0.76,0.31,12364,10592,5190
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,integrative medicine near me,312654897788,Broad,enabled,Eligible,False,USD,0.01,,,,,2.95,2.68,,,,,,1480,106,106,0,243.6471,0.0716,2.2986,164.6264,0.0716,2.2986,42,5.8011,0.3962,42,0.1724,73,73,0.6887,3.3376,0.1263,0.6087,0,0.4096,0.1,0.0999,0.43,0.5,0.47,0.47,0.8,0.29,10995,9606,4503
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medicine,10957761,Broad,removed,,False,USD,0,,,,,,,,,,,,989,61,61,0,113.9878,0.0617,1.8687,115.2557,0.0617,1.8687,7,16.284,0.1148,263,2.3073,34,290,0.5574,3.3526,0.0999,0.0999,0,0.081,0.1,0.0999,0.09,0.11,0.88,0.88,0.72,0.21,8238,7415,668
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,women's health naturopath,303396160999,Broad,removed,,False,USD,0,,,,,,,,,,,,765,43,43,0,108.5072,0.0562,2.5234,141.8394,0.0562,2.5234,7,15.501,0.1628,261,2.4054,30,284,0.6977,3.6169,0.0999,,0,0.0706,0.1,0.0999,0.08,0.09,0.9,0.9,0.65,0.21,7167,6451,506
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,naturopathic doctor near me,44833314052,Exact,enabled,Eligible,False,USD,0.01,,,,,4.87,2.72,,,,,,507,39,39,0,107.8714,0.0769,2.7659,212.7642,0.0769,2.7659,19.5,5.5319,0.5,19.5,0.1808,34.5,34.5,0.8846,3.1267,0.455,0.455,0,0.3523,0.36,0.1679,0.43,0.62,0.21,0.21,0.78,0.37,1105,602,389
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medicine near me,325505212743,Broad,removed,,False,USD,0,,,,,,,,,,,,667,45,45,0,91.7726,0.0675,2.0394,137.5901,0.0675,2.0394,3.98,23.0584,0.0884,193.43,2.1077,48.95,287.41,1.0878,1.8748,0.0999,0.0999,0,0.0829,0.1,0.0999,0.09,0.1,0.9,0.9,0.65,0.18,6266,5640,520
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,hormone doctor near me,297217478090,Broad,removed,,False,USD,0,,,,,,,,,,,,473,30,30,0,77.0927,0.0634,2.5698,162.9867,0.0634,2.5698,3.5,22.0265,0.1167,67.5,0.8756,11.5,75.5,0.3833,6.7037,0.0999,0.1053,0,0.1072,0.1,0.0999,0.12,0.13,0.86,0.86,0.64,0.2,3984,3586,427
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2457285929674,Broad,enabled,Eligible,False,USD,0.01,,,,,1.51,1.29,,,,,,444,24,24,0,70.9954,0.0541,2.9581,159.8995,0.0541,2.9581,15,4.733,0.625,15,0.2113,19,19,0.7917,3.7366,0.1092,0.6216,0,0.4552,0.1,0.0999,0.47,0.52,0.44,0.44,0.84,0.39,3882,3458,1767
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2457285927994,Broad,enabled,Eligible,False,USD,0.01,,,,,1.51,1.29,,,,,,378,23,23,0,61.771,0.0608,2.6857,163.4152,0.0608,2.6857,4,15.4427,0.1739,4,0.0648,10,10,0.4348,6.1771,0.0999,0.4167,0,0.4535,0.1,0.0999,0.47,0.5,0.47,0.47,0.79,0.36,3684,3316,1671
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,natural pediatrician near me,352635961367,Broad,enabled,Eligible,False,USD,0.01,,,,,4.05,2.16,,,,,,350,25,25,0,56.5047,0.0714,2.2602,161.442,0.0714,2.2602,10,5.6505,0.4,10,0.177,12,12,0.48,4.7087,0.0999,0.1765,0,0.7731,0.1,0.0999,0.79,0.82,0.17,0.17,0.67,0.17,3253,2928,2515
