Adgroupname,AdgroupID,Adgroupstatus,AdgroupMaxCPC,Keyword,Matchtype,KeywordID,Keywordstatus,status_source,active_today,LifetimeImpressions,LifetimeClicks,LifetimeCost,LifetimeConversions,Qualityscore,SystemServingStatus
Functional & Integrative Medicine,198432290338,ENABLED,1.9,best functional doctor near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Functional & Integrative Medicine,198432290338,ENABLED,1.9,best functional doctors near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Functional & Integrative Medicine,198432290338,ENABLED,1.9,functional integrative medicine near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Functional & Integrative Medicine,198432290338,ENABLED,1.9,functional medical doctors,Phrase,311258286897,enabled,KeywordView report,YES,2,1,1.81,0,,Eligible
Functional & Integrative Medicine,198432290338,ENABLED,1.9,functional medicine,Phrase,44794693,enabled,KeywordView report,YES,14,0,0,0,7,Eligible
Functional & Integrative Medicine,198432290338,ENABLED,1.9,functional medicine clinic near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Functional & Integrative Medicine,198432290338,ENABLED,1.9,functional medicine doctors near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Functional & Integrative Medicine,198432290338,ENABLED,1.9,functional medicine near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Functional & Integrative Medicine,198432290338,ENABLED,1.9,functional medicine practice near me,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Functional & Integrative Medicine,198432290338,ENABLED,1.9,functional medicine practitioner,Phrase,10477182709,enabled,KeywordView report,YES,3,0,0,0,,Eligible
Functional & Integrative Medicine,198432290338,ENABLED,1.9,functional medicine practitioner in my area,Broad,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Functional & Integrative Medicine,198432290338,ENABLED,1.9,integrative health near me,Phrase,441297710576,enabled,KeywordView report,YES,2,0,0,0,,Eligible
Functional & Integrative Medicine,198432290338,ENABLED,1.9,integrative medicine near me,Phrase,312654900388,enabled,KeywordView report,YES,15,0,0,0,5,Eligible
Functional & Integrative Medicine,198432290338,ENABLED,1.9,functional doctor in my area,Broad,322898019488,paused,KeywordView report,,246,7,10.2509,1,,Eligible
Functional & Integrative Medicine,198432290338,ENABLED,1.9,functional integrative doctor,Broad,321395752246,paused,KeywordView report,,240,9,14.44,0,,Eligible
Functional & Integrative Medicine,198432290338,ENABLED,1.9,functional medicine doctors in my area,Broad,466935651506,paused,KeywordView report,,168,3,7.23,0,6,Eligible
Functional & Integrative Medicine,198432290338,ENABLED,1.9,integrative medicine doctors in my area,Broad,839460690233,paused,KeywordView report,,212,8,16.8097,0.02,,Eligible
Geo-Qualified — Hopkins & West Metro,200485717907,ENABLED,2.6,functional medicine doctor hopkins,Phrase,2495044224613,enabled,KeywordView report,YES,0,0,0,0,,Rarely served
Geo-Qualified — Hopkins & West Metro,200485717907,ENABLED,2.6,functional medicine doctor minnetonka,Phrase,2395103740971,enabled,KeywordView report,YES,2,0,0,0,,Eligible
Geo-Qualified — Hopkins & West Metro,200485717907,ENABLED,2.6,holistic doctor Hopkins MN,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
Geo-Qualified — Hopkins & West Metro,200485717907,ENABLED,2.6,holistic healthcare Minneapolis,Phrase,,enabled,"inferred (exists in campaign, not in paused set)",YES,0,0,0,0,,
