Yearmonth,Campaignname,Adgroupname,AdgroupID,Adgroupstatus,Keyword,KeywordID,Matchtype,Keywordstatus,HistoricalSearchPredictedCtr,HistoricalCreativeQualityScore,HistoricalLandingPageQualityScore,HistoricalQualityScore,HistoricalSearchPredictedCtr_metric,HistoricalCreativeQualityScore_metric,HistoricalLandingPageQualityScore_metric,Impressions,Clicks,Cost,Conversions
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,alternative medicine doctors near me,296836537601,Broad,enabled,,,,0,,,,138,10,20.9919,3
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,holistic dr near me,296740931208,Broad,enabled,,,,0,,,,3583,208,566.9152,82
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2431240508818,Phrase,enabled,Below average,Average,Above average,6,-1,1,2,67,5,12.15,4
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654900388,Phrase,enabled,Below average,Below average,Above average,5,-1,-1,2,11,1,4.24,0
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,men's health naturopath,943798649025,Broad,enabled,,,,0,,,,177,9,17.8525,3
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,301055025575,Phrase,enabled,Below average,Below average,Below average,1,-1,-1,-1,2,0,0,0
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,natural pediatrician near me,352635961367,Broad,enabled,,,,0,,,,348,24,55.2347,4
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2431240508378,Phrase,enabled,Below average,Above average,Above average,7,-1,2,2,89,8,27.28,8.5
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,44833314052,Exact,enabled,Below average,Below average,Above average,5,-1,-1,2,205,13,34.7103,1.5
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic dr near me,295411384059,Broad,enabled,,,,0,,,,107,7,21.2647,0
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic family medicine,357829242134,Phrase,enabled,,,,0,,,,1,0,0,0
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,pediatric naturopath,298624063855,Broad,enabled,,,,0,,,,2,0,0,0
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,pediatric naturopath near me,547692999832,Broad,enabled,Below average,Below average,Average,3,-1,-1,1,2,0,0,0
2025|07,Leads-Search-1,Ad group 1,183759893484,removed,women's health naturopath,303396160999,Broad,enabled,,,,0,,,,48,5,13.9935,2
2025|08,Leads-Search-1,Ad group 1,183759893484,removed,alternative medicine doctors near me,296836537601,Broad,enabled,,,,0,,,,29,3,4.83,0
2025|08,Leads-Search-1,Ad group 1,183759893484,removed,best naturopathic doctor near me,296836537841,Broad,enabled,,,,0,,,,3,0,0,0
2025|08,Leads-Search-1,Ad group 1,183759893484,removed,holistic doctor Hopkins MN,2431677352035,Broad,enabled,,,,0,,,,2,0,0,0
2025|08,Leads-Search-1,Ad group 1,183759893484,removed,holistic dr near me,296740931208,Broad,enabled,,,,0,,,,780,42,110.1417,16
2025|08,Leads-Search-1,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2431240508818,Phrase,enabled,Below average,Average,Above average,,-1,1,2,0,0,0,0
2025|08,Leads-Search-1,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2457285927994,Broad,enabled,Below average,Average,Above average,6,-1,1,2,181,19,50.971,4
2025|08,Leads-Search-1,Ad group 1,183759893484,removed,holistic pediatricians near me,352635960607,Broad,enabled,,,,0,,,,19,1,1.28,0
2025|08,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654897788,Broad,enabled,Below average,Below average,Above average,5,-1,-1,2,1084,81,185.47,33
