Campaignname,Adgroupname,AdgroupID,Adgroupstatus,Keyword,KeywordID,Matchtype,Keywordstatus,SystemServingStatus,MaxCPCCurrency,LifetimeCost,LifetimeClicks,LifetimeImpressions,LifetimeConversions,LifetimeAllConversions,Ctr,CPC,Qualityscore,impressions_but_never_clicked,never_served,can_serve_today,months_active,first_month,last_month
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,integrative medicine near me,312654897788,Broad,removed,,0,47.2688,20,283,0,7,0.0707,2.3634,,,,,2,2026|07,2026|08
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,functional medicine for hormones,1437762701452,Broad,paused,Eligible,2.6,42.0038,18,240,0,4,0.075,2.3335,,,,,3,2026|07,2026|09
Leads-Search-1,Naturopath Near Me — Core,201177654927,enabled,naturopaths in my area,468484996471,Broad,paused,Eligible,2.5,23.95,10,239,0,1,0.0418,2.395,,,,,3,2026|07,2026|09
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,female naturopath,754004406845,Broad,paused,Eligible,2.6,23.145,9,184,0,0,0.0489,2.5717,,,,,2,2026|08,2026|09
Leads-Search-1,Ad group 1,183759893484,removed,naturopathic dr near me,295411384059,Broad,enabled,Eligible,0.01,21.2647,7,107,0,2,0.0654,3.0378,,,,,1,2025|07,2025|07
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional doctor,6450933240,Broad,removed,,0,21.1424,9,184,0,7,0.0489,2.3492,,,,,1,2026|07,2026|07
Leads-Search-1,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,naturopathic doctor Minneapolis,2431240508378,Phrase,enabled,Eligible,2.6,20.5537,8,77,0,7,0.1039,2.5692,8,,,YES,3,2026|07,2026|09
PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,haley panka,584357309429,Phrase,enabled,Eligible,0.01,17.86,5,25,0,4,0.2,3.572,9,,,,2,2026|06,2026|07
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional holistic medicine,571407136794,Broad,removed,,0,17.7471,5,87,0,3,0.0575,3.5494,,,,,2,2026|07,2026|08
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,natural functional doctor,1656993030415,Broad,removed,,0,15.7951,9,134,0,0,0.0672,1.755,,,,,2,2026|07,2026|08
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,integrative doctor,671679616,Broad,removed,,0,14.6886,6,95,0,0,0.0632,2.4481,,,,,1,2026|07,2026|07
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional integrative doctor,321395752246,Broad,paused,Eligible,1.9,14.44,9,240,0,1,0.0375,1.6044,,,,,3,2026|07,2026|09
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medical clinic,302737127452,Broad,removed,,0,13.3323,4,78,0,2,0.0513,3.3331,,,,,1,2026|07,2026|07
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medicines,356292017233,Broad,removed,,0,11.9083,3,40,0,0,0.075,3.9694,,,,,1,2026|07,2026|07
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,naturopath for hormones,361975724615,Broad,paused,Eligible,2.6,11.2774,5,177,0,1,0.0282,2.2555,,,,,3,2026|07,2026|09
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medical physician,298906613408,Broad,removed,,0,10.1679,6,131,0,3,0.0458,1.6946,,,,,1,2026|07,2026|07
Leads-Search-1,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,natural medicine Minnesota,2457285928234,Broad,removed,,0,9.4,4,244,0,6,0.0164,2.35,,,,,1,2026|07,2026|07
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,integrated and functional medicine,1567976204040,Broad,removed,,0,9.0968,3,36,0,0,0.0833,3.0323,,,,,1,2026|07,2026|07
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medicine clinic near me,629327041832,Broad,removed,,0,8.7,4,92,0,1,0.0435,2.175,,,,,3,2026|07,2026|09
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,natural help for menopause,298084176236,Broad,removed,,0,8.62,3,108,0,0,0.0278,2.8733,,,,,1,2026|08,2026|08
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,functional medicine hormones,422395640608,Broad,paused,Eligible,2.6,7.59,5,45,0,2,0.1111,1.518,,,,,2,2026|07,2026|08
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medicine practitioner,303254433014,Broad,removed,,0,7.26,4,90,0,0,0.0444,1.815,,,,,2,2026|08,2026|09
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medicine doctors in my area,466935651506,Broad,paused,Eligible,1.9,7.23,3,168,0,0,0.0179,2.41,6,,,,2,2026|07,2026|08
Leads-Search-1,Men's Health,201177674047,enabled,male medical clinic near me,783507827476,Broad,paused,Eligible,1.3,7.2298,4,36,0,0,0.1111,1.8074,,,,,2,2026|07,2026|08
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,perimenopause doctor near me,879175999408,Phrase,enabled,Eligible,2.6,6.42,3,24,0,0,0.125,2.14,5,,,YES,3,2026|07,2026|09
PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,dr jacob panka,1997189022924,Exact,enabled,Rarely served,0.01,5.37,2,6,0,0,0.3333,2.685,,,,,1,2026|06,2026|06
PNHdefense-Website traffic-Search-2,Ad group 1,196283052145,enabled,dr panka,933585970059,Exact,enabled,Eligible,0.01,5.13,2,5,0,0,0.4,2.565,6,,,,1,2026|06,2026|06
Leads-Search-1,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,functional medicine doctor eden prairie,1416410840771,Broad,removed,,0,4.87,2,78,0,0,0.0256,2.435,,,,,2,2026|07,2026|08
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,natural help for menopause,322912570731,Phrase,enabled,Eligible,2.6,4.82,2,20,0,0,0.1,2.41,,,,YES,2,2026|07,2026|08
Leads-Search-1,Men's Health,201177674047,enabled,male primary care doctors near me,322930161988,Broad,paused,Eligible,1.3,4.68,2,13,0,0,0.1538,2.34,,,,,2,2026|07,2026|08
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,best functional doctors near me,1079104736352,Broad,removed,,0,4.52,2,59,0,1,0.0339,2.26,,,,,2,2026|07,2026|08
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,holistic hormone doctor near me,825924214050,Phrase,enabled,Eligible,2.6,4.43,1,2,0,0,0.5,4.43,5,,,YES,1,2026|07,2026|07
Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654900388,Phrase,enabled,Eligible,0.01,4.24,1,11,0,0,0.0909,4.24,,,,,1,2025|07,2025|07
Leads-Search-1,Ad group 1,183759893484,removed,functional medicine near me,325505212743,Broad,enabled,Eligible,0.01,4.07,2,31,0,7,0.0645,2.035,,,,,2,2026|05,2026|06
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,naturopath for endometriosis,359506051186,Phrase,enabled,Eligible,2.6,4,2,2,0,0,1,2,,,,YES,1,2026|08,2026|08
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medical doctors,298829237476,Broad,removed,,0,3.75,2,29,0,0,0.069,1.875,,,,,3,2026|07,2026|09
Leads-Search-1,Men's Health,201177674047,enabled,men's health naturopath,943798649025,Broad,removed,,0,3.6877,8,73,0,0,0.1096,0.461,,,,,2,2026|07,2026|08
Leads-Search-1,Men's Health,201177674047,enabled,holistic doctor for men near me,2405800260956,Broad,removed,,0,3.52,3,42,0,0,0.0714,1.1733,,,,,2,2026|07,2026|08
