scope,day_of_week,hour,within_ad_schedule,scheduled_window,Impressions,Clicks,Cost,Conversions
LeadsSearch1_mondays_last60d,Monday,00,NO,07:00-20:00,39,0,0.0,0.0
LeadsSearch1_mondays_last60d,Monday,01,NO,07:00-20:00,41,4,10.3871,1.0
LeadsSearch1_mondays_last60d,Monday,02,NO,07:00-20:00,29,2,5.01,0.0
LeadsSearch1_mondays_last60d,Monday,03,NO,07:00-20:00,13,1,0.37,0.0
LeadsSearch1_mondays_last60d,Monday,04,NO,07:00-20:00,9,0,0.0,0.0
LeadsSearch1_mondays_last60d,Monday,05,NO,07:00-20:00,26,1,1.1,0.0
LeadsSearch1_mondays_last60d,Monday,06,NO,07:00-20:00,31,3,5.4772,1.0
LeadsSearch1_mondays_last60d,Monday,07,yes,07:00-20:00,91,5,6.4774,1.0
LeadsSearch1_mondays_last60d,Monday,08,yes,07:00-20:00,121,5,7.17,0.0
LeadsSearch1_mondays_last60d,Monday,09,yes,07:00-20:00,129,5,16.43,0.0
LeadsSearch1_mondays_last60d,Monday,10,yes,07:00-20:00,198,12,26.2202,1.02
LeadsSearch1_mondays_last60d,Monday,11,yes,07:00-20:00,174,9,19.8664,0.0
LeadsSearch1_mondays_last60d,Monday,12,yes,07:00-20:00,173,14,31.2964,1.0
LeadsSearch1_mondays_last60d,Monday,13,yes,07:00-20:00,112,6,10.869,0.0
LeadsSearch1_mondays_last60d,Monday,14,yes,07:00-20:00,127,4,3.3,0.0
LeadsSearch1_mondays_last60d,Monday,15,yes,07:00-20:00,102,12,21.9547,0.0
LeadsSearch1_mondays_last60d,Monday,16,yes,07:00-20:00,36,2,2.6367,0.0
LeadsSearch1_mondays_last60d,Monday,17,yes,07:00-20:00,76,3,5.42,0.0
LeadsSearch1_mondays_last60d,Monday,18,yes,07:00-20:00,67,3,5.876,2.0
LeadsSearch1_mondays_last60d,Monday,19,yes,07:00-20:00,66,1,3.31,1.0
LeadsSearch1_mondays_since_schedule_2026-08-17,Monday,00,NO,07:00-20:00,6,0,0.0,0.0
LeadsSearch1_mondays_since_schedule_2026-08-17,Monday,01,NO,07:00-20:00,1,0,0.0,0.0
LeadsSearch1_mondays_since_schedule_2026-08-17,Monday,02,NO,07:00-20:00,2,1,2.82,0.0
LeadsSearch1_mondays_since_schedule_2026-08-17,Monday,05,NO,07:00-20:00,1,0,0.0,0.0
LeadsSearch1_mondays_since_schedule_2026-08-17,Monday,06,NO,07:00-20:00,4,1,2.29,1.0
LeadsSearch1_mondays_since_schedule_2026-08-17,Monday,07,yes,07:00-20:00,21,0,0.0,0.0
LeadsSearch1_mondays_since_schedule_2026-08-17,Monday,08,yes,07:00-20:00,36,2,3.84,0.0
LeadsSearch1_mondays_since_schedule_2026-08-17,Monday,09,yes,07:00-20:00,19,4,10.12,0.0
