Campaignname,CampaignID,AssetGroupID,AssetGroupName,AssetGroupStatus,AssetID,AssetFieldType,AssetType,AssetSource,AssetText,YouTubeVideoID,YouTubeVideoTitle,FullSizeImageURL
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242745280235,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/1307867415405606462
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242745455150,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/10180829732860796042
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242745455156,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/131587475647060760
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242745455189,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/16634715002387277664
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242745687164,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/17271146845488052283
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242745905939,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/13345460838002406397
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242745922064,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/3400865750281009813
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242746453382,Landscape logo,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/1713530262497305500
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242746603427,YouTube video,YouTube video,Advertiser,,B5Naf08R6pA,"Welcome to Panka Natural Health – Your Path to Personalized, Integrative Healthcare",
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242816664067,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/14799272431116426619
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242816677309,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/354455239185987733
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242817070015,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/10451823213301243684
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242817094894,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/2343022661589788341
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242817103246,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/378777997263674057
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242817134806,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/13425745706313445375
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242817218335,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/11514805319088448200
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242817404932,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/11659853226149509460
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242817422230,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/16216933090792402630
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242817869314,Logo,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/17270171315266801514
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242857152012,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/5008492856888675487
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242857244754,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/17025119663974669564
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242857365546,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/17398549883161050286
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242857365555,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/3524779764360756479
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989359,Headline,Text,Advertiser,West Metro Naturopathic Drs,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989362,Headline,Text,Advertiser,Drs. Panka: ND Team,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989365,Headline,Text,Advertiser,Local In-Person Care,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989368,Headline,Text,Advertiser,Evidence-Based Wellness,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989371,Headline,Text,Advertiser,Advanced Lab Testing Here,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989374,Headline,Text,Advertiser,Quality Supplement Experts,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989377,Headline,Text,Advertiser,Your Path to True Health,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989380,Headline,Text,Advertiser,Personalized Care Plans,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989383,Headline,Text,Advertiser,Dedicated Naturopathic Team,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989386,Headline,Text,Advertiser,Book Free Intro Consult,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989389,Headline,Text,Advertiser,West Suburbs' Trusted NDs,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989392,Headline,Text,Advertiser,Science-Backed Natural Care,,,
