Date,Yearmonth,DayOfWeek,Campaignname,CampaignID,Campaignstatus,CampaignPrimaryStatusReasons,assetGroupId,assetGroupName,assetGroupStatus,ad_strength,ConversionTypeName,ConversionCategory,ConversionTrackerId,Conversions,ConversionValue,AllConversions,AllConversionValue,CrossDeviceConversions
2025-06-03,2025|06,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,4.0,4.0,4.0,4.0,2.0
2025-06-03,2025|06,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,1.0,1.0,1.0,1.0,0.0
2025-06-04,2025|06,3 Wednesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Local actions - Website visits,Page view,7157480846,0.0,0.0,1.0,1.0,0.0
2025-06-04,2025|06,3 Wednesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,1.0,1.0,1.0,1.0,0.0
2025-06-05,2025|06,4 Thursday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,1.0,1.0,1.0,1.0,0.0
2025-06-05,2025|06,4 Thursday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,1.0,1.0,1.0,1.0,0.0
2025-06-05,2025|06,4 Thursday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,1.0,1.0,1.0,1.0,0.0
2025-06-05,2025|06,4 Thursday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,1.0,1.0,1.0,1.0,0.0
2025-06-06,2025|06,5 Friday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,1.0,1.0,1.0,1.0,0.0
2025-06-06,2025|06,5 Friday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Local actions - Other engagements,Engagement,7160506736,0.0,0.0,4.0,4.0,0.0
2025-06-06,2025|06,5 Friday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Local actions - Website visits,Page view,7157480846,0.0,0.0,3.0,3.0,0.0
2025-06-06,2025|06,5 Friday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,1.0,1.0,1.0,1.0,0.0
2025-06-06,2025|06,5 Friday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,1.0,1.0,1.0,1.0,0.0
2025-06-07,2025|06,6 Saturday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,5.0,5.0,5.0,5.0,0.0
2025-06-07,2025|06,6 Saturday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,4.0,4.0,4.0,4.0,0.0
2025-06-07,2025|06,6 Saturday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,1.0,1.0,1.0,1.0,0.0
2025-06-07,2025|06,6 Saturday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,1.0,1.0,1.0,1.0,0.0
