Yearmonth,Campaignname,assetGroupName,ConversionTypeName,ConversionCategory,ConversionTrackerId,Conversions,AllConversions
2025|06,Campaign #1,Asset Group 1,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,84.0,88.0
2025|06,Campaign #1,Asset Group 1,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,55.0,55.0
2025|06,Campaign #1,Asset Group 1,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,20.0,20.0
2025|06,Campaign #1,Asset Group 1,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,14.0,14.0
2025|06,Campaign #1,Asset Group 1,Local actions - Website visits,Page view,7157480846,0.0,15.0
2025|06,Campaign #1,Asset Group 1,Local actions - Other engagements,Engagement,7160506736,0.0,37.0
2025|06,Campaign #1,Asset Group 1,Local actions - Menu views,Page view,7169930375,0.0,2.0
2025|06,Campaign #1,Asset Group 1,Local actions - Directions,Get directions,7180867432,0.0,2.0
2025|07,Campaign #1,Asset Group 1,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,1006.0,1130.0
2025|07,Campaign #1,Asset Group 1,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,622.0,622.0
2025|07,Campaign #1,Asset Group 1,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,34.0,41.0
2025|07,Campaign #1,Asset Group 1,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,20.0,22.0
