Campaignname,CampaignID,Adgroupname,AdgroupID,AdID,Adtype,Adstatus,Adapprovalstatus,ad_strength,finalURL,HeadlineCount,DescriptionCount,ResponsiveSearchAdPath1,ResponsiveSearchAdPath2,ResponsiveSearchAdHeadline1,ResponsiveSearchAdHeadline2,ResponsiveSearchAdHeadline3,ResponsiveSearchAdHeadline4,ResponsiveSearchAdHeadline5,ResponsiveSearchAdHeadline6,ResponsiveSearchAdHeadline7,ResponsiveSearchAdHeadline8,ResponsiveSearchAdHeadline9,ResponsiveSearchAdHeadline10,ResponsiveSearchAdHeadline11,ResponsiveSearchAdHeadline12,ResponsiveSearchAdHeadline13,ResponsiveSearchAdHeadline14,ResponsiveSearchAdHeadline15,ResponsiveSearchAdDescription1,ResponsiveSearchAdDescription2,ResponsiveSearchAdDescription3,ResponsiveSearchAdDescription4,ResponsiveSearchAdDescription5,LifetimeImpressions,LifetimeClicks,LifetimeCost,LifetimeConversions
Leads-Search-1,22767146837,Ad group 1,183759893484,762584793075,Responsive search ad,Paused,Approved,Average,https://pankanaturalhealth.com,15,4,Hopkins-MN,Free-Intro-Call,Dr. Panka Hopkins MN,Naturopathic Doctors,Naturopaths in Hopkins MN,Free 10-Min Intro Call,Trusted Since 2018,Husband-Wife Naturopaths,Women's Health,Lab-Driven Care Plans,Pediatric Care,Same-Week Appointments,Evidence-Informed Care,Hormone Specialist,MN & WI Telehealth,HSA/FSA Accepted,Twin Cities Holistic Doctors,Naturopathic doctors in Hopkins MN. Free 10-min intro call. In-person or telehealth.,"Naturopathic care for women, men, and kids. Hormones, gut, metabolic & heart health.",Drs. Haley & Jacob Panka. Evidence-informed naturopathic care. HSA/FSA & cash-pay.,"Root-cause naturopathy. Hormone balance, gut, metabolic, heart. Hopkins MN clinic.",,10785,709,1834.758,253.02
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,812633205835,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,15,4,,,"Functional Medicine, Hopkins","Integrative, Root-Cause Care",Functional Lab Testing,Find the Root Cause,"Your Labs, Fully Explained",Two-Hour First Visits,A Doctor Who Listens,Free 10-Min Intro Call,Evidence-Informed Care,"No Membership, No Monthly Fee",MN & WI Telehealth,HSA/FSA Accepted,Trusted Since 2018,Same-Week Appointments,Lab-Driven Care Plans,"A root-cause, functional lens: detailed labs, unhurried visits, and a clear plan.","Functional lab testing beyond the annual physical — hormones, gut, thyroid, metabolic.",Two full hours on your case. Evidence-informed care from doctors who listen.,"Cash-pay clinic, HSA/FSA accepted. No membership. Telehealth across MN & WI.",,3802,168,322.5503,14.0
Leads-Search-1,22767146837,Functional & Integrative Medicine,198432290338,817264881560,Responsive search ad,Paused,Approved,Pending,https://www.pankanaturalhealth.com/,15,4,,,Functional Medicine Clinic,Integrative Medicine Doctors,Functional Care in Hopkins,"Normal Labs, Still Unwell?",Not a 15-Minute Visit,Accepting New Patients,Functional Medicine Doctors,Two-Hour First Visits,Free 10-Min Intro Call,Beyond the Annual Physical,Hopkins & West Metro Clinic,HSA/FSA & Cash-Pay Clinic,Functional Medicine Near You,Minneapolis Functional Care,"Gut, Thyroid & Fatigue Care","Integrative medicine in Hopkins — conventional insight plus natural therapies, one plan.",Creating health with science and nature. Root-cause evaluation with functional labs.,Unhurried integrative care from a husband-wife ND team. Free 10-minute intro call.,Whole-person integrative medicine for the west metro. In person or MN & WI telehealth.,,1350,79,190.9282,3.0
Leads-Search-1,22767146837,Geo-Qualified — Hopkins & West Metro,200485717907,812704345088,Responsive search ad,Enabled,Approved,Excellent,https://www.pankanaturalhealth.com/,15,4,,,"Naturopath in Hopkins, MN",Hopkins & West Metro Clinic,Serving Minnetonka & Edina,Eden Prairie & St Louis Park,Downtown Hopkins Clinic,Family-Owned Since 2018,Free 10-Min Intro Call,A Doctor Who Listens,Two-Hour First Visits,"No Membership, No Monthly Fee",Same-Week Appointments,MN & WI Telehealth,HSA/FSA Accepted,Root-Cause Naturopathic Care,Evidence-Informed Care,"Naturopathic clinic in downtown Hopkins — minutes from Minnetonka, Edina & St. Louis Park.","West-metro families choose unhurried, root-cause care. Free 10-minute intro call.",Drs. Haley & Jacob Panka. Evidence-informed naturopathic care. HSA/FSA & cash-pay.,"Family-owned in Hopkins since 2018. No membership, no monthly fee.",,847,52,100.7935,8.5
Leads-Search-1,22767146837,Geo-Qualified — Hopkins & West Metro,200485717907,817157599125,Responsive search ad,Paused,Approved,Pending,https://www.pankanaturalhealth.com/,15,4,,,Your West Metro Naturopath,Two-Hour First Visits,MN & WI Telehealth,Minneapolis Holistic Doctors,"No Membership, No Monthly Fee","Local, Family-Owned Clinic",Care Close to Home,A Doctor Who Listens,Free 10-Min Intro Call,Root-Cause Natural Care,Hopkins & West Metro NDs,Same-Week Appointments,Minneapolis Naturopath,"Naturopathic Doctors, MN",HSA/FSA Accepted,"Your neighborhood naturopathic clinic — downtown Hopkins, minutes from the west metro.",Skip the drive across town. Root-cause naturopathic care close to home since 2018.,Drs. Haley & Jacob Panka live and practice in the west metro. Free 10-minute intro call.,"In-person care in Hopkins, MN, with telehealth available across Minnesota & Wisconsin.",,241,4,12.09,0.0
Leads-Search-1,22767146837,Men's Health,201177674047,812601575949,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/mens-health,15,4,,,"Dr. Jacob Panka, ND",Hopkins Clinic + Telehealth,Men's Naturopathic Doctor,"Low Testosterone, Naturally",Tired of Running on Empty?,Two-Hour First Visits,Metabolic & Heart Health,Told Everything's Normal?,Evidence-Informed Care,HSA/FSA Accepted,"No Membership, No Monthly Fee",MN & WI Telehealth,Low Energy? Check the Labs,Natural Prostate Support,Prostate & PSA Questions?,"Energy, hormones, metabolic and heart health — root-cause care for men.","Functional lab testing beyond the annual physical, explained in plain language.",Two unhurried hours on your whole picture. Free 10-minute intro call to start.,"Cash-pay clinic, HSA/FSA accepted. In person in Hopkins or telehealth in MN & WI.",,489,31,29.8252,4.51
Leads-Search-1,22767146837,Men's Health,201177674047,817157424693,Responsive search ad,Enabled,Approved,Poor,https://www.pankanaturalhealth.com/mens-health,12,4,,,Tired of Running on Empty?,Low Energy? Check the Labs,Told Everything's Normal?,Men's Hormone & Energy Labs,Get Your Numbers Explained,Root-Cause Men's Health,"Data First, Plan Second","Dr. Jacob Panka, ND",Free 10-Min Intro Call,Metabolic & Heart Health,"Straight Answers, No Rush",Hopkins Clinic + Telehealth,,,,"Low energy, poor sleep, stubborn weight? We run deeper labs and explain every number.","Root-cause men's health — hormones, metabolic and heart markers, and a practical plan.","Two unhurried hours with Dr. Jacob Panka, ND. Free 10-minute intro call to start.","No memberships, no upsells. Straightforward care in Hopkins or MN & WI telehealth.",,206,32,31.5562,2.0
Leads-Search-1,22767146837,Naturopath Near Me — Core,201177654927,812704381343,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,15,4,,,"Naturopath in Hopkins, MN",Naturopathic Doctors Near You,A Doctor Who Listens,Free 10-Min Intro Call,"No Membership, No Monthly Fee",Two-Hour First Visits,Root-Cause Naturopathic Care,Husband-Wife ND Team,Trusted Since 2018,Evidence-Informed Care,Same-Week Appointments,MN & WI Telehealth,HSA/FSA Accepted,Lab-Driven Care Plans,West Metro Holistic Care,"Naturopathic doctors in Hopkins, MN. Free 10-minute intro call — in person or telehealth.",Two unhurried hours on your whole story. Root-cause care without a membership.,Drs. Haley & Jacob Panka. Evidence-informed naturopathic care. HSA/FSA & cash-pay.,"Family-owned clinic in downtown Hopkins. No membership, no monthly fee.",,999,56,114.0175,8.0
Leads-Search-1,22767146837,Naturopath Near Me — Core,201177654927,817195852465,Responsive search ad,Enabled,Approved,Good,https://www.pankanaturalhealth.com/,15,4,,,"Naturopathic Doctor, MN",Holistic Doctor Near You,Twin Cities Holistic Doctors,"Naturopath in Hopkins, MN",Functional & Natural Care,Root-Cause Naturopathy,Your First Visit: 2 Hours,Doctorate-Trained NDs,Drs. Haley & Jacob Panka,"No Membership, No Monthly Fee",HSA/FSA Accepted,Openings This Week,Minneapolis & West Metro,MN & WI Telehealth,"Hormones, Gut & Thyroid",Naturopathic doctors blend modern lab science with natural therapies — no guesswork.,Wondering if a naturopath is right for you? Start with a free 10-minute intro call.,"Doctorate-trained NDs who take two full hours on your first visit. Hopkins, MN.",Natural doesn't mean unproven. Evidence-informed care from Drs. Haley & Jacob Panka.,,530,15,23.63,2.0
Leads-Search-1,22767146837,Pediatrics,197488229277,812601520263,Responsive search ad,Enabled,Approved,Excellent,https://www.pankanaturalhealth.com/pediatrics,15,4,,,Pediatric Naturopath,Holistic Pediatric Care,"Holistic Pediatrician, MN",Naturopathic Pediatrician,Functional Pediatric Care,"Kids' Gut, Sleep & Immunity",Kids' Allergies & Asthma,"Food Allergy Testing, Kids","Family-Owned, Hopkins MN",HSA/FSA Accepted,"No Membership, No Monthly Fee",A Gentler Path for Your Kid,Pediatric Naturopath Near You,Husband-Wife ND Team,"We're Parents, Too","Naturopathic care for kids — nutrition, sleep, immunity, and gut health, without the rush.",Unhurried pediatric visits with a doctor who listens to you and your child.,Family-owned Hopkins clinic. Free 10-minute intro call to see if we're the right fit.,"Evidence-informed natural care for children. HSA/FSA accepted, no membership.",,708,27,42.6301,3.0
