Campaignname,Adgroupname,Searchterm,Keyword,Matchtype,QueryTargetingStatus,Impressions,Clicks,Cost,Ctr,CPC,Conversions,ConversionRate,CostPerConversion
PNHdefense-Website traffic-Search-2,Ad group 1,panka natural health,panka natural health,exact,Added,247,36,54.2071,0.1457,1.5058,18,0.5,3.0115
Leads-Search-1,Functional & Integrative Medicine,functional medicine,functional medicine,exact,Added,129,5,9.1,0.0388,1.82,0,0,
Leads-Search-1,Ad group 1,naturopathic doctor near me,naturopathic doctor near me,exact,Added,120,11,27.8646,0.0917,2.5331,11.5,1.0455,2.423
Leads-Search-1,Ad group 1,naturopathic doctor minneapolis,naturopathic doctor Minneapolis,exact,Added,118,11,38.3419,0.0932,3.4856,8.5,0.7727,4.5108
Leads-Search-1,Ad group 1,naturopathic doctor,naturopathic doctor near me,exact (close variant),None,106,6,11.102,0.0566,1.8503,0,0,
Leads-Search-1,Ad group 1,functional medicine doctor,holistic dr near me,broad,None,92,6,18.662,0.0652,3.1103,6,1,3.1103
Leads-Search-1,Ad group 1,holistic doctor near me,naturopathic doctor near me,exact (close variant),None,77,9,28.9813,0.1169,3.2201,3,0.3333,9.6604
Leads-Search-1,Ad group 1,functional medicine doctor near me,naturopathic doctor near me,broad,None,60,4,7.8518,0.0667,1.9629,1,0.25,7.8518
Leads-Search-1,Geo-Qualified — Hopkins & West Metro,naturopathic doctor minneapolis,naturopathic doctor Minneapolis,exact,Added,51,3,6.83,0.0588,2.2767,0,0,
Leads-Search-1,Ad group 1,integrative medicine near me,integrative medicine near me,exact,Added,45,3,8.71,0.0667,2.9033,0,0,
Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,functional medicine near me,exact,Added,41,4,10.12,0.0976,2.53,1.98,0.495,5.1111
Leads-Search-1,Ad group 1,holistic doctor near me,holistic dr near me,exact (close variant),None,39,3,9,0.0769,3,4,1.3333,2.25
Leads-Search-1,Ad group 1,functional medicine doctor near me,holistic dr near me,broad,None,38,3,7.4951,0.0789,2.4984,1,0.3333,7.4951
Leads-Search-1,Ad group 1,functional medicine,holistic dr near me,broad,Added,35,2,9.14,0.0571,4.57,1,0.5,9.14
Leads-Search-1,Ad group 1,functional medicine doctor minneapolis,holistic dr near me,broad,None,33,1,5.12,0.0303,5.12,7,7,0.7314
Leads-Search-1,Ad group 1,holistic doctors near me,naturopathic doctor near me,exact (close variant),None,26,4,12.8103,0.1538,3.2026,1,0.25,12.8103
Leads-Search-1,Ad group 1,naturopath near me,naturopathic doctor near me,exact (close variant),None,26,2,9.24,0.0769,4.62,1,0.5,9.24
Leads-Search-1,Naturopath Near Me — Core,naturopathic doctor near me,naturopathic dr near me,exact (close variant),Added,26,2,2.8781,0.0769,1.439,0,0,
Leads-Search-1,Ad group 1,herbalist near me,holistic dr near me,broad,None,24,2,1.83,0.0833,0.915,0,0,
Leads-Search-1,Ad group 1,functional medicine,functional medicine,exact,Added,23,1,12.2552,0.0435,12.2552,0.02,0.02,612.7593
Leads-Search-1,Ad group 1,functional medicine,naturopathic doctor near me,broad,Added,23,1,2.22,0.0435,2.22,0,0,
Leads-Search-1,Ad group 1,holistic medicine minneapolis,holistic medicine Minneapolis,exact,Added,21,2,4.84,0.0952,2.42,0,0,
Leads-Search-1,Ad group 1,functional medicine,integrative medicine near me,broad,Added,20,1,4.09,0.05,4.09,0,0,
Leads-Search-1,Ad group 1,functional medicine doctor minneapolis,naturopathic doctor near me,broad,None,20,1,2.11,0.05,2.11,0,0,
Leads-Search-1,Naturopath Near Me — Core,naturopathic doctor near me,naturopathic doctor near me,exact,Added,20,5,7.98,0.25,1.596,0,0,
Leads-Search-1,Ad group 1,functional medicine doctor,naturopathic doctor near me,broad,None,18,1,5.9977,0.0556,5.9977,0,0,
Leads-Search-1,Ad group 1,park nicollet,naturopathic doctor Minneapolis,broad,Excluded,18,1,2.37,0.0556,2.37,0,0,
Leads-Search-1,Ad group 1,doctor that specializes in diseases,holistic dr near me,broad,None,17,3,4,0.1765,1.3333,0,0,
Leads-Search-1,Functional & Integrative Medicine,functional medicine doctor near me,functional medicine near me,exact (close variant),None,17,2,3.38,0.1176,1.69,0,0,
Leads-Search-1,Ad group 1,integrative medicine,holistic dr near me,broad,None,16,3,8.4194,0.1875,2.8065,1,0.3333,8.4194
Leads-Search-1,Ad group 1,functional medicine near me,functional medicine near me,exact,Added,15,2,4.07,0.1333,2.035,0,0,
Leads-Search-1,Ad group 1,holistic doctor,holistic dr near me,exact (close variant),None,15,1,2.71,0.0667,2.71,0,0,
Leads-Search-1,Ad group 1,homeopathic doctors near me,holistic dr near me,phrase (close variant),None,15,2,5.15,0.1333,2.575,0,0,
Leads-Search-1,Ad group 1,functional medicine doctor near me,integrative medicine near me,broad,None,14,3,9.68,0.2143,3.2267,3,1,3.2267
Leads-Search-1,Ad group 1,functional medicine doctors,holistic dr near me,broad,None,13,1,3.88,0.0769,3.88,0,0,
Leads-Search-1,Men's Health,men's health,men's health doctor near me,broad,None,13,1,0.15,0.0769,0.15,0,0,
Leads-Search-1,Ad group 1,integrative health,holistic dr near me,broad,None,12,1,3.52,0.0833,3.52,0,0,
Leads-Search-1,Ad group 1,holistic pediatrician near me,naturopathic doctor near me,broad,None,11,1,1.69,0.0909,1.69,0,0,
Leads-Search-1,Ad group 1,homeopathic medicine near me,holistic dr near me,broad,None,11,1,2.3662,0.0909,2.3662,0,0,
Leads-Search-1,Naturopath Near Me — Core,holistic doctor near me,holistic dr near me,exact (close variant),None,11,2,3.65,0.1818,1.825,0,0,
Leads-Search-1,Ad group 1,colon cleanse near me,holistic dr near me,broad,None,10,1,1.05,0.1,1.05,1,1,1.05
Leads-Search-1,Ad group 1,functional doctor near me,holistic dr near me,broad,None,10,1,5.18,0.1,5.18,0,0,
Leads-Search-1,Ad group 1,functional medicine doctor,natural pediatrician near me,broad,None,10,1,3.31,0.1,3.31,0,0,
Leads-Search-1,Ad group 1,functional medicine doctor minneapolis,integrative medicine near me,broad,None,10,2,3.986,0.2,1.993,1,0.5,3.986
Leads-Search-1,Ad group 1,functional medicine doctor minneapolis,holistic medicine Minneapolis,phrase (close variant),None,9,1,5.89,0.1111,5.89,0,0,
Leads-Search-1,Ad group 1,functional medicine minneapolis,naturopathic doctor near me,broad,None,9,1,4.79,0.1111,4.79,0,0,
Leads-Search-1,Ad group 1,holistic fertility doctor near me,holistic dr near me,phrase (close variant),None,9,1,2.78,0.1111,2.78,1,1,2.78
Leads-Search-1,Ad group 1,holistic pediatrician near me,integrative medicine near me,phrase (close variant),None,9,2,3.66,0.2222,1.83,0,0,
Leads-Search-1,Ad group 1,wellness minneapolis,holistic dr near me,broad,None,9,1,3.6665,0.1111,3.6665,0,0,
Leads-Search-1,Functional & Integrative Medicine,function health,functional medicine,phrase (close variant),Excluded,9,1,4.2405,0.1111,4.2405,0,0,
Leads-Search-1,Men's Health,severe daytime sleepiness,adrenal fatigue doctor near me,broad,None,9,3,2.935,0.3333,0.9783,2,0.6667,1.4675
Leads-Search-1,Women's Health & Hormones,menopause symptoms,women's health naturopath,broad,None,9,1,2.88,0.1111,2.88,0,0,
Leads-Search-1,Ad group 1,craniosacral therapy near me,holistic dr near me,broad,None,8,2,4.02,0.25,2.01,0,0,
