Yearmonth,Campaignname,Adgroupname,Searchterm,Keyword,Matchtype,QueryTargetingStatus,Impressions,Clicks,Cost,Conversions,ConversionValue
2025|07,Leads-Search-1,Ad group 1,accupuncture mn,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,activator chiropractor near me,holistic dr near me,broad,None,2,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,active healing,holistic dr near me,broad,None,2,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupressure minneapolis,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture,men's health naturopath,broad,Excluded,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture bloomington,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture bloomington mn,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture bloomington mn,men's health naturopath,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture chaska,holistic dr near me,broad,None,1,1,3.0489,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture clinic,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture clinic near me,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture coon rapids,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture doctors near me,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture eden prairie,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture edina,holistic dr near me,broad,None,2,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture for allergies,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture for endometriosis and fertility near me,holistic dr near me,broad,None,1,1,2.56,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture for eyes near me,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture for fertility near me,alternative medicine doctors near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture for fertility near me,holistic dr near me,broad,None,4,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture for joint pain,alternative medicine doctors near me,broad,None,2,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture for tinnitus near me,holistic dr near me,broad,None,2,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture for vertigo near me,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture forest lake,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture hopkins mn,holistic dr near me,broad,None,2,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture maple grove,holistic dr near me,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture maple grove,men's health naturopath,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture md,men's health naturopath,broad,None,1,0,0,0,0
2025|07,Leads-Search-1,Ad group 1,acupuncture minneapolis,holistic dr near me,broad,None,6,0,0,0,0
