Searchterm,Impressions,Clicks,Cost,Conversions,ConversionValue,CTR,CPC,CostPerConversion,Campaigns,AdGroups,MatchedKeywords,MatchTypes,QueryTargetingStatuses,NumRows
panka natural health,251,36,54.2071,18.0,242.0,0.1434,1.5058,3.0115,Leads-Search-1 | PNHdefense-Website traffic-Search-2,Ad group 1 | Pediatrics,holistic dr near me | panka natural health | pediatric naturopath near me,broad | exact,Added | None,3
holistic doctor near me,165,17,50.0713,7.0,7.0,0.103,2.9454,7.153,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core | Women's Health & Hormones,Hashimoto's naturopath | alternative medicine near me | female naturopath near me | functional holistic medicine | functional integrative medicine near me | functional medicine | functional medicine clinic near me | functional medicine doctor eden prairie | functional medicine doctors near me | functional medicine near me | functional medicine practitioner | holistic dr near me | hormone doctor near me | integrated doctor | integrative medicine doctors in my area | natural doctor near me | natural functional doctor | naturalist dr near me | naturopath for hormone imbalance | naturopath for women's health | naturopathic doctor near me | naturopathic practitioner near me | women's hormone specialist near me,broad | exact (close variant) | phrase (close variant),None,26
naturopathic doctor minneapolis,176,14,45.1719,8.5,8.5,0.0795,3.2266,5.3143,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Women's Health & Hormones,female naturopath | functional medicine doctors near me | holistic dr near me | holistic medicine Minneapolis | naturopathic doctor Minneapolis,broad | exact | phrase (close variant),Added | None,6
functional medicine,283,11,40.4877,1.02,2.06,0.0389,3.6807,39.6938,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional doctor in my area | functional holistic medicine | functional integrative doctor | functional integrative medicine near me | functional medical clinic | functional medical doctors | functional medical physician | functional medicine | functional medicine doctor minnetonka | functional medicine doctors in my area | functional medicine doctors near me | functional medicine near me | holistic dr near me | holistic medicine Minneapolis | integrative doctor | integrative health near me | integrative medicine near me | men's health naturopath | natural pediatrician near me | naturopathic doctor Minneapolis | naturopathic doctor near me,broad | exact | phrase (close variant),Added | None,23
naturopathic doctor near me,178,19,40.0223,11.5,11.5,0.1067,2.1064,3.4802,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core | Women's Health & Hormones,functional medical physician | functional medicine near me | integrative medicine near me | natural doctor near me | natural healing doctors near me | naturopath for women's health | naturopathic doctor Minneapolis | naturopathic doctor near me | naturopathic dr near me,broad | exact | exact (close variant) | phrase (close variant),Added | None,10
functional medicine doctor,174,12,39.7064,7.0,7.0,0.069,3.3089,5.6723,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,alternative medicine doctors near me | functional doctor | functional doctor in my area | functional medical doctors | functional medicine | functional medicine doctor eden prairie | functional medicine doctor minnetonka | functional medicine doctors in my area | functional medicine doctors near me | functional medicine near me | holistic dr near me | holistic pediatricians near me | integrative health near me | integrative medicine doctors in my area | integrative medicine near me | natural functional doctor | natural pediatrician near me | naturopathic doctor Minneapolis | naturopathic doctor near me,broad | exact (close variant) | phrase,None,20
functional medicine doctor near me,200,12,28.4069,5.0,5.0,0.06,2.3672,5.6814,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core | Women's Health & Hormones,alternative medicine doctors near me | functional doctor in my area | functional integrative medicine near me | functional medical physician | functional medicine | functional medicine doctor eden prairie | functional medicine doctor edina | functional medicine doctor hopkins | functional medicine doctors in my area | functional medicine doctors near me | functional medicine for hormones | functional medicine near me | holistic dr near me | integrated doctor | integrative medicine near me | naturopathic doctor near me | naturopathic dr near me | naturopathic practitioner near me | naturopaths in my area,broad | exact (close variant) | phrase | phrase (close variant),None,21
integrative medicine,116,9,21.08,2.0,2.0,0.0776,2.3422,10.54,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Women's Health & Hormones,functional doctor | functional doctor in my area | functional integrative doctor | functional integrative medicine near me | functional medical | functional medical clinic | functional medical doctors | functional medical physician | functional medicine | functional medicine doctor hopkins | functional medicine doctors in my area | functional medicine for hormones | functional medicine near me | functional medicines | holistic dr near me | holistic medicine Minneapolis | integrated and functional medicine | integrated doctor | integrative medicine doctors in my area | integrative medicine near me | men's health naturopath | natural functional doctor | natural medicine Minnesota | naturopathic doctor Minneapolis | naturopathic doctor near me,broad | phrase (close variant),None,28
functional medicine doctor minneapolis,117,7,20.576,8.0,8.0,0.0598,2.9394,2.572,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Women's Health & Hormones,functional doctor | functional doctor in my area | functional medical clinic | functional medicine | functional medicine doctors in my area | functional medicine for hormones | functional medicine near me | functional medicine practitioner | holistic dr near me | holistic medicine Minneapolis | integrative medicine near me | men's health naturopath | natural pediatrician near me | naturopathic doctor Minneapolis | naturopathic doctor near me,broad | phrase | phrase (close variant),None,16
functional medicine near me,121,8,18.73,1.98,63.43,0.0661,2.3413,9.4596,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional integrative medicine near me | functional medicine clinic near me | functional medicine doctors in my area | functional medicine doctors near me | functional medicine near me | functional medicines | holistic dr near me | holistic medicine Minneapolis | integrative health near me | integrative medicine doctors in my area | integrative medicine near me | natural pediatrician near me | naturopathic doctor Minneapolis | naturopathic doctor near me,broad | exact | exact (close variant) | phrase (close variant),Added,16
women's health functional medicine near me,5,2,15.84,0.0,0.0,0.4,7.92,,Leads-Search-1,Ad group 1 | Women's Health & Hormones,holistic dr near me | women's health naturopath,broad | phrase (close variant),None,2
naturopathic doctor,228,9,14.922,1.5,1.5,0.0395,1.658,9.948,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core | Women's Health & Hormones,alternative medicine doctors near me | alternative medicine near me | best naturopath near me | female naturopath near me | fertility naturopath near me | functional doctor | functional doctor in my area | functional medicine | functional medicine doctor hopkins | functional medicine doctors near me | functional medicine for hormones | functional medicine near me | functional medicine practitioner | holistic dr near me | holistic medicine Minneapolis | hormone doctor near me | integrative doctor | integrative medicine near me | natural doctor near me | natural functional doctor | naturalist dr near me | naturopath for hormone imbalance | naturopath for hormones | naturopathic doctor Minneapolis | naturopathic doctor near me | naturopathic dr near me | naturopathic practitioner near me | naturopaths in my area | women's health naturopath | women's hormone specialist near me,broad | exact (close variant),None,33
