ChangeTimestamp,Campaignname,CampaignID,Day,StartHour,EndHour,BidModifier
2026-08-17 16:54:42,Leads-Search-1,22767146837,WEDNESDAY,17,20,1.15
2026-08-17 16:54:42,Leads-Search-1,22767146837,WEDNESDAY,15,17,1
2026-08-17 16:54:42,Leads-Search-1,22767146837,WEDNESDAY,10,15,0.75
2026-08-17 16:54:42,Leads-Search-1,22767146837,WEDNESDAY,7,10,1
2026-08-17 16:54:42,Leads-Search-1,22767146837,TUESDAY,17,20,1.15
2026-08-17 16:54:42,Leads-Search-1,22767146837,TUESDAY,15,17,1
2026-08-17 16:54:42,Leads-Search-1,22767146837,TUESDAY,10,15,0.75
2026-08-17 16:54:42,Leads-Search-1,22767146837,TUESDAY,7,10,1
2026-08-17 16:54:42,Leads-Search-1,22767146837,THURSDAY,17,20,1.15
2026-08-17 16:54:42,Leads-Search-1,22767146837,THURSDAY,15,17,1
2026-08-17 16:54:42,Leads-Search-1,22767146837,THURSDAY,10,15,0.75
2026-08-17 16:54:42,Leads-Search-1,22767146837,THURSDAY,7,10,1
2026-08-17 16:54:42,Leads-Search-1,22767146837,SUNDAY,8,20,1
2026-08-17 16:54:42,Leads-Search-1,22767146837,SATURDAY,7,14,1
2026-08-17 16:54:42,Leads-Search-1,22767146837,MONDAY,17,20,1.15
2026-08-17 16:54:42,Leads-Search-1,22767146837,MONDAY,15,17,1
2026-08-17 16:54:42,Leads-Search-1,22767146837,MONDAY,10,15,0.75
2026-08-17 16:54:42,Leads-Search-1,22767146837,MONDAY,7,10,1
2026-08-17 16:54:42,Leads-Search-1,22767146837,FRIDAY,17,20,1.15
2026-08-17 16:54:42,Leads-Search-1,22767146837,FRIDAY,15,17,1
2026-08-17 16:54:42,Leads-Search-1,22767146837,FRIDAY,10,15,0.75
2026-08-17 16:54:42,Leads-Search-1,22767146837,FRIDAY,7,10,1
2026-07-17 17:55:59,Leads-Search-1,22767146837,WEDNESDAY,6,24,
2026-07-17 17:55:59,Leads-Search-1,22767146837,WEDNESDAY,0,6,
2026-07-17 17:55:59,Leads-Search-1,22767146837,TUESDAY,6,24,
2026-07-17 17:55:59,Leads-Search-1,22767146837,TUESDAY,0,6,
2026-07-17 17:55:59,Leads-Search-1,22767146837,THURSDAY,6,24,
2026-07-17 17:55:59,Leads-Search-1,22767146837,THURSDAY,0,6,
2026-07-17 17:55:59,Leads-Search-1,22767146837,SUNDAY,6,24,
2026-07-17 17:55:59,Leads-Search-1,22767146837,SUNDAY,0,6,
2026-07-17 17:55:59,Leads-Search-1,22767146837,SATURDAY,6,24,
2026-07-17 17:55:59,Leads-Search-1,22767146837,SATURDAY,0,6,
2026-07-17 17:55:59,Leads-Search-1,22767146837,MONDAY,6,24,
2026-07-17 17:55:59,Leads-Search-1,22767146837,MONDAY,0,6,
2026-07-17 17:55:59,Leads-Search-1,22767146837,FRIDAY,6,24,
2026-07-17 17:55:59,Leads-Search-1,22767146837,FRIDAY,0,6,
