Campaignname,CampaignID,ExtensionType,Text,URL,Description1/Header,Description2
Leads-Search-1,22767146837,sitelink,Holistic Diabetes Care,https://www.pankanaturalhealth.com/holistic-diabetes-care,"Lifestyle, nutrition, lab-guided",Naturopathic support in Hopkins
Leads-Search-1,22767146837,sitelink,Women's Health,https://www.pankanaturalhealth.com/womens-health-services,"Hormone balance, cycle, vitality",Naturopathic care in Hopkins MN
Leads-Search-1,22767146837,sitelink,Men's Health,https://www.pankanaturalhealth.com/mens-health,"Energy, hormones, metabolic health",Hopkins clinic + MN/WI telehealth
Leads-Search-1,22767146837,sitelink,Functional Lab Testing,https://www.pankanaturalhealth.com/clinical-laboratory-tests,Tests beyond your annual physical,Personalized insights for your care
Leads-Search-1,22767146837,sitelink,Meet Dr. Haley,https://www.pankanaturalhealth.com/meet-dr-haley,Naturopathic doctor & co-founder,Family-led practice in Hopkins MN
Leads-Search-1,22767146837,sitelink,Meet Dr. Jacob,https://www.pankanaturalhealth.com/meet-dr-jacob,"Naturopathic doctor, MS in research","Root-cause, lab-informed approach"
Leads-Search-1,22767146837,sitelink,MN & WI Telehealth Care,https://www.pankanaturalhealth.com/schedule-an-appointment,Naturopathic visits by video,Care for patients in MN & WI
Leads-Search-1,22767146837,sitelink,Free 10-Min Intro Call,https://www.pankanaturalhealth.com/schedule-an-appointment,See if our approach fits your goals,"No health forms, no commitment"
Leads-Search-1,22767146837,sitelink,Become a New Patient,https://www.pankanaturalhealth.com/schedule-an-appointment,First visit in Hopkins or by video,"HSA/FSA accepted, cash-pay clinic"
Leads-Search-1,22767146837,callout,Family-Owned Since 2018,,,
Leads-Search-1,22767146837,callout,Functional Lab Testing,,,
Leads-Search-1,22767146837,callout,Free 10-Min Intro Call,,,
Leads-Search-1,22767146837,callout,Root-Cause Medicine,,,
Leads-Search-1,22767146837,callout,HSA/FSA Accepted,,,
Leads-Search-1,22767146837,callout,Husband-Wife ND Team,,,
Leads-Search-1,22767146837,callout,MN & WI Telehealth,,,
Leads-Search-1,22767146837,callout,"Cash-Pay Clinic, HSA OK",,,
Leads-Search-1,22767146837,callout,Hopkins MN Clinic,,,
Leads-Search-1,22767146837,callout,Drs. Haley & Jacob Panka,,,
Leads-Search-1,22767146837,structured_snippet,Functional Lab Testing,,Types,
Leads-Search-1,22767146837,structured_snippet,Hormone Balance Support,,Types,
Leads-Search-1,22767146837,structured_snippet,Gut Health,,Types,
Leads-Search-1,22767146837,structured_snippet,Metabolic Health,,Types,
Leads-Search-1,22767146837,structured_snippet,Heart Health Program,,Types,
Leads-Search-1,22767146837,structured_snippet,Pediatric Care,,Types,
Leads-Search-1,22767146837,structured_snippet,Adrenal & Stress Support,,Types,
Leads-Search-1,22767146837,structured_snippet,Naturopathic Medicine,,Service catalog,
Leads-Search-1,22767146837,structured_snippet,Functional Lab Testing,,Service catalog,
Leads-Search-1,22767146837,structured_snippet,Women's Health,,Service catalog,
Leads-Search-1,22767146837,structured_snippet,Men's Health,,Service catalog,
Leads-Search-1,22767146837,structured_snippet,Pediatrics,,Service catalog,
Leads-Search-1,22767146837,structured_snippet,Cardiovascular Care,,Service catalog,
Leads-Search-1,22767146837,image,242816597869,https://tpc.googlesyndication.com/simgad/17100174155193368568,,
Leads-Search-1,22767146837,image,242816640157,https://tpc.googlesyndication.com/simgad/10405900098705216532,,
Leads-Search-1,22767146837,image,242817094894,https://tpc.googlesyndication.com/simgad/2343022661589788341,,
Leads-Search-1,22767146837,image,242817218335,https://tpc.googlesyndication.com/simgad/11514805319088448200,,
Leads-Search-1,22767146837,image,242856634245,https://tpc.googlesyndication.com/simgad/15668831765130975772,,
Leads-Search-1,22767146837,image,242857365546,https://tpc.googlesyndication.com/simgad/17398549883161050286,,
