yearMonth,eventName,sessionSourceMedium,linkDomain,linkUrl,linkText,eventCount,sessions,totalUsers
2026|06,click,(direct) / (none),app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,5,5,5
2026|06,click,ads.google.com / referral,app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,1,1,1
2026|06,click,bing / organic,app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,1,1,1
2026|06,click,google / organic,app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,5,3,3
2026|06,click,mnanp.org / referral,app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,1,1,1
2026|07,click,(data not available),app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,1,1,1
2026|07,click,(direct) / (none),app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,5,4,3
2026|07,click,duckduckgo / organic,app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,1,1,1
2026|07,click,google / cpc,app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,9,9,9
2026|07,click,google / organic,app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,16,8,6
2026|07,click,oncanp.org / referral,app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,2,2,2
2026|08,click,(data not available),app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,1,1,1
2026|08,click,(direct) / (none),app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,2,1,1
2026|08,click,google / cpc,app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,2,2,2
2026|08,click,google / organic,app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,6,5,5
2026|08,click,oncanp.org / referral,app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,1,1,1
2026|09,click,(direct) / (none),app.acuityscheduling.com,https://app.acuityscheduling.com/schedule.php?owner=27943652&appointmentType=41826455,,1,1,1
