yearMonth,sessionDefaultChannelGrouping,sessions,totalUsers,newUsers,engagedSessions,engagementRate,bounceRate,conversions,screenPageViews
2023|02,Direct,207,155,155,47,0.2271,0.7729,0,414
2023|02,Organic Search,46,28,28,30,0.6522,0.3478,0,126
2023|02,Organic Social,2,2,2,2,1,0,0,3
2023|02,Referral,8,5,4,5,0.625,0.375,0,28
2023|02,Unassigned,6,6,0,0,0,1,0,0
2023|03,Direct,233,169,166,100,0.4292,0.5708,0,408
2023|03,Organic Search,155,91,84,107,0.6903,0.3097,0,403
2023|03,Organic Social,10,10,10,8,0.8,0.2,0,16
2023|03,Paid Search,548,491,491,164,0.2993,0.7007,0,695
2023|03,Referral,58,34,29,37,0.6379,0.3621,0,170
2023|03,Unassigned,7,7,0,0,0,1,0,0
2023|04,Direct,130,100,96,51,0.3923,0.6077,0,208
2023|04,Organic Search,151,72,60,85,0.5629,0.4371,0,325
2023|04,Organic Social,12,11,11,7,0.5833,0.4167,0,15
2023|04,Paid Search,503,462,460,167,0.332,0.668,0,605
2023|04,Referral,32,24,23,20,0.625,0.375,0,98
2023|04,Unassigned,1,1,0,0,0,1,0,0
2023|05,Direct,200,132,128,76,0.38,0.62,0,331
2023|05,Organic Search,120,84,75,87,0.725,0.275,0,333
2023|05,Organic Social,6,4,4,2,0.3333,0.6667,0,10
2023|05,Paid Search,850,773,766,262,0.3082,0.6918,0,1045
2023|05,Referral,20,12,12,10,0.5,0.5,0,42
2023|05,Unassigned,2,2,0,0,0,1,0,0
2023|06,Direct,137,101,91,47,0.3431,0.6569,0,200
2023|06,Organic Search,108,69,63,80,0.7407,0.2593,0,285
2023|06,Organic Social,12,12,12,6,0.5,0.5,0,19
2023|06,Paid Search,378,339,335,141,0.373,0.627,0,499
2023|06,Referral,22,16,15,14,0.6364,0.3636,0,54
2023|07,Direct,151,112,104,47,0.3113,0.6887,0,216
2023|07,Organic Search,102,71,65,74,0.7255,0.2745,0,248
2023|07,Organic Social,7,7,7,3,0.4286,0.5714,0,14
2023|07,Paid Search,420,386,380,154,0.3667,0.6333,0,582
2023|07,Referral,10,9,9,7,0.7,0.3,0,21
2023|07,Unassigned,2,2,0,0,0,1,0,0
2023|08,Direct,148,97,93,60,0.4054,0.5946,0,425
2023|08,Organic Search,117,80,71,76,0.6496,0.3504,0,218
2023|08,Paid Search,142,122,119,50,0.3521,0.6479,0,176
2023|08,Referral,35,17,15,26,0.7429,0.2571,0,111
2023|09,Direct,179,106,99,70,0.3911,0.6089,0,349
2023|09,Organic Search,101,63,57,60,0.5941,0.4059,0,234
2023|09,Organic Social,10,9,9,6,0.6,0.4,0,22
2023|09,Paid Search,2,2,2,0,0,1,0,2
2023|09,Referral,31,18,16,29,0.9355,0.0645,0,115
2023|09,Unassigned,1,1,0,0,0,1,0,0
2023|10,Direct,141,95,90,44,0.3121,0.6879,0,212
2023|10,Organic Search,115,81,78,89,0.7739,0.2261,0,295
2023|10,Organic Social,2,2,2,1,0.5,0.5,0,3
2023|10,Referral,31,15,14,20,0.6452,0.3548,0,56
2023|11,Direct,88,65,62,36,0.4091,0.5909,0,170
2023|11,Organic Search,81,60,57,60,0.7407,0.2593,0,234
2023|11,Organic Social,3,3,2,1,0.3333,0.6667,0,2
2023|11,Referral,37,21,18,22,0.5946,0.4054,0,104
2023|12,Direct,128,91,84,53,0.4141,0.5859,3,254
2023|12,Organic Search,74,58,55,51,0.6892,0.3108,0,193
2023|12,Referral,31,16,13,21,0.6774,0.3226,0,109
2024|01,Direct,181,110,107,76,0.4199,0.5801,0,337
2024|01,Organic Search,137,87,80,106,0.7737,0.2263,0,317
2024|01,Organic Social,18,16,16,10,0.5556,0.4444,0,30
2024|01,Referral,47,13,9,29,0.617,0.383,0,125
2024|01,Unassigned,0,1,0,0,,0,8,0
2024|02,Direct,205,125,119,100,0.4878,0.5122,1,388
2024|02,Organic Search,154,84,74,106,0.6883,0.3117,0,416
2024|02,Organic Social,13,11,11,9,0.6923,0.3077,0,29
2024|02,Paid Search,538,503,502,197,0.3662,0.6338,0,753
2024|02,Referral,859,851,846,10,0.0116,0.9884,0,875
2024|02,Unassigned,0,1,0,0,,0,22,0
2024|03,Direct,220,134,128,84,0.3818,0.6182,0,493
2024|03,Organic Search,192,95,85,125,0.651,0.349,0,486
2024|03,Organic Social,23,19,18,13,0.5652,0.4348,0,39
2024|03,Paid Search,501,476,472,190,0.3792,0.6208,0,675
2024|03,Referral,113,93,90,21,0.1858,0.8142,0,136
2024|03,Unassigned,3,4,0,0,0,1,24,12
2024|04,Direct,202,146,137,60,0.297,0.703,0,325
2024|04,Organic Search,167,108,97,112,0.6707,0.3293,0,352
2024|04,Organic Social,19,17,17,14,0.7368,0.2632,0,32
2024|04,Paid Search,230,213,207,91,0.3957,0.6043,0,323
2024|04,Referral,53,27,23,28,0.5283,0.4717,0,92
2024|04,Unassigned,12,12,0,0,0,1,12,3
2024|05,Direct,154,86,81,63,0.4091,0.5909,1,291
2024|05,Organic Search,119,79,64,86,0.7227,0.2773,0,335
2024|05,Organic Social,5,4,4,4,0.8,0.2,0,9
2024|05,Paid Search,225,220,219,93,0.4133,0.5867,0,335
2024|05,Referral,43,10,8,31,0.7209,0.2791,0,87
2024|05,Unassigned,1,2,0,0,0,1,16,1
2024|06,Direct,188,121,113,79,0.4202,0.5798,0,348
2024|06,Organic Search,132,90,81,91,0.6894,0.3106,0,395
2024|06,Organic Social,7,5,4,3,0.4286,0.5714,0,24
2024|06,Paid Search,302,270,269,142,0.4702,0.5298,0,432
2024|06,Referral,50,19,13,31,0.62,0.38,0,78
2024|06,Unassigned,2,3,0,0,0,1,21,2
2024|07,Direct,142,91,85,47,0.331,0.669,1,219
2024|07,Organic Search,119,77,70,93,0.7815,0.2185,0,274
2024|07,Organic Social,4,3,3,2,0.5,0.5,0,8
2024|07,Paid Search,146,138,135,56,0.3836,0.6164,0,198
2024|07,Referral,62,23,16,32,0.5161,0.4839,0,110
2024|07,Unassigned,3,4,0,0,0,1,22,7
2024|08,Direct,133,75,67,58,0.4361,0.5639,0,246
2024|08,Organic Search,131,84,71,90,0.687,0.313,0,323
2024|08,Organic Social,10,7,7,7,0.7,0.3,0,21
