yearMonth,deviceCategory,sessions,newUsers,engagedSessions,engagementRate,bounceRate,conversions,screenPageViews,totalUsers_sum_NOT_DEDUPED
2023|02,desktop,168,104,57,0.3393,0.6607,0,401,130
2023|02,mobile,98,81,27,0.2755,0.7245,0,166,88
2023|02,tablet,4,4,0,0.0,1.0,0,4,4
2023|03,desktop,297,189,153,0.5152,0.4848,0,630,243
2023|03,mobile,652,551,236,0.362,0.638,0,970,621
2023|03,tablet,63,40,27,0.4286,0.5714,0,92,49
2023|04,desktop,183,116,91,0.4973,0.5027,0,357,152
2023|04,mobile,578,499,219,0.3789,0.6211,0,802,560
2023|04,smart tv,1,1,0,0.0,1.0,0,1,1
2023|04,tablet,71,34,20,0.2817,0.7183,0,91,38
2023|05,desktop,190,106,103,0.5421,0.4579,0,415,139
2023|05,mobile,975,846,319,0.3272,0.6728,0,1304,949
2023|05,tablet,35,33,15,0.4286,0.5714,0,42,35
2023|06,desktop,149,92,80,0.5369,0.4631,0,336,116
2023|06,mobile,481,403,200,0.4158,0.5842,0,688,460
2023|06,tablet,26,21,8,0.3077,0.6923,0,33,23
2023|07,desktop,176,125,92,0.5227,0.4773,0,347,148
2023|07,mobile,506,431,188,0.3715,0.6285,0,723,481
2023|07,tablet,9,9,5,0.5556,0.4444,0,11,9
2023|08,desktop,181,107,100,0.5525,0.4475,0,521,135
2023|08,mobile,258,188,112,0.4341,0.5659,0,406,227
2023|08,tablet,3,3,0,0.0,1.0,0,3,3
2023|09,desktop,150,85,83,0.5533,0.4467,0,368,108
2023|09,mobile,172,97,81,0.4709,0.5291,0,342,129
2023|09,tablet,2,1,1,0.5,0.5,0,12,2
2023|10,desktop,164,100,85,0.5183,0.4817,0,298,126
2023|10,mobile,119,79,65,0.5462,0.4538,0,246,101
2023|10,tablet,6,5,4,0.6667,0.3333,0,22,6
2023|11,desktop,121,78,75,0.6198,0.3802,0,329,102
2023|11,mobile,87,60,43,0.4943,0.5057,0,179,77
2023|11,tablet,1,1,1,1.0,0.0,0,2,1
2023|12,desktop,141,96,79,0.5603,0.4397,2,353,114
2023|12,mobile,91,55,46,0.5055,0.4945,1,202,74
2023|12,tablet,1,1,0,0.0,1.0,0,1,1
2024|01,desktop,263,128,154,0.5856,0.4144,8,589,174
2024|01,mobile,120,83,67,0.5583,0.4417,0,219,111
2024|01,tablet,1,1,0,0.0,1.0,0,1,1
2024|02,desktop,1123,985,163,0.1451,0.8549,23,1559,1032
2024|02,mobile,619,539,248,0.4006,0.5994,0,867,591
2024|02,tablet,28,28,11,0.3929,0.6071,0,35,28
2024|03,desktop,364,213,172,0.4725,0.5275,24,829,267
2024|03,mobile,673,568,253,0.3759,0.6241,0,981,633
2024|03,tablet,15,12,8,0.5333,0.4667,0,31,14
2024|04,desktop,256,133,147,0.5742,0.4258,12,490,189
2024|04,mobile,417,338,151,0.3621,0.6379,0,614,395
2024|04,tablet,11,10,8,0.7273,0.2727,0,23,11
2024|05,desktop,256,127,157,0.6133,0.3867,16,596,167
2024|05,mobile,266,226,114,0.4286,0.5714,1,431,252
2024|05,tablet,26,23,6,0.2308,0.7692,0,31,26
2024|06,desktop,251,127,142,0.5657,0.4343,21,597,173
2024|06,mobile,415,335,201,0.4843,0.5157,0,659,386
2024|06,tablet,18,18,5,0.2778,0.7222,0,23,18
2024|07,desktop,221,111,120,0.543,0.457,22,425,154
2024|07,mobile,247,190,109,0.4413,0.5587,1,383,225
2024|07,tablet,8,8,1,0.125,0.875,0,8,8
2024|08,desktop,179,82,106,0.5922,0.4078,10,390,119
2024|08,mobile,129,76,71,0.5504,0.4496,0,252,106
2024|08,tablet,6,6,5,0.8333,0.1667,0,16,6
2024|09,desktop,292,179,148,0.5068,0.4932,15,556,224
2024|09,mobile,405,327,161,0.3975,0.6025,0,623,380
2024|09,tablet,24,24,7,0.2917,0.7083,0,30,24
2024|10,desktop,284,155,142,0.5,0.5,20,711,198
2024|10,mobile,383,286,165,0.4308,0.5692,1,648,344
2024|10,tablet,32,32,3,0.0938,0.9062,0,45,32
2024|11,desktop,274,151,140,0.5109,0.4891,15,714,186
2024|11,mobile,398,315,168,0.4221,0.5779,0,597,364
2024|11,smart tv,1,1,0,0.0,1.0,0,1,1
2024|11,tablet,21,20,8,0.381,0.619,0,23,21
2024|12,desktop,218,139,104,0.4771,0.5229,18,396,180
2024|12,mobile,259,188,118,0.4556,0.5444,7,389,232
2024|12,tablet,22,21,5,0.2273,0.7727,0,22,22
2025|01,desktop,282,150,155,0.5496,0.4504,16,540,199
2025|01,mobile,242,176,106,0.438,0.562,3,417,222
2025|01,tablet,5,5,4,0.8,0.2,0,15,5
2025|02,desktop,257,130,148,0.5759,0.4241,19,530,172
2025|02,mobile,265,152,152,0.5736,0.4264,11,514,198
2025|02,tablet,3,3,3,1.0,0.0,0,8,3
2025|03,desktop,316,133,185,0.5854,0.4146,20,649,182
2025|03,mobile,221,125,100,0.4525,0.5475,3,406,172
2025|03,tablet,1,1,1,1.0,0.0,0,1,1
2025|04,desktop,278,114,154,0.554,0.446,19,691,170
2025|04,mobile,170,98,84,0.4941,0.5059,2,296,137
2025|04,tablet,1,1,0,0.0,1.0,0,1,1
2025|05,desktop,269,164,122,0.4535,0.5465,13,442,209
2025|05,mobile,170,101,81,0.4765,0.5235,4,275,147
2025|06,desktop,401,241,240,0.5985,0.4015,33,976,279
2025|06,mobile,435,355,148,0.3402,0.6598,5,608,405
2025|06,tablet,7,7,0,0.0,1.0,0,7,7
2025|07,desktop,428,303,248,0.5794,0.4206,22,823,351
2025|07,mobile,3111,2751,449,0.1443,0.8557,15,3556,3027
2025|07,tablet,11,11,5,0.4545,0.5455,0,13,11
2025|08,desktop,337,222,196,0.5816,0.4184,14,679,276
2025|08,mobile,358,260,211,0.5894,0.4106,8,673,319
2025|08,tablet,3,3,2,0.6667,0.3333,0,3,3
2025|09,desktop,287,157,179,0.6237,0.3763,26,660,224
2025|09,mobile,161,95,80,0.4969,0.5031,3,266,137
2025|10,desktop,450,290,278,0.6178,0.3822,21,862,350
2025|10,mobile,628,534,534,0.8503,0.1497,6,1146,588
2025|10,smart tv,5,5,5,1.0,0.0,0,9,5
2025|10,tablet,8,8,8,1.0,0.0,0,18,8
2025|11,desktop,376,203,181,0.4814,0.5186,32,950,270
2025|11,mobile,222,122,119,0.536,0.464,4,381,178
2025|11,tablet,7,2,4,0.5714,0.4286,1,16,6
2025|12,desktop,227,149,100,0.4405,0.5595,11,363,187
2025|12,mobile,158,93,81,0.5127,0.4873,4,263,136
2025|12,tablet,8,5,3,0.375,0.625,0,25,8
2026|01,desktop,428,315,131,0.3061,0.6939,28,625,360
2026|01,mobile,213,124,119,0.5587,0.4413,9,376,175
2026|02,desktop,341,259,138,0.4047,0.5953,27,634,307
2026|02,mobile,174,111,89,0.5115,0.4885,7,304,151
2026|02,tablet,7,3,3,0.4286,0.5714,0,8,5
2026|03,desktop,349,273,136,0.3897,0.6103,21,584,327
2026|03,mobile,287,167,136,0.4739,0.5261,10,542,219
2026|03,tablet,2,1,2,1.0,0.0,0,5,2
2026|04,desktop,363,249,160,0.4408,0.5592,74,695,338
2026|04,mobile,221,164,124,0.5611,0.4389,14,453,203
2026|04,tablet,3,2,2,0.6667,0.3333,0,4,3
2026|05,desktop,408,257,198,0.4853,0.5147,55,988,336
2026|05,mobile,385,233,212,0.5506,0.4494,20,719,309
2026|05,tablet,3,2,1,0.3333,0.6667,0,5,3
2026|06,desktop,607,419,269,0.4432,0.5568,169,1272,487
2026|06,mobile,240,158,127,0.5292,0.4708,43,397,208
