yearMonth,deviceCategory,newVsReturning,sessionDefaultChannelGrouping,sessions,totalUsers,newUsers,engagedSessions,engagementRate,bounceRate,conversions,screenPageViews
2023|02,desktop,(not set),Direct,2,2,0,0,0,1,0,1
2023|02,desktop,(not set),Organic Search,2,2,0,0,0,1,0,0
2023|02,desktop,new,Direct,85,85,85,13,0.1529,0.8471,0,122
2023|02,desktop,new,Organic Search,15,15,15,14,0.9333,0.0667,0,46
2023|02,desktop,new,Organic Social,2,2,1,1,0.5,0.5,0,2
2023|02,desktop,new,Referral,3,3,3,1,0.3333,0.6667,0,11
2023|02,desktop,new,Unassigned,5,5,0,0,0,1,0,0
2023|02,desktop,returning,Direct,45,9,0,25,0.5556,0.4444,0,207
2023|02,desktop,returning,Organic Search,4,4,0,0,0,1,0,1
2023|02,desktop,returning,Referral,4,2,0,3,0.75,0.25,0,11
2023|02,desktop,returning,Unassigned,1,1,0,0,0,1,0,0
2023|02,mobile,(not set),Direct,2,1,0,0,0,1,0,2
2023|02,mobile,(not set),Organic Search,3,3,0,0,0,1,0,2
2023|02,mobile,new,Direct,66,66,66,7,0.1061,0.8939,0,72
2023|02,mobile,new,Organic Search,13,13,13,9,0.6923,0.3077,0,31
2023|02,mobile,new,Organic Social,1,1,1,1,1,0,0,1
2023|02,mobile,new,Referral,1,1,1,1,1,0,0,6
2023|02,mobile,returning,Direct,3,2,0,2,0.6667,0.3333,0,6
2023|02,mobile,returning,Organic Search,9,1,0,7,0.7778,0.2222,0,46
2023|02,tablet,new,Direct,4,4,4,0,0,1,0,4
2023|03,desktop,(not set),Direct,21,5,0,0,0,1,0,18
2023|03,desktop,(not set),Organic Search,2,1,0,0,0,1,0,2
2023|03,desktop,(not set),Paid Search,4,2,0,0,0,1,0,4
2023|03,desktop,(not set),Referral,3,3,0,0,0,1,0,1
2023|03,desktop,new,Direct,97,96,97,39,0.4021,0.5979,0,192
2023|03,desktop,new,Organic Search,48,48,48,40,0.8333,0.1667,0,139
2023|03,desktop,new,Organic Social,1,1,0,0,0,1,0,0
2023|03,desktop,new,Paid Search,28,28,29,19,0.6786,0.3214,0,72
2023|03,desktop,new,Referral,15,15,15,12,0.8,0.2,0,48
2023|03,desktop,new,Unassigned,7,7,0,0,0,1,0,0
2023|03,desktop,returning,Direct,24,14,0,11,0.4583,0.5417,0,27
2023|03,desktop,returning,Organic Search,21,13,0,17,0.8095,0.1905,0,50
2023|03,desktop,returning,Paid Search,5,4,0,2,0.4,0.6,0,3
2023|03,desktop,returning,Referral,21,6,0,13,0.619,0.381,0,74
2023|03,mobile,(not set),Direct,7,5,0,0,0,1,0,7
2023|03,mobile,(not set),Organic Search,6,6,0,0,0,1,0,6
2023|03,mobile,(not set),Paid Search,13,9,0,1,0.0769,0.9231,0,13
2023|03,mobile,(not set),Referral,1,1,0,0,0,1,0,1
2023|03,mobile,new,Direct,69,69,69,43,0.6232,0.3768,0,147
2023|03,mobile,new,Organic Search,32,32,32,27,0.8438,0.1563,0,105
2023|03,mobile,new,Organic Social,10,10,10,8,0.8,0.2,0,16
2023|03,mobile,new,Paid Search,427,426,427,120,0.281,0.719,0,523
2023|03,mobile,new,Referral,13,13,13,8,0.6154,0.3846,0,40
2023|03,mobile,returning,Direct,15,10,0,7,0.4667,0.5333,0,17
2023|03,mobile,returning,Organic Search,24,10,0,14,0.5833,0.4167,0,62
2023|03,mobile,returning,Paid Search,31,27,0,5,0.1613,0.8387,0,29
2023|03,mobile,returning,Referral,4,3,0,3,0.75,0.25,0,4
2023|03,tablet,(not set),Organic Search,10,2,0,1,0.1,0.9,0,9
2023|03,tablet,(not set),Paid Search,3,3,0,0,0,1,0,3
2023|03,tablet,new,Organic Search,4,4,4,4,1,0,0,18
2023|03,tablet,new,Paid Search,34,35,35,16,0.4706,0.5294,0,46
2023|03,tablet,new,Referral,1,1,1,1,1,0,0,2
2023|03,tablet,returning,Organic Search,8,1,0,4,0.5,0.5,0,12
2023|03,tablet,returning,Paid Search,3,3,0,1,0.3333,0.6667,0,2
2023|04,desktop,(not set),Direct,17,6,0,0,0,1,0,15
2023|04,desktop,(not set),Organic Search,8,5,0,0,0,1,0,4
2023|04,desktop,(not set),Referral,1,1,0,0,0,1,0,1
2023|04,desktop,(not set),Unassigned,1,1,0,0,0,1,0,0
2023|04,desktop,new,Direct,41,41,41,12,0.2927,0.7073,0,50
2023|04,desktop,new,Organic Search,30,30,30,27,0.9,0.1,0,117
2023|04,desktop,new,Organic Social,5,5,1,0,0,1,0,1
2023|04,desktop,new,Paid Search,30,30,30,18,0.6,0.4,0,49
2023|04,desktop,new,Referral,14,14,14,9,0.6429,0.3571,0,46
2023|04,desktop,returning,Direct,6,3,0,4,0.6667,0.3333,0,10
2023|04,desktop,returning,Organic Search,23,14,0,17,0.7391,0.2609,0,49
2023|04,desktop,returning,Referral,7,2,0,4,0.5714,0.4286,0,15
2023|04,mobile,(not set),Direct,2,2,0,0,0,1,0,1
2023|04,mobile,(not set),Organic Search,6,5,0,0,0,1,0,6
2023|04,mobile,(not set),Organic Social,1,1,0,0,0,1,0,1
2023|04,mobile,(not set),Paid Search,19,16,0,0,0,1,0,17
