yearMonth,eventName,pagePath,eventCount,purchaseRevenue,totalRevenue,transactions,ecommercePurchases,sessions,totalUsers
2023|02,click,/dietary-supplements,,,,,,2,2
2023|02,click,/meet-dr-jacob,,,,,,1,1
2023|02,click,/patient-portal,,,,,,5,5
2023|02,click,/pnh-online-medicinary,,,,,,1,1
2023|02,first_visit,/,,,,,,61,61
2023|02,first_visit,/?disable_abtestingai=1,,,,,,54,54
2023|02,first_visit,/blog,,,,,,3,3
2023|02,first_visit,/blog/2019/4/14/what-to-expect-from-a-naturopathic-doctor,,,,,,1,1
2023|02,first_visit,/blog/2019/4/14/what-to-expect-from-a-naturopathic-doctor?format=amp,,,,,,1,1
2023|02,first_visit,/blog/2022/10/26/naturopathic-first-aid-kit?fbclid=IwAR0YNcmnkghxNE7bH4LK06CnyipghtN-lkdprr07JC32vtwvdtUSGnGVVRo,,,,,,1,1
2023|02,first_visit,/cart,,,,,,2,2
2023|02,first_visit,/clinical-laboratory-tests,,,,,,1,1
2023|02,first_visit,/contact,,,,,,4,4
2023|02,first_visit,/dietary-supplements,,,,,,1,1
2023|02,first_visit,/meet-dr-haley,,,,,,3,3
2023|02,first_visit,/naturopathic-medicine,,,,,,2,2
2023|02,first_visit,/prepare-for-your-visit,,,,,,51,51
2023|02,first_visit,/schedule-an-appointment,,,,,,4,4
2023|02,form_start,/contact,,,,,,2,1
2023|02,page_view,/,,,,,,109,61
2023|02,page_view,/?disable_abtestingai=1,,,,,,54,54
2023|02,page_view,/blog,,,,,,9,7
2023|02,page_view,/blog/2019/4/14/what-to-expect-from-a-naturopathic-doctor,,,,,,1,1
2023|02,page_view,/blog/2019/4/14/what-to-expect-from-a-naturopathic-doctor?format=amp,,,,,,1,1
2023|02,page_view,/blog/2022/10/26/naturopathic-first-aid-kit?fbclid=IwAR0YNcmnkghxNE7bH4LK06CnyipghtN-lkdprr07JC32vtwvdtUSGnGVVRo,,,,,,1,1
2023|02,page_view,/blog/cg90jhr52zexb6zzn7ri4jrjzr6uwx,,,,,,1,1
2023|02,page_view,/blog/health-alerts-for-eden-prairie-spring-water,,,,,,1,1
2023|02,page_view,/blog/lab-testing-looking-outside-the-reference-range,,,,,,3,2
2023|02,page_view,/blog/naturopathic-medicine-provides-a-holistic-approach,,,,,,1,1
2023|02,page_view,/blog/ptbebsrro1uzjbt6jy9e2fbays0nc7,,,,,,1,1
2023|02,page_view,/blog/what-to-expect-from-a-naturopathic-doctor,,,,,,3,3
2023|02,page_view,/cart,,,,,,2,2
2023|02,page_view,/clinical-laboratory-tests,,,,,,12,8
2023|02,page_view,/contact,,,,,,8,8
2023|02,page_view,/dietary-supplements,,,,,,13,8
2023|02,page_view,/faq,,,,,,5,5
2023|02,page_view,/home,,,,,,5,1
2023|02,page_view,/home-1,,,,,,1,1
2023|02,page_view,/meal-plans-and-recipe-books,,,,,,1,1
2023|02,page_view,/meet-dr-haley,,,,,,14,12
2023|02,page_view,/meet-dr-jacob,,,,,,6,6
2023|02,page_view,/naturopathic-medicine,,,,,,22,16
2023|02,page_view,/patient-portal,,,,,,6,6
2023|02,page_view,/pnh-online-medicinary,,,,,,4,4
2023|02,page_view,/prepare-for-your-visit,,,,,,53,53
2023|02,page_view,/schedule-an-appointment,,,,,,29,19
2023|02,page_view,/test,,,,,,2,1
2023|02,page_view,/wellness-shop,,,,,,1,1
2023|02,page_view,/wellness-shop/p/21-day-plant-based-meal-plan-one-person,,,,,,1,1
2023|02,page_view,/wellness-shop/p/anti-inflammatory-recipe-book,,,,,,1,1
2023|02,page_view,/wellness-shop/p/dairy-free-recipe-book,,,,,,1,1
2023|02,page_view,/wellness-shop/p/plant-based-recipe-book,,,,,,1,1
2023|02,page_view,/wellness-shop/p/smoothie-recipe-book,,,,,,1,1
2023|02,page_view,/wellness-shop/p/style-01-ej5na-yrg5w,,,,,,1,1
2023|02,page_view,/wellness-shop/p/style-03-g2rtt-yb5kh,,,,,,1,1
2023|02,page_view,/wellness-shop/recipe-book,,,,,,1,1
2023|02,page_view,/whypnh,,,,,,4,3
2023|02,scroll,/,,,,,,19,10
2023|02,scroll,/?disable_abtestingai=1,,,,,,6,6
2023|02,scroll,/blog,,,,,,1,1
2023|02,scroll,/blog/2019/4/14/what-to-expect-from-a-naturopathic-doctor,,,,,,1,1
2023|02,scroll,/blog/2019/4/14/what-to-expect-from-a-naturopathic-doctor?format=amp,,,,,,1,1
2023|02,scroll,/blog/2022/10/26/naturopathic-first-aid-kit?fbclid=IwAR0YNcmnkghxNE7bH4LK06CnyipghtN-lkdprr07JC32vtwvdtUSGnGVVRo,,,,,,1,1
2023|02,scroll,/blog/lab-testing-looking-outside-the-reference-range,,,,,,2,2
