date,eventName,sessionSourceMedium,sessionDefaultChannelGrouping,eventCount,purchaseRevenue,totalRevenue,transactions,ecommercePurchases,sessions,totalUsers,conversions
2023-02-15,click,(direct) / (none),Direct,1,0,0,0,,1,1,0
2023-02-15,first_visit,(direct) / (none),Direct,10,0,0,0,,10,10,0
2023-02-15,first_visit,google / organic,Organic Search,1,0,0,0,,1,1,0
2023-02-15,page_view,(direct) / (none),Direct,26,0,0,0,,11,10,0
2023-02-15,page_view,google / organic,Organic Search,3,0,0,0,,1,1,0
2023-02-15,scroll,(direct) / (none),Direct,3,0,0,0,,1,1,0
2023-02-15,session_start,(direct) / (none),Direct,12,0,0,0,,12,10,0
2023-02-15,session_start,google / organic,Organic Search,1,0,0,0,,1,1,0
2023-02-15,user_engagement,(direct) / (none),Direct,14,0,0,0,,5,3,0
2023-02-15,user_engagement,google / organic,Organic Search,3,0,0,0,,1,1,0
2023-02-16,first_visit,(direct) / (none),Direct,4,0,0,0,,4,4,0
2023-02-16,first_visit,google / organic,Organic Search,2,0,0,0,,2,2,0
2023-02-16,page_view,(direct) / (none),Direct,21,0,0,0,,14,6,0
2023-02-16,page_view,google / organic,Organic Search,4,0,0,0,,2,2,0
2023-02-16,scroll,(direct) / (none),Direct,2,0,0,0,,1,1,0
2023-02-16,scroll,google / organic,Organic Search,2,0,0,0,,1,1,0
2023-02-16,session_start,(direct) / (none),Direct,16,0,0,0,,16,6,0
2023-02-16,session_start,google / organic,Organic Search,2,0,0,0,,2,2,0
2023-02-16,user_engagement,(direct) / (none),Direct,9,0,0,0,,7,1,0
2023-02-16,user_engagement,google / organic,Organic Search,3,0,0,0,,1,1,0
2023-02-17,click,google / organic,Organic Search,1,0,0,0,,1,1,0
2023-02-17,first_visit,(direct) / (none),Direct,5,0,0,0,,5,5,0
2023-02-17,first_visit,google / organic,Organic Search,4,0,0,0,,4,4,0
2023-02-17,page_view,(direct) / (none),Direct,53,0,0,0,,8,7,0
2023-02-17,page_view,google / organic,Organic Search,14,0,0,0,,4,4,0
2023-02-17,scroll,(direct) / (none),Direct,2,0,0,0,,2,2,0
2023-02-17,scroll,google / organic,Organic Search,3,0,0,0,,1,1,0
2023-02-17,session_start,(direct) / (none),Direct,9,0,0,0,,9,7,0
2023-02-17,session_start,google / organic,Organic Search,6,0,0,0,,6,4,0
2023-02-17,user_engagement,(direct) / (none),Direct,6,0,0,0,,4,4,0
2023-02-17,user_engagement,(not set),Unassigned,1,0,0,0,,1,1,0
2023-02-17,user_engagement,google / organic,Organic Search,13,0,0,0,,5,3,0
2023-02-18,first_visit,(direct) / (none),Direct,6,0,0,0,,6,6,0
2023-02-18,page_view,(direct) / (none),Direct,7,0,0,0,,7,7,0
2023-02-18,session_start,(direct) / (none),Direct,7,0,0,0,,7,7,0
2023-02-19,click,mnanp.org / referral,Referral,1,0,0,0,,1,1,0
2023-02-19,first_visit,(direct) / (none),Direct,3,0,0,0,,3,3,0
2023-02-19,first_visit,google / organic,Organic Search,2,0,0,0,,2,2,0
2023-02-19,first_visit,mnanp.org / referral,Referral,1,0,0,0,,1,1,0
2023-02-19,page_view,(direct) / (none),Direct,3,0,0,0,,3,3,0
2023-02-19,page_view,google / organic,Organic Search,4,0,0,0,,3,3,0
2023-02-19,page_view,mnanp.org / referral,Referral,6,0,0,0,,1,1,0
2023-02-19,session_start,(direct) / (none),Direct,3,0,0,0,,3,3,0
2023-02-19,session_start,google / organic,Organic Search,3,0,0,0,,3,3,0
2023-02-19,session_start,mnanp.org / referral,Referral,1,0,0,0,,1,1,0
2023-02-19,user_engagement,google / organic,Organic Search,3,0,0,0,,2,2,0
2023-02-19,user_engagement,mnanp.org / referral,Referral,3,0,0,0,,1,1,0
2023-02-20,first_visit,(direct) / (none),Direct,17,0,0,0,,17,17,0
2023-02-20,first_visit,google / organic,Organic Search,4,0,0,0,,4,4,0
2023-02-20,form_start,(direct) / (none),Direct,2,0,0,0,,2,1,0
2023-02-20,page_view,(direct) / (none),Direct,22,0,0,0,,20,19,0
2023-02-20,page_view,google / organic,Organic Search,10,0,0,0,,4,4,0
2023-02-20,scroll,(direct) / (none),Direct,2,0,0,0,,2,2,0
2023-02-20,scroll,google / organic,Organic Search,2,0,0,0,,2,2,0
2023-02-20,session_start,(direct) / (none),Direct,22,0,0,0,,22,19,0
2023-02-20,session_start,google / organic,Organic Search,4,0,0,0,,4,4,0
2023-02-20,user_engagement,(direct) / (none),Direct,6,0,0,0,,5,4,0
2023-02-20,user_engagement,(not set),Unassigned,1,0,0,0,,1,1,0
2023-02-20,user_engagement,google / organic,Organic Search,9,0,0,0,,3,3,0
2023-02-21,first_visit,(direct) / (none),Direct,46,0,0,0,,46,46,0
2023-02-21,page_view,(direct) / (none),Direct,63,0,0,0,,46,46,0
2023-02-21,page_view,google / organic,Organic Search,1,0,0,0,,1,1,0
2023-02-21,scroll,(direct) / (none),Direct,21,0,0,0,,5,5,0
2023-02-21,session_start,(direct) / (none),Direct,48,0,0,0,,48,46,0
2023-02-21,session_start,google / organic,Organic Search,1,0,0,0,,1,1,0
2023-02-21,user_engagement,(direct) / (none),Direct,20,0,0,0,,7,6,0
2023-02-21,user_engagement,google / organic,Organic Search,1,0,0,0,,1,1,0
2023-02-22,first_visit,(direct) / (none),Direct,2,0,0,0,,2,2,0
2023-02-22,first_visit,google / organic,Organic Search,4,0,0,0,,4,4,0
2023-02-22,page_view,(direct) / (none),Direct,24,0,0,0,,7,5,0
2023-02-22,page_view,google / organic,Organic Search,22,0,0,0,,5,5,0
2023-02-22,scroll,(direct) / (none),Direct,4,0,0,0,,1,1,0
2023-02-22,scroll,google / organic,Organic Search,5,0,0,0,,4,4,0
2023-02-22,session_start,(direct) / (none),Direct,9,0,0,0,,9,6,0
2023-02-22,session_start,google / organic,Organic Search,5,0,0,0,,5,5,0
2023-02-22,user_engagement,(direct) / (none),Direct,13,0,0,0,,6,5,0
2023-02-22,user_engagement,google / organic,Organic Search,19,0,0,0,,5,5,0
2023-02-23,click,google / organic,Organic Search,1,0,0,0,,1,1,0
2023-02-23,first_visit,(direct) / (none),Direct,5,0,0,0,,5,5,0
2023-02-23,first_visit,google / organic,Organic Search,2,0,0,0,,2,2,0
2023-02-23,first_visit,linkedin.com / referral,Organic Social,1,0,0,0,,1,1,0
2023-02-23,page_view,(direct) / (none),Direct,5,0,0,0,,5,5,0
2023-02-23,page_view,google / organic,Organic Search,4,0,0,0,,2,2,0
2023-02-23,page_view,linkedin.com / referral,Organic Social,2,0,0,0,,1,1,0
2023-02-23,scroll,google / organic,Organic Search,3,0,0,0,,2,2,0
2023-02-23,session_start,(direct) / (none),Direct,5,0,0,0,,5,5,0
2023-02-23,session_start,google / organic,Organic Search,3,0,0,0,,3,3,0
2023-02-23,session_start,linkedin.com / referral,Organic Social,1,0,0,0,,1,1,0
2023-02-23,user_engagement,(direct) / (none),Direct,1,0,0,0,,1,1,0
2023-02-23,user_engagement,google / organic,Organic Search,3,0,0,0,,3,3,0
2023-02-23,user_engagement,linkedin.com / referral,Organic Social,2,0,0,0,,1,1,0
2023-02-24,first_visit,(direct) / (none),Direct,30,0,0,0,,30,30,0
2023-02-24,first_visit,google / organic,Organic Search,2,0,0,0,,2,2,0
