yearMonth,city,region,country,sessions,totalUsers,newUsers,engagedSessions,engagementRate,bounceRate,conversions,screenPageViews
2023|02,(not set),(not set),United Kingdom,1,1,1,0,0,1,0,1
2023|02,(not set),(not set),United States,3,3,2,1,0.3333,0.6667,0,3
2023|02,(not set),Minnesota,United States,1,1,1,1,1,0,0,6
2023|02,(not set),Ohio,United States,1,1,1,0,0,1,0,1
2023|02,(not set),Wisconsin,United States,2,1,0,2,1,0,0,15
2023|02,(not set),Zamboanga Peninsula,Philippines,2,1,1,1,0.5,0.5,0,2
2023|02,Albert Lea,Minnesota,United States,1,1,1,1,1,0,0,2
2023|02,Antipolo,Calabarzon,Philippines,1,1,1,1,1,0,0,5
2023|02,Ashburn,Virginia,United States,5,5,4,1,0.2,0.8,0,5
2023|02,Athens,Alabama,United States,1,1,1,0,0,1,0,1
2023|02,Atlanta,Georgia,United States,1,1,1,1,1,0,0,1
2023|02,Austin,Texas,United States,1,1,1,0,0,1,0,1
2023|02,Bagley,Minnesota,United States,1,1,1,0,0,1,0,1
2023|02,Bengaluru,Karnataka,India,1,1,1,1,1,0,0,2
2023|02,Boardman,Oregon,United States,62,58,58,6,0.0968,0.9032,0,74
2023|02,Bolivar,Missouri,United States,2,2,2,0,0,1,0,2
2023|02,Bonham,Texas,United States,1,1,1,0,0,1,0,1
2023|02,Bowie,Texas,United States,6,3,1,1,0.1667,0.8333,0,6
2023|02,Brewton,Alabama,United States,3,2,0,2,0.6667,0.3333,0,4
2023|02,Brooklyn Park,Minnesota,United States,3,2,1,1,0.3333,0.6667,0,8
2023|02,Camano,Washington,United States,1,1,1,0,0,1,0,1
2023|02,Canton,Illinois,United States,2,2,0,1,0.5,0.5,0,14
2023|02,Canton,Texas,United States,1,1,1,0,0,1,0,1
2023|02,Chambers,Nebraska,United States,3,2,0,1,0.3333,0.6667,0,3
2023|02,Chauvin,Louisiana,United States,2,2,0,2,1,0,0,6
2023|02,Chicago,Illinois,United States,34,22,19,13,0.3824,0.6176,0,117
2023|02,Clinton,Missouri,United States,1,1,1,0,0,1,0,1
2023|02,Coalgate,Oklahoma,United States,1,1,1,0,0,1,0,1
2023|02,Coleman,Texas,United States,1,1,1,1,1,0,0,3
2023|02,Columbia,Kentucky,United States,1,1,1,0,0,1,0,1
2023|02,Columbus,Ohio,United States,12,12,12,0,0,1,0,12
2023|02,Crossett,Arkansas,United States,1,1,1,0,0,1,0,1
2023|02,Dallas,Texas,United States,3,2,1,2,0.6667,0.3333,0,12
