yearMonth,landingPage,sessions,engagedSessions,engagementRate,bounceRate,conversions,screenPageViews,totalUsers,newUsers
2023|02,,159,72,0.4528,0.5472,0,421,115,115
2023|02,(not set),25,0,0,1,0,0,20,0
2023|02,/blog,4,1,0.25,0.75,0,5,4,3
2023|02,/blog/2019/4/14/what-to-expect-from-a-naturopathic-doctor,2,0,0,1,0,2,2,2
2023|02,/blog/2022/10/26/naturopathic-first-aid-kit,1,1,1,0,0,1,1,1
2023|02,/cart,2,0,0,1,0,2,2,2
2023|02,/clinical-laboratory-tests,2,1,0.5,0.5,0,3,2,1
2023|02,/contact,4,1,0.25,0.75,0,4,4,4
2023|02,/dietary-supplements,2,1,0.5,0.5,0,17,2,1
2023|02,/meet-dr-haley,3,0,0,1,0,3,3,3
2023|02,/naturopathic-medicine,5,2,0.4,0.6,0,6,4,2
2023|02,/prepare-for-your-visit,51,0,0,1,0,51,51,51
2023|02,/schedule-an-appointment,8,4,0.5,0.5,0,14,6,4
2023|02,/test,1,1,1,0,0,42,1,0
2023|03,,761,299,0.3929,0.6071,0,1295,665,657
2023|03,(not set),54,4,0.0741,0.9259,0,0,42,0
2023|03,/blog,51,38,0.7451,0.2549,0,123,44,38
2023|03,/blog/2017/7/13/sugar-and-the-alternative-sweeteners,1,0,0,1,0,1,1,1
2023|03,/blog/2019/1/20/stimulating-the-vis-with-naturopathic-medicine,1,1,1,0,0,1,1,1
2023|03,/blog/2019/4/14/what-to-expect-from-a-naturopathic-doctor,1,1,1,0,0,7,1,1
2023|03,/blog/2021/1/4/how-to-achieve-your-daily-dietary-fiber-goal,1,0,0,1,0,1,1,1
2023|03,/blog/2022/10/26/naturopathic-first-aid-kit,1,0,0,1,0,1,1,1
2023|03,/blog/2022/3/7/health-alerts-eden-prairie-spring-water,5,4,0.8,0.2,0,8,5,5
2023|03,/blog/fiberfocus,13,10,0.7692,0.2308,0,22,11,8
2023|03,/blog/health-alerts-for-eden-prairie-spring-water,5,1,0.2,0.8,0,8,5,5
2023|03,/blog/lab-testing-looking-outside-the-reference-range,7,6,0.8571,0.1429,0,14,7,7
2023|03,/blog/naturopathic-first-aid-kit,3,1,0.3333,0.6667,0,3,3,1
2023|03,/blog/naturopathic-medicine-provides-a-holistic-approach,1,0,0,1,0,1,1,1
2023|03,/blog/what-to-expect-from-a-naturopathic-doctor,2,1,0.5,0.5,0,3,2,1
2023|03,/cart,1,0,0,1,0,1,1,1
2023|03,/clinical-laboratory-tests,28,14,0.5,0.5,0,52,26,21
2023|03,/contact,14,4,0.2857,0.7143,0,18,2,1
2023|03,/dietary-supplements,1,0,0,1,0,1,1,1
2023|03,/faq,4,0,0,1,0,4,3,2
2023|03,/meet-dr-haley,11,7,0.6364,0.3636,0,18,9,8
2023|03,/meet-dr-jacob,5,4,0.8,0.2,0,8,4,2
2023|03,/naturopathic-doctors,1,1,1,0,0,6,1,1
2023|03,/naturopathic-medicine,6,2,0.3333,0.6667,0,11,5,3
2023|03,/pnh-online-medicinary,1,1,1,0,0,1,1,1
2023|03,/prepare-for-your-visit,2,0,0,1,0,2,1,0
2023|03,/schedule-an-appointment,20,9,0.45,0.55,0,58,16,7
2023|03,/whypnh,9,8,0.8889,0.1111,0,24,6,4
2023|04,,676,281,0.4157,0.5843,0,1067,607,594
2023|04,(not set),25,0,0,1,0,0,23,0
2023|04,/blog,8,1,0.125,0.875,0,9,6,4
2023|04,/blog/2019/4/14/what-to-expect-from-a-naturopathic-doctor,1,1,1,0,0,2,1,1
2023|04,/blog/2021/3/22/heart-rate-monitoring-and-hiit,2,0,0,1,0,2,2,2
2023|04,/blog/2022/10/26/naturopathic-first-aid-kit,3,3,1,0,0,3,3,3
2023|04,/blog/2022/3/7/health-alerts-eden-prairie-spring-water,2,1,0.5,0.5,0,2,2,2
2023|04,/blog/fiberfocus,2,1,0.5,0.5,0,3,2,2
2023|04,/blog/health-alerts-for-eden-prairie-spring-water,8,4,0.5,0.5,0,12,5,5
2023|04,/cart,1,0,0,1,0,1,1,1
2023|04,/clinical-laboratory-tests,2,1,0.5,0.5,0,4,2,1
2023|04,/contact,37,8,0.2162,0.7838,0,40,3,2
2023|04,/dietary-supplements,1,1,1,0,0,2,1,1
2023|04,/faq,4,2,0.5,0.5,0,6,4,2
2023|04,/meet-dr-haley,13,7,0.5385,0.4615,0,27,13,11
2023|04,/meet-dr-jacob,8,4,0.5,0.5,0,12,8,6
2023|04,/naturopathic-medicine,6,1,0.1667,0.8333,0,9,5,1
2023|04,/oauth2/squarespace/loader,1,1,1,0,0,2,1,0
2023|04,/patient-portal,1,0,0,1,0,1,1,1
2023|04,/pnh-online-medicinary,2,2,1,0,0,4,2,0
2023|04,/prepare-for-your-visit,4,2,0.5,0.5,0,9,4,3
2023|04,/schedule-an-appointment,17,8,0.4706,0.5294,0,27,14,7
2023|04,/whypnh,5,1,0.2,0.8,0,7,3,1
2023|05,,1067,392,0.3674,0.6326,0,1586,950,935
2023|05,(not set),35,1,0.0286,0.9714,0,0,33,0
2023|05,/blog,4,2,0.5,0.5,0,6,4,4
2023|05,/blog/2021/3/22/heart-rate-monitoring-and-hiit,1,0,0,1,0,1,1,1
2023|05,/blog/2021/4/8/what-to-do-for-your-seasonal-allergies,1,1,1,0,0,1,1,1
2023|05,/blog/2022/3/7/health-alerts-eden-prairie-spring-water,1,1,1,0,0,3,1,1
2023|05,/blog/health-alerts-for-eden-prairie-spring-water,4,2,0.5,0.5,0,4,3,2
2023|05,/blog/lab-testing-looking-outside-the-reference-range,2,1,0.5,0.5,0,4,1,1
2023|05,/blog/what-to-expect-from-a-naturopathic-doctor,2,1,0.5,0.5,0,2,2,2
2023|05,/cart,2,0,0,1,0,2,2,2
2023|05,/clinical-laboratory-tests,4,2,0.5,0.5,0,12,4,1
2023|05,/contact,6,3,0.5,0.5,0,10,6,3
2023|05,/dietary-supplements,1,1,1,0,0,2,1,0
2023|05,/faq,2,1,0.5,0.5,0,2,2,1
2023|05,/meet-dr-haley,16,8,0.5,0.5,0,28,13,7
2023|05,/meet-dr-jacob,3,1,0.3333,0.6667,0,4,3,2
2023|05,/naturopathic-doctors,1,1,1,0,0,1,1,1
2023|05,/naturopathic-medicine,11,4,0.3636,0.6364,0,19,10,7
2023|05,/patient-portal,2,1,0.5,0.5,0,7,2,2
2023|05,/pnh-online-medicinary,1,0,0,1,0,1,1,1
2023|05,/prepare-for-your-visit,6,3,0.5,0.5,0,7,5,2
2023|05,/schedule-an-appointment,25,11,0.44,0.56,0,58,19,8
2023|05,/whypnh,1,1,1,0,0,1,1,1
2023|06,,559,256,0.458,0.542,0,928,490,477
2023|06,(not set),21,0,0,1,0,0,19,0
2023|06,/blog,3,0,0,1,0,3,3,2
2023|06,/blog/2022/3/7/health-alerts-eden-prairie-spring-water,1,0,0,1,0,1,1,1
2023|06,/blog/health-alerts-for-eden-prairie-spring-water,7,2,0.2857,0.7143,0,9,4,2
2023|06,/blog/what-to-expect-from-a-naturopathic-doctor,1,0,0,1,0,1,1,0
2023|06,/cart,2,0,0,1,0,2,2,2
2023|06,/clinical-laboratory-tests,4,4,1,0,0,14,4,0
2023|06,/contact,4,1,0.25,0.75,0,9,4,3
2023|06,/dietary-supplements,4,1,0.25,0.75,0,4,4,2
2023|06,/faq,3,0,0,1,0,3,3,1
2023|06,/meet-dr-haley,17,11,0.6471,0.3529,0,45,15,11
2023|06,/meet-dr-jacob,3,3,1,0,0,7,2,2
2023|06,/naturopathic-doctors,1,1,1,0,0,1,1,0
2023|06,/naturopathic-medicine,5,1,0.2,0.8,0,6,5,5
2023|06,/patient-portal,1,1,1,0,0,2,1,1
2023|06,/pnh-online-medicinary,1,0,0,1,0,1,1,1
2023|06,/prepare-for-your-visit,3,0,0,1,0,3,3,2
2023|06,/schedule-an-appointment,15,6,0.4,0.6,0,17,13,4
2023|06,/whypnh,1,0,0,1,0,1,1,0
2023|07,,41,14,0.3415,0.6585,0,57,39,34
2023|07,(not set),24,0,0,1,0,0,19,0
2023|07,/,553,236,0.4268,0.5732,0,870,498,486
2023|07,/blog,10,5,0.5,0.5,0,17,10,9
2023|07,/blog/health-alerts-for-eden-prairie-spring-water,2,0,0,1,0,2,1,0
2023|07,/blog/naturopathic-first-aid-kit,2,2,1,0,0,4,2,2
2023|07,/blog/what-to-expect-from-a-naturopathic-doctor,2,2,1,0,0,5,2,2
2023|07,/cart,2,0,0,1,0,2,2,2
2023|07,/clinical-laboratory-tests,4,1,0.25,0.75,0,24,3,0
2023|07,/contact,8,2,0.25,0.75,0,10,5,3
2023|07,/dietary-supplements,1,0,0,1,0,1,1,1
2023|07,/meet-dr-haley,10,6,0.6,0.4,0,21,10,8
2023|07,/meet-dr-jacob,2,2,1,0,0,7,2,2
2023|07,/naturopathic-medicine,7,3,0.4286,0.5714,0,16,6,3
2023|07,/patient-portal,1,0,0,1,0,1,1,1
2023|07,/pnh-online-medicinary,3,1,0.3333,0.6667,0,3,2,0
2023|07,/prepare-for-your-visit,1,0,0,1,0,1,1,0
2023|07,/schedule-an-appointment,11,7,0.6364,0.3636,0,25,11,4
2023|07,/tmp7j5pto71.html,1,0,0,1,0,1,1,1
2023|07,/tmpm_kcp05i.html,1,0,0,1,0,1,1,1
2023|07,/tmpwq5o2tt1.html,1,0,0,1,0,1,1,1
2023|07,/tmpybenk106.html,1,0,0,1,0,1,1,1
2023|07,/whypnh,4,4,1,0,0,11,4,4
2023|08,(not set),20,0,0,1,0,0,17,0
2023|08,/,331,162,0.4894,0.5106,0,744,258,245
2023|08,/blog,2,1,0.5,0.5,0,3,2,1
2023|08,/blog/2022/3/7/health-alerts-eden-prairie-spring-water,1,1,1,0,0,4,1,1
2023|08,/blog/what-to-expect-from-a-naturopathic-doctor,1,0,0,1,0,1,1,1
2023|08,/cart,1,0,0,1,0,1,1,1
2023|08,/clinical-laboratory-tests,11,2,0.1818,0.8182,0,16,9,6
2023|08,/contact,4,0,0,1,0,4,2,1
2023|08,/faq,2,1,0.5,0.5,0,2,2,0
2023|08,/meal-plans-and-recipe-books,2,1,0.5,0.5,0,3,1,0
2023|08,/meet-dr-haley,15,7,0.4667,0.5333,0,21,15,13
2023|08,/meet-dr-jacob,3,3,1,0,0,6,3,3
2023|08,/nail-fungus-relief,12,11,0.9167,0.0833,0,37,11,9
2023|08,/naturopathic-medicine,5,3,0.6,0.4,0,10,4,4
2023|08,/patient-portal,1,0,0,1,0,1,1,1
2023|08,/pnh-online-medicinary,2,2,1,0,0,5,2,1
2023|08,/prepare-for-your-visit,2,1,0.5,0.5,0,3,2,1
2023|08,/schedule-an-appointment,23,15,0.6522,0.3478,0,39,20,10
2023|08,/wellness-shop,1,1,1,0,0,22,1,0
2023|08,/wellness-shop/p/nail-fungus-relief,3,1,0.3333,0.6667,0,8,2,0
2023|09,(not set),16,0,0,1,0,0,12,0
2023|09,/,212,111,0.5236,0.4764,0,506,147,138
2023|09,/blog,4,2,0.5,0.5,0,19,4,1
2023|09,/blog/breaking-the-fast-your-guide-to-a-stellar-morning-meal,15,9,0.6,0.4,0,25,14,9
2023|09,/blog/health-alerts-for-eden-prairie-spring-water,1,1,1,0,0,6,1,1
2023|09,/cart,1,0,0,1,0,1,1,1
2023|09,/clinical-laboratory-tests,7,4,0.5714,0.4286,0,12,6,5
2023|09,/contact,2,1,0.5,0.5,0,2,2,2
2023|09,/dietary-supplements,2,1,0.5,0.5,0,3,2,0
2023|09,/events,1,1,1,0,0,7,1,0
2023|09,/events/event-one-339fw,1,0,0,1,0,1,1,0
2023|09,/events/natural-remedies-for-cold-and-flu-season,1,1,1,0,0,3,1,0
2023|09,/faq,2,1,0.5,0.5,0,5,2,0
2023|09,/meal-plans-and-recipe-books,1,1,1,0,0,3,1,0
2023|09,/meet-dr-haley,12,9,0.75,0.25,0,36,10,6
2023|09,/meet-dr-jacob,7,4,0.5714,0.4286,0,19,7,7
2023|09,/nail-fungus-relief,1,1,1,0,0,3,1,1
2023|09,/naturopathic-medicine,2,0,0,1,0,2,2,1
2023|09,/oauth2/squarespace/loader,1,1,1,0,0,2,1,0
2023|09,/patient-portal,1,0,0,1,0,1,1,1
2023|09,/pnh-online-medicinary,1,0,0,1,0,1,1,0
2023|09,/schedule-an-appointment,32,16,0.5,0.5,0,51,20,10
2023|09,/wellness-shop,1,1,1,0,0,14,1,0
2023|10,(not set),20,0,0,1,0,0,15,0
2023|10,/,167,107,0.6407,0.3593,0,409,123,114
2023|10,/blog,2,0,0,1,0,2,2,2
2023|10,/blog/2017/11/11/minerals-elements-of-health,1,0,0,1,0,1,1,1
2023|10,/blog/2019/4/14/what-to-expect-from-a-naturopathic-doctor,1,0,0,1,0,1,1,1
2023|10,/blog/2022/3/7/health-alerts-eden-prairie-spring-water,1,0,0,1,0,1,1,1
2023|10,/blog/breaking-the-fast-your-guide-to-a-stellar-morning-meal,3,0,0,1,0,3,2,1
2023|10,/blog/health-alerts-for-eden-prairie-spring-water,1,1,1,0,0,4,1,1
2023|10,/blog/lab-testing-looking-outside-the-reference-range,1,0,0,1,0,1,1,1
2023|10,/blog/naturopathic-medicine-provides-a-holistic-approach,4,0,0,1,0,4,4,4
2023|10,/cart,2,0,0,1,0,2,2,2
2023|10,/contact,10,5,0.5,0.5,0,11,9,8
2023|10,/events,18,11,0.6111,0.3889,0,32,18,16
2023|10,/events/halloween-in-hopkins,1,1,1,0,0,1,1,0
2023|10,/events/natural-remedies-for-cold-and-flu-season,1,1,1,0,0,7,1,0
2023|10,/faq,2,1,0.5,0.5,0,3,2,2
2023|10,/home,2,0,0,1,0,2,1,1
2023|10,/meet-dr-haley,17,10,0.5882,0.4118,0,24,16,13
2023|10,/meet-dr-jacob,3,3,1,0,0,5,3,3
2023|10,/naturopathic-medicine,8,5,0.625,0.375,0,16,8,5
2023|10,/patient-portal,8,3,0.375,0.625,0,8,5,3
2023|10,/prepare-for-your-visit,3,1,0.3333,0.6667,0,3,3,2
2023|10,/schedule-an-appointment,12,5,0.4167,0.5833,0,25,6,3
2023|10,/wellness-shop,1,0,0,1,0,1,1,0
2023|11,(not set),12,1,0.0833,0.9167,0,0,12,1
2023|11,/,142,84,0.5915,0.4085,0,368,107,102
2023|11,/blog,1,1,1,0,0,2,1,1
2023|11,/blog/breaking-the-fast-your-guide-to-a-stellar-morning-meal,1,0,0,1,0,1,1,1
2023|11,/blog/cGVyc29uYW,2,0,0,1,0,2,2,2
2023|11,/blog/personalized-fitness-know-your-heart-know-its-limits,2,1,0.5,0.5,0,30,1,0
2023|11,/blog/personalized-fitness-tailoring-your-workouts-with-target-heart-rate,8,6,0.75,0.25,0,23,8,6
2023|11,/cart,1,0,0,1,0,1,1,1
2023|11,/clinical-laboratory-tests,6,5,0.8333,0.1667,0,11,5,3
2023|11,/contact,5,4,0.8,0.2,0,5,5,5
2023|11,/dietary-supplements,1,1,1,0,0,1,1,1
2023|11,/faq,2,1,0.5,0.5,0,2,2,2
2023|11,/meet-dr-haley,10,7,0.7,0.3,0,23,10,6
2023|11,/meet-dr-jacob,5,3,0.6,0.4,0,11,5,4
2023|11,/naturopathic-medicine,2,0,0,1,0,2,2,1
2023|11,/patient-portal,2,0,0,1,0,2,2,0
2023|11,/schedule-an-appointment,4,4,1,0,0,22,4,2
2023|11,/wellness-shop,2,1,0.5,0.5,0,3,2,0
2023|11,/whypnh,1,0,0,1,0,1,1,1
2023|12,(not set),11,0,0,1,0,0,10,0
2023|12,/,126,80,0.6349,0.3651,0,361,97,89
2023|12,/blog,4,1,0.25,0.75,0,10,4,3
2023|12,/blog/breaking-the-fast-your-guide-to-a-stellar-morning-meal,2,1,0.5,0.5,0,2,2,1
2023|12,/blog/fiberfocus,1,1,1,0,0,1,1,0
2023|12,/blog/naturopathic-first-aid-kit,7,3,0.4286,0.5714,0,14,5,4
2023|12,/blog/naturopathic-medicine-provides-a-holistic-approach,1,0,0,1,0,1,1,1
2023|12,/blog/personalized-fitness-tailoring-your-workouts-with-target-heart-rate,1,0,0,1,0,1,1,1
2023|12,/blog/what-to-expect-from-a-naturopathic-doctor,1,0,0,1,0,1,1,1
2023|12,/cardiofocused-appointment,1,1,1,0,0,2,1,0
2023|12,/cart,3,1,0.3333,0.6667,1,4,3,2
2023|12,/clinical-laboratory-tests,1,0,0,1,0,1,1,1
2023|12,/contact,4,1,0.25,0.75,0,4,4,4
2023|12,/dietary-supplements,1,0,0,1,0,1,1,1
2023|12,/heart-health,1,1,1,0,0,1,1,0
2023|12,/home,3,0,0,1,0,3,1,0
2023|12,/meal-plans-and-recipe-books,1,1,1,0,0,4,1,1
2023|12,/meet-dr-haley,8,4,0.5,0.5,0,38,8,7
2023|12,/meet-dr-jacob,11,9,0.8182,0.1818,0,24,11,7
2023|12,/nail-fungus-relief,2,2,1,0,0,7,2,1
2023|12,/naturopathic-medicine,6,3,0.5,0.5,0,8,6,4
2023|12,/patient-portal,1,0,0,1,0,1,1,0
2023|12,/schedule-an-appointment,8,2,0.25,0.75,0,10,6,5
2023|12,/wellness-shop,11,8,0.7273,0.2727,1,23,11,11
2023|12,/wellness-shop/nail-fungus-relief,1,0,0,1,0,1,1,0
2023|12,/wellness-shop/p/21-day-healthy-plate-meal-plan-for-two,1,1,1,0,0,16,1,0
2023|12,/wellness-shop/p/bmFpbC1mdW,6,1,0.1667,0.8333,0,6,6,6
2023|12,/wellness-shop/p/nail-fungus-relief,8,3,0.375,0.625,1,10,5,1
2023|12,/whypnh,1,1,1,0,0,1,1,1
2024|01,(not set),35,0,0,1,8,0,26,0
2024|01,/,211,157,0.7441,0.2559,0,533,143,130
2024|01,/blog,4,1,0.25,0.75,0,13,4,3
2024|01,/blog/2019/4/14/what-to-expect-from-a-naturopathic-doctor,1,1,1,0,0,1,1,1
2024|01,/blog/breaking-the-fast-your-guide-to-a-stellar-morning-meal,1,0,0,1,0,1,1,1
2024|01,/blog/naturopathic-first-aid-kit,1,1,1,0,0,3,1,1
2024|01,/blog/what-to-expect-from-a-naturopathic-doctor,1,0,0,1,0,1,1,1
2024|01,/cardiovascular-wellness-program,17,7,0.4118,0.5882,0,25,8,6
2024|01,/cart,3,0,0,1,0,3,3,3
2024|01,/clinical-laboratory-tests,3,1,0.3333,0.6667,0,3,2,1
2024|01,/contact,6,0,0,1,0,6,6,6
2024|01,/dietary-supplements,3,1,0.3333,0.6667,0,10,3,1
2024|01,/events,13,7,0.5385,0.4615,0,29,9,7
2024|01,/events/what-is-naturopathic-medicine-live-qa-with-dr-jacob-panka,1,1,1,0,0,2,1,0
2024|01,/faq,1,0,0,1,0,1,1,1
2024|01,/heart-health,1,1,1,0,0,2,1,0
2024|01,/home,1,1,1,0,0,4,1,0
2024|01,/meal-plans-and-recipe-books,1,1,1,0,0,7,1,0
2024|01,/meet-dr-haley,18,7,0.3889,0.6111,0,27,16,14
2024|01,/meet-dr-jacob,5,4,0.8,0.2,0,9,5,4
2024|01,/nail-fungus-relief,1,1,1,0,0,11,1,0
2024|01,/naturopathic-medicine,13,8,0.6154,0.3846,0,42,12,7
2024|01,/patient-portal,4,2,0.5,0.5,0,7,3,1
2024|01,/prepare-for-your-visit,5,3,0.6,0.4,0,11,5,3
2024|01,/schedule-an-appointment,16,10,0.625,0.375,0,25,13,6
2024|01,/schedule.php,11,3,0.2727,0.7273,0,16,11,11
2024|01,/wellness-shop,2,2,1,0,0,5,2,2
2024|01,/wellness-shop/p/nail-fungus-relief,3,1,0.3333,0.6667,0,10,2,1
2024|01,/whypnh,2,0,0,1,0,2,2,1
2024|02,(not set),28,0,0,1,22,0,20,0
2024|02,/,1576,350,0.2221,0.7779,1,2183,1472,1458
2024|02,//pankanaturalhealth.com,1,0,0,1,0,1,1,1
2024|02,/blog,4,2,0.5,0.5,0,8,4,3
2024|02,/blog/breaking-the-fast-your-guide-to-a-stellar-morning-meal,2,1,0.5,0.5,0,2,1,1
2024|02,/blog/personalized-fitness-tailoring-your-workouts-with-target-heart-rate,1,0,0,1,0,1,1,0
2024|02,/blog/what-to-expect-from-a-naturopathic-doctor,2,0,0,1,0,2,2,1
2024|02,/cardiovascular-wellness-program,11,5,0.4545,0.5455,0,14,6,1
2024|02,/cart,2,0,0,1,0,2,2,2
2024|02,/clinical-laboratory-tests,2,2,1,0,0,2,2,1
2024|02,/contact,9,2,0.2222,0.7778,0,10,8,5
2024|02,/diabetes,3,3,1,0,0,9,1,0
2024|02,/dietary-supplements,1,0,0,1,0,1,1,1
2024|02,/events,2,2,1,0,0,4,2,2
2024|02,/events/menstrual-cycles-tracking-for-health-and-fertility-awareness,1,0,0,1,0,1,1,1
2024|02,/faq,3,0,0,1,0,3,2,1
2024|02,/home,4,3,0.75,0.25,0,24,2,0
2024|02,/meal-plans-and-recipe-books,2,2,1,0,0,8,2,1
2024|02,/meet-dr-haley,20,11,0.55,0.45,0,32,17,16
2024|02,/meet-dr-jacob,5,2,0.4,0.6,0,10,4,4
2024|02,/nail-fungus-relief,1,1,1,0,0,4,1,1
2024|02,/naturopathic-medicine,8,3,0.375,0.625,0,14,7,4
2024|02,/pankanaturalhealth.com,25,0,0,1,0,25,25,25
2024|02,/pnh-online-medicinary,6,2,0.3333,0.6667,0,10,5,4
2024|02,/prepare-for-your-visit,4,3,0.75,0.25,0,6,4,1
2024|02,/schedule-an-appointment,18,8,0.4444,0.5556,0,25,11,2
2024|02,/schedule.php,19,13,0.6842,0.3158,0,46,14,13
2024|02,/wellness-shop,2,1,0.5,0.5,0,5,2,0
2024|02,/whypnh,3,3,1,0,0,5,3,3
2024|02,/womens-health,2,2,1,0,0,4,1,0
2024|03,(not set),38,1,0.0263,0.9737,24,0,31,0
2024|03,/,843,365,0.433,0.567,0,1545,723,706
2024|03,/blog,3,1,0.3333,0.6667,0,7,3,2
2024|03,/blog/aerobic-exercise-vs-hiit-which-is-right-for-you,12,5,0.4167,0.5833,0,17,12,9
2024|03,/blog/naturopathic-medicine-provides-a-holistic-approach,1,1,1,0,0,1,1,0
2024|03,/blog/personalized-fitness-tailoring-your-workouts-with-target-heart-rate,1,0,0,1,0,1,1,0
2024|03,/cardiovascular-wellness-program,1,0,0,1,0,1,1,0
2024|03,/cardiovascular-wellness-program-1,1,1,1,0,0,21,1,0
