yearMonth,landingPage,sessionSourceMedium,sessions,engagedSessions,engagementRate,bounceRate,conversions,screenPageViews,totalUsers,newUsers
2023|03,,google / cpc,529,159,0.3006,0.6994,0,685,488,489
2023|03,(not set),google / cpc,11,1,0.0909,0.9091,0,0,11,0
2023|03,/blog,google / cpc,1,1,1,0,0,2,1,0
2023|03,/meet-dr-haley,google / cpc,2,0,0,1,0,2,1,0
2023|03,/meet-dr-jacob,google / cpc,2,2,1,0,0,3,2,2
2023|03,/naturopathic-medicine,google / cpc,2,1,0.5,0.5,0,2,1,0
2023|03,/schedule-an-appointment,google / cpc,1,0,0,1,0,1,1,0
2023|04,,google / cpc,492,166,0.3374,0.6626,0,601,460,459
2023|04,(not set),google / cpc,7,0,0,1,0,0,7,0
2023|04,/faq,google / cpc,1,0,0,1,0,1,1,0
2023|04,/meet-dr-jacob,google / cpc,1,0,0,1,0,1,1,0
2023|04,/naturopathic-medicine,google / cpc,1,0,0,1,0,1,1,0
2023|04,/schedule-an-appointment,google / cpc,1,1,1,0,0,1,1,1
2023|05,,google / cpc,825,257,0.3115,0.6885,0,1030,771,765
2023|05,(not set),google / cpc,16,1,0.0625,0.9375,0,0,16,0
2023|05,/clinical-laboratory-tests,google / cpc,1,1,1,0,0,4,1,0
2023|05,/contact,google / cpc,1,1,1,0,0,4,1,0
2023|05,/meet-dr-haley,google / cpc,1,1,1,0,0,1,1,0
2023|05,/meet-dr-jacob,google / cpc,1,0,0,1,0,1,1,0
2023|05,/naturopathic-medicine,google / cpc,2,1,0.5,0.5,0,2,2,0
2023|05,/pnh-online-medicinary,google / cpc,1,0,0,1,0,1,1,1
2023|05,/schedule-an-appointment,google / cpc,2,0,0,1,0,2,2,0
2023|06,,google / cpc,356,139,0.3904,0.6096,0,487,335,332
2023|06,(not set),google / cpc,11,0,0,1,0,0,11,0
2023|06,/blog,google / cpc,1,0,0,1,0,1,1,0
2023|06,/blog/health-alerts-for-eden-prairie-spring-water,google / cpc,2,1,0.5,0.5,0,4,1,0
2023|06,/faq,google / cpc,1,0,0,1,0,1,1,0
2023|06,/meet-dr-haley,google / cpc,1,0,0,1,0,1,1,0
2023|06,/pnh-online-medicinary,google / cpc,1,0,0,1,0,1,1,1
2023|06,/schedule-an-appointment,google / cpc,3,1,0.3333,0.6667,0,3,3,2
2023|06,/whypnh,google / cpc,1,0,0,1,0,1,1,0
2023|07,,google / cpc,26,4,0.1538,0.8462,0,27,25,23
2023|07,(not set),google / cpc,5,0,0,1,0,0,4,0
2023|07,/,google / cpc,378,144,0.381,0.619,0,534,356,352
2023|07,/blog,google / cpc,1,0,0,1,0,1,1,0
2023|07,/meet-dr-haley,google / cpc,1,0,0,1,0,1,1,0
2023|07,/pnh-online-medicinary,google / cpc,2,0,0,1,0,2,1,0
2023|07,/schedule-an-appointment,google / cpc,3,2,0.6667,0.3333,0,6,3,1
2023|07,/whypnh,google / cpc,4,4,1,0,0,11,4,4
2023|08,(not set),google / cpc,1,0,0,1,0,0,1,0
2023|08,/,google / cpc,139,49,0.3525,0.6475,0,174,122,119
2023|08,/faq,google / cpc,1,1,1,0,0,1,1,0
2023|08,/schedule-an-appointment,google / cpc,1,0,0,1,0,1,1,0
2023|09,/,google / cpc,2,0,0,1,0,2,2,2
2024|02,(not set),google / cpc,3,0,0,1,0,0,3,0
2024|02,/,google / cpc,518,192,0.3707,0.6293,0,728,500,499
2024|02,/blog/what-to-expect-from-a-naturopathic-doctor,google / cpc,1,0,0,1,0,1,1,0
2024|02,/cardiovascular-wellness-program,google / cpc,5,0,0,1,0,5,2,0
2024|02,/meal-plans-and-recipe-books,google / cpc,1,1,1,0,0,6,1,0
