yearMonth,newVsReturning,sessions,newUsers,engagedSessions,engagementRate,bounceRate,conversions,screenPageViews,totalUsers_sum_NOT_DEDUPED
2023|02,(not set),9,0,0,0.0,1.0,0,5,8
2023|02,new,195,189,47,0.241,0.759,0,295,195
2023|02,returning,66,0,37,0.5606,0.4394,0,271,19
2023|03,(not set),70,0,2,0.0286,0.9714,0,64,37
2023|03,new,786,780,337,0.4288,0.5712,0,1348,785
2023|03,returning,156,0,77,0.4936,0.5064,0,280,91
2023|04,(not set),81,0,6,0.0741,0.9259,0,71,38
2023|04,new,654,650,278,0.4251,0.5749,0,1023,654
2023|04,returning,98,0,46,0.4694,0.5306,0,157,59
2023|05,(not set),73,0,0,0.0,1.0,0,62,55
2023|05,new,988,985,366,0.3704,0.6296,0,1465,986
2023|05,returning,139,0,71,0.5108,0.4892,0,234,82
2023|06,(not set),37,0,0,0.0,1.0,0,34,18
2023|06,new,516,516,234,0.4535,0.5465,0,830,516
2023|06,returning,103,0,54,0.5243,0.4757,0,193,65
2023|07,(not set),46,0,0,0.0,1.0,0,38,26
2023|07,new,565,565,245,0.4336,0.5664,0,895,565
2023|07,returning,80,0,40,0.5,0.5,0,148,47
2023|08,(not set),48,0,2,0.0417,0.9583,0,45,23
2023|08,new,298,298,154,0.5168,0.4832,0,507,298
2023|08,returning,96,0,56,0.5833,0.4167,0,378,44
2023|09,(not set),25,0,0,0.0,1.0,0,24,15
2023|09,new,184,183,104,0.5652,0.4348,0,422,184
2023|09,returning,115,0,61,0.5304,0.4696,0,276,40
2023|10,(not set),35,0,0,0.0,1.0,0,30,12
2023|10,new,184,184,113,0.6141,0.3859,0,401,184
2023|10,returning,70,0,41,0.5857,0.4143,0,135,37
2023|11,(not set),16,0,0,0.0,1.0,0,14,8
2023|11,new,139,139,90,0.6475,0.3525,0,350,139
2023|11,returning,54,0,29,0.537,0.463,0,146,33
2023|12,(not set),20,0,0,0.0,1.0,0,16,13
2023|12,new,152,152,85,0.5592,0.4408,2,346,152
2023|12,returning,61,0,40,0.6557,0.3443,1,194,24
2024|01,(not set),30,0,0,0.0,1.0,8,20,24
2024|01,new,212,212,132,0.6226,0.3774,0,436,212
2024|01,returning,142,0,89,0.6268,0.3732,0,353,50
2024|02,(not set),62,0,1,0.0161,0.9839,22,52,33
2024|02,new,1551,1552,320,0.2063,0.7937,1,2023,1552
2024|02,returning,157,0,101,0.6433,0.3567,0,386,66
2024|03,(not set),83,0,1,0.012,0.988,24,85,41
2024|03,new,794,793,325,0.4093,0.5907,0,1331,793
2024|03,returning,175,0,107,0.6114,0.3886,0,425,80
2024|04,(not set),70,0,1,0.0143,0.9857,11,53,42
2024|04,new,482,481,240,0.4979,0.5021,1,851,483
2024|04,returning,132,0,65,0.4924,0.5076,0,223,70
2024|05,(not set),45,0,1,0.0222,0.9778,16,37,20
2024|05,new,375,376,189,0.504,0.496,0,725,376
2024|05,returning,128,0,87,0.6797,0.3203,1,296,49
2024|06,(not set),56,0,2,0.0357,0.9643,21,46,35
2024|06,new,480,480,267,0.5563,0.4437,0,888,480
2024|06,returning,148,0,79,0.5338,0.4662,0,345,62
2024|07,(not set),48,0,1,0.0208,0.9792,22,40,25
2024|07,new,310,309,155,0.5,0.5,1,542,310
2024|07,returning,118,0,74,0.6271,0.3729,0,234,52
2024|08,(not set),29,0,1,0.0345,0.9655,10,27,16
2024|08,new,164,164,104,0.6341,0.3659,0,378,164
2024|08,returning,121,0,77,0.6364,0.3636,0,253,51
2024|09,(not set),53,0,0,0.0,1.0,13,45,27
2024|09,new,531,530,239,0.4501,0.5499,1,894,529
