date,sessionSourceMedium,sessionDefaultChannelGrouping,pagePath,transactionId,currencyCode,eventCount,purchaseRevenue,totalRevenue,transactions,ecommercePurchases,detail_grain
2023-12-18,(direct) / (none),Direct,(unavailable-see-notes),(unavailable-see-notes),(not set),1,0.0,0.0,0,1,date x sessionSourceMedium only
2023-12-21,(direct) / (none),Direct,(unavailable-see-notes),(unavailable-see-notes),(not set),1,0.0,0.0,0,1,date x sessionSourceMedium only
2023-12-22,(direct) / (none),Direct,(unavailable-see-notes),(unavailable-see-notes),(not set),1,0.0,0.0,0,1,date x sessionSourceMedium only
2024-01-16,(not set),Unassigned,(unavailable-see-notes),(unavailable-see-notes),(not set),1,195.0,195.0,1,1,date x sessionSourceMedium only
2024-01-21,(not set),Unassigned,(unavailable-see-notes),(unavailable-see-notes),(not set),1,195.0,195.0,1,1,date x sessionSourceMedium only
2024-01-24,(not set),Unassigned,(unavailable-see-notes),(unavailable-see-notes),(not set),3,390.0,390.0,3,3,date x sessionSourceMedium only
2024-01-29,(not set),Unassigned,(unavailable-see-notes),(unavailable-see-notes),(not set),1,195.0,195.0,1,1,date x sessionSourceMedium only
2024-01-30,(not set),Unassigned,(unavailable-see-notes),(unavailable-see-notes),(not set),2,0.0,0.0,2,2,date x sessionSourceMedium only
2024-02-02,(not set),Unassigned,(unavailable-see-notes),(unavailable-see-notes),(not set),1,195.0,195.0,1,1,date x sessionSourceMedium only
2024-02-03,(not set),Unassigned,(unavailable-see-notes),(unavailable-see-notes),(not set),1,350.0,350.0,1,1,date x sessionSourceMedium only
2024-02-06,(direct) / (none),Direct,(unavailable-see-notes),(unavailable-see-notes),(not set),1,0.0,0.0,0,1,date x sessionSourceMedium only
2024-02-06,(not set),Unassigned,(unavailable-see-notes),(unavailable-see-notes),(not set),2,350.0,350.0,2,2,date x sessionSourceMedium only
2024-02-07,(not set),Unassigned,(unavailable-see-notes),(unavailable-see-notes),(not set),1,250.0,250.0,1,1,date x sessionSourceMedium only
2024-02-08,(not set),Unassigned,(unavailable-see-notes),(unavailable-see-notes),(not set),3,585.0,585.0,3,3,date x sessionSourceMedium only
2024-02-11,(not set),Unassigned,(unavailable-see-notes),(unavailable-see-notes),(not set),1,205.0,205.0,1,1,date x sessionSourceMedium only
2024-02-12,(not set),Unassigned,(unavailable-see-notes),(unavailable-see-notes),(not set),1,205.0,205.0,1,1,date x sessionSourceMedium only
2024-02-13,(not set),Unassigned,(unavailable-see-notes),(unavailable-see-notes),(not set),1,0.0,0.0,1,1,date x sessionSourceMedium only
