yearMonth,landingPage,pagePath,sessions_reaching,screenPageViews
2026|06,/,/schedule-an-appointment,6,10
2026|07,(not set),/schedule-an-appointment,2,0
2026|07,/,/schedule-an-appointment,24,29
2026|07,/mens-health,/schedule-an-appointment,4,4
2026|07,/pediatrics,/schedule-an-appointment,4,4
2026|07,/schedule-an-appointment,/schedule-an-appointment,13,13
2026|07,/womens-health-services,/schedule-an-appointment,11,11
2026|08,/,/schedule-an-appointment,8,9
2026|08,/meet-dr-haley,/schedule-an-appointment,1,1
2026|08,/mens-health,/schedule-an-appointment,1,1
2026|08,/pediatrics,/schedule-an-appointment,2,2
2026|08,/schedule-an-appointment,/schedule-an-appointment,6,6
2026|08,/womens-health-services,/schedule-an-appointment,2,4
2026|09,/,/schedule-an-appointment,2,2
2026|09,/womens-health-services,/schedule-an-appointment,1,1
