detection_field,polluted_value,yearMonth,eventName,eventCount,sessions,conversions,totalRevenue
pageReferrer,https://tagassistant.google.com/,2025|06,page_view,6,4,0,0
pageReferrer,https://tagassistant.google.com/,2025|06,schedule_appointment,4,3,0,0
pageReferrer,https://tagassistant.google.com/,2025|06,scroll,4,3,0,0
pageReferrer,https://tagassistant.google.com/,2025|06,session_start,2,2,0,0
pageReferrer,https://tagassistant.google.com/,2025|06,user_engagement,4,2,0,0
pageReferrer,https://tagassistant.google.com/,2026|04,page_view,4,2,0,0
pageReferrer,https://tagassistant.google.com/,2026|04,purchase,2,1,2,0
pageReferrer,https://tagassistant.google.com/,2026|04,schedule_appointment,1,1,0,0
pageReferrer,https://tagassistant.google.com/,2026|04,scroll,1,1,0,0
pageReferrer,https://tagassistant.google.com/,2026|04,session_start,1,1,0,0
pageReferrer,https://tagassistant.google.com/,2026|04,user_engagement,1,1,0,0
pageReferrer,https://ads.google.com/,2026|06,page_view,2,1,0,0
pageReferrer,https://ads.google.com/,2026|06,session_start,1,1,0,0
pageReferrer,https://ads.google.com/,2026|06,user_engagement,2,1,0,0
pageReferrer,https://tagassistant.google.com/,2026|06,page_view,2,1,0,0
pageReferrer,https://tagassistant.google.com/,2026|06,purchase,2,1,2,0
pageReferrer,https://tagassistant.google.com/,2026|06,schedule_appointment,2,1,0,0
pageReferrer,https://tagassistant.google.com/,2026|06,scroll,2,1,0,0
pageReferrer,https://tagassistant.google.com/,2026|06,session_start,1,1,0,0
sessionSourceMedium,tagassistant.google.com / referral,2025|06,meet_dr__haley,1,1,0,0.0
sessionSourceMedium,tagassistant.google.com / referral,2025|06,meet_dr__jacob,1,1,0,0.0
sessionSourceMedium,tagassistant.google.com / referral,2025|06,page_view,25,11,0,0.0
sessionSourceMedium,tagassistant.google.com / referral,2025|06,schedule_appointment,9,6,0,0.0
sessionSourceMedium,tagassistant.google.com / referral,2025|06,scroll,12,9,0,0.0
sessionSourceMedium,tagassistant.google.com / referral,2025|06,session_start,15,15,0,0.0
sessionSourceMedium,tagassistant.google.com / referral,2025|06,user_engagement,20,9,0,0.0
