date,views_total,views_maps,views_search,views_maps_desktop,views_maps_mobile,views_search_desktop,views_search_mobile,actions_total,actions_website,actions_phone,actions_driving_directions,actions_messages,actions_bookings,actions_food_menu_clicks,actions_food_orders
2025-03-08,17,0,17,0,0,4,13,3,2,0,1,0,0,0,0
2025-03-09,23,4,19,2,2,7,12,11,1,0,10,0,0,0,0
2025-03-10,23,3,20,1,2,8,12,12,4,0,8,0,0,0,0
2025-03-11,23,2,21,0,2,7,14,1,0,0,1,0,0,0,0
2025-03-12,21,5,16,2,3,6,10,2,2,0,0,0,0,0,0
2025-03-13,24,4,20,0,4,7,13,6,1,2,3,0,0,0,0
2025-03-14,25,4,21,2,2,7,14,3,3,0,0,0,0,0,0
2025-03-15,20,2,18,0,2,6,12,1,1,0,0,0,0,0,0
2025-03-16,18,2,16,1,1,2,14,5,2,0,3,0,0,0,0
2025-03-17,24,2,22,0,2,9,13,3,3,0,0,0,0,0,0
2025-03-18,27,5,22,2,3,7,15,3,3,0,0,0,0,0,0
2025-03-19,34,5,29,2,3,10,19,3,2,0,1,0,0,0,0
2025-03-20,18,0,18,0,0,7,11,2,2,0,0,0,0,0,0
2025-03-21,15,5,10,1,4,3,7,1,1,0,0,0,0,0,0
2025-03-22,16,3,13,0,3,3,10,7,1,0,6,0,0,0,0
2025-03-23,12,3,9,1,2,2,7,2,2,0,0,0,0,0,0
2025-03-24,30,5,25,1,4,8,17,1,0,0,1,0,0,0,0
2025-03-25,26,7,19,4,3,10,9,2,2,0,0,0,0,0,0
2025-03-26,31,12,19,3,9,6,13,2,2,0,0,0,0,0,0
2025-03-27,20,4,16,2,2,4,12,2,2,0,0,0,0,0,0
2025-03-28,27,6,21,2,4,9,12,20,2,1,17,0,0,0,0
2025-03-29,11,1,10,1,0,1,9,4,1,0,3,0,0,0,0
2025-03-30,13,0,13,0,0,2,11,2,2,0,0,0,0,0,0
2025-03-31,26,3,23,2,1,7,16,5,3,0,2,0,0,0,0
2025-04-01,23,3,20,0,3,10,10,8,2,0,6,0,0,0,0
2025-04-02,28,3,25,2,1,12,13,5,5,0,0,0,0,0,0
2025-04-03,19,2,17,0,2,7,10,7,5,0,2,0,0,0,0
2025-04-04,18,6,12,2,4,5,7,2,1,0,1,0,0,0,0
2025-04-05,5,0,5,0,0,1,4,3,3,0,0,0,0,0,0
2025-04-06,10,1,9,1,0,2,7,22,2,0,20,0,0,0,0
2025-04-07,14,2,12,0,2,5,7,6,2,0,4,0,0,0,0
2025-04-08,18,0,18,0,0,5,13,6,3,0,3,0,0,0,0
2025-04-09,30,6,24,4,2,9,15,2,2,0,0,0,0,0,0
