keyword,volume,bucket,reported_impressions_total,months_appeared,sub_threshold_months,volume_basis
naturopathic doctor,182,geo/discovery,102,16,10,midpoint_estimate (sub-threshold month = 8 impressions)
holistic doctor near me,147,geo/discovery,35,16,14,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic doctor near me,135,geo/discovery,79,11,7,midpoint_estimate (sub-threshold month = 8 impressions)
functional medicine doctor near me,88,geo/discovery,0,11,11,midpoint_estimate (sub-threshold month = 8 impressions)
naturopath,88,geo/discovery,0,11,11,midpoint_estimate (sub-threshold month = 8 impressions)
panka,72,brand,0,9,9,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic doctor minneapolis,64,geo/discovery,0,8,8,midpoint_estimate (sub-threshold month = 8 impressions)
functional medicine doctor,56,geo/discovery,0,7,7,midpoint_estimate (sub-threshold month = 8 impressions)
homeopathic doctors near me,56,modality/other-service,0,7,7,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic doctor minnetonka,56,geo/discovery,0,7,7,midpoint_estimate (sub-threshold month = 8 impressions)
"panka natural health, 1st street north, hopkins, mn",56,brand,0,7,7,midpoint_estimate (sub-threshold month = 8 impressions)
functional medicine,48,geo/discovery,0,6,6,midpoint_estimate (sub-threshold month = 8 impressions)
food sensitivity test,40,Functional Lab Testing,0,5,5,midpoint_estimate (sub-threshold month = 8 impressions)
naturopath near me,40,geo/discovery,0,5,5,midpoint_estimate (sub-threshold month = 8 impressions)
food sensitivity testing near me,32,Functional Lab Testing,0,4,4,midpoint_estimate (sub-threshold month = 8 impressions)
natural path doctor near me,32,geo/discovery,0,4,4,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic,32,geo/discovery,0,4,4,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathy,32,geo/discovery,0,4,4,midpoint_estimate (sub-threshold month = 8 impressions)
functional medicine near me,24,geo/discovery,0,3,3,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic doctor minnesota,24,geo/discovery,0,3,3,midpoint_estimate (sub-threshold month = 8 impressions)
panka natural health,24,brand,0,3,3,midpoint_estimate (sub-threshold month = 8 impressions)
"panka natural health, 1st street north suite 901a, hopkins, mn",24,brand,0,3,3,midpoint_estimate (sub-threshold month = 8 impressions)
holistic doctor minneapolis,16,geo/discovery,0,2,2,midpoint_estimate (sub-threshold month = 8 impressions)
holistic doctors in minnesota,16,geo/discovery,0,2,2,midpoint_estimate (sub-threshold month = 8 impressions)
holistic pediatrician near me,16,Pediatrics,0,2,2,midpoint_estimate (sub-threshold month = 8 impressions)
homeopathic,16,modality/other-service,0,2,2,midpoint_estimate (sub-threshold month = 8 impressions)
naturopaths near me,16,geo/discovery,0,2,2,midpoint_estimate (sub-threshold month = 8 impressions)
panacea,16,other/irrelevant,0,2,2,midpoint_estimate (sub-threshold month = 8 impressions)
prana,16,other/irrelevant,0,2,2,midpoint_estimate (sub-threshold month = 8 impressions)
proactive,16,other/irrelevant,0,2,2,midpoint_estimate (sub-threshold month = 8 impressions)
"""functional and integrative pediatrics minnesota""",8,Pediatrics,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
"901 1st street north, hopkins, mn",8,brand,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
alternative medicine practitioners chanhassen mn,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
are natutherapist dr.,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
autism cleanse for kids minnesota holistc doctor ,8,Pediatrics,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
ayurvedic medicine near me,8,modality/other-service,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
balanced care,8,other/irrelevant,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
bowel movement doctors,8,Gut Health,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
"champion naturopathic health, llc",8,competitor/practitioner-name,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
christian nutritionist,8,modality/other-service,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
colonic minnetonka wayzata eden priarie edina,8,modality/other-service,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
"colonic, plymouth",8,modality/other-service,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
doctors who prescribe natural thyroid supplements,8,Women's Health & Hormones,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
dr kat hopkins mn,8,competitor/practitioner-name,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
dr. pannoch mn,8,competitor/practitioner-name,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
ebv specialist holistic,8,Functional Lab Testing,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
essential oils hopkins minnesota,8,modality/other-service,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
fertility naturopath near me,8,Women's Health & Hormones,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
food near me,8,other/irrelevant,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
food sensitivity testing,8,Functional Lab Testing,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
fuctional gi health minneapolis,8,Gut Health,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
functional medicine doctor minneapolis,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
functional medicine doctor minnetonka,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
functional medicine eden prairie,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
functional medicine minnetonka,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
functional medicine near me 55343,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
functional medicine nutrionist,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
functional medicine plymouth,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
functional medicine practitioner mn,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
functional medicine providers near me,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
functional wellness practitioner,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
functional.medicine sibonmpls mn,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
healing centers near me,8,modality/other-service,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
health and wellness rogers mn,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
"healthcare places near hopkins, mn",8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
"healthy vitiamins naturalpath minnetonka, mn",8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
holistic doctor,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
holistic doctor for cancer patients mn,8,modality/other-service,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
holistic doctor for pcos,8,Women's Health & Hormones,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
holistic doctor minnesota,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
holistic doctor near rogers mn,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
holistic doctors in mn,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
holistic doctors near me,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
holistic doctors near me for thyroid and,8,Women's Health & Hormones,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
holistic health,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
holistic lymes disease testing minneapolis,8,Functional Lab Testing,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
holistic pediatric doctor 55344,8,Pediatrics,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
holistic pediatricians,8,Pediatrics,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
hollistic health,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
homeopathic diabetes managment,8,Metabolic/Diabetes,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
hopkins natural patho doctor,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
hospital children,8,Pediatrics,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
iridologist,8,modality/other-service,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
jennifer alasko minnesota alternative health,8,competitor/practitioner-name,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
karissa kuhle hopkins mn,8,competitor/practitioner-name,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
kathryn l piha md minnesota hopkins health and wellness,8,competitor/practitioner-name,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natropath,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natura specialist minnesota,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natural cancer doctors in minnesota,8,modality/other-service,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natural doctor on leukemia in minnesota,8,modality/other-service,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natural doctors near me,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natural dr,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natural dr in walker mn,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natural health clinic,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natural health for men near me,8,Men's Health,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natural path doctor,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natural path md in minnesota,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natural pathologist doctor minneapolis,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natural practitioner near me,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
natural removal hopkins minnesota,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturistic ohysucian,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopath in st louis park,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopath twin.cities,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
"naturopathic clinic in nashville, minnesota, usa",8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic doctor edina,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic doctor for weight loss near me,8,Metabolic/Diabetes,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic doctor hennepin county,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic doctor st paul,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic doctors,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic doctors near me,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic gut health doctors chaska mn,8,Gut Health,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic health practitioner,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic infertility doctor minnesota,8,Women's Health & Hormones,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic md south metro mn,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathic medicine,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathicmagic,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopaths,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
naturopathy doctor,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
nautropath,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
nutrapathic,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
orthopedic holistic near me ,8,modality/other-service,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
panakumen restaurant,8,other/irrelevant,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
panka natural health nail fungus oil blens,8,brand,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
pediatric functional medicine near me,8,Pediatrics,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
physician hopkins,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
psch anp naturopath,8,competitor/practitioner-name,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
rash allergic reaction treatment,8,modality/other-service,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
thyroid specialist natural,8,Women's Health & Hormones,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
thyroid testing,8,Women's Health & Hormones,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
top rated doctors that work with gut health and inflammation near me,8,Gut Health,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
top rated naturopathic doctor,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
vitamin & supplements store,8,modality/other-service,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
wayzata functional medicine,8,geo/discovery,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
wellness hrt specialist mn,8,Women's Health & Hormones,0,1,1,midpoint_estimate (sub-threshold month = 8 impressions)
