year_month,location_name,location_id,keyword,reported_impressions,is_sub_threshold,estimated_impressions_midpoint
2025-04,Panka Natural Health,3326559683279742636,naturopathic doctor near me,20,0,20
2025-04,Panka Natural Health,3326559683279742636,fertility naturopath near me,0,1,8
2025-04,Panka Natural Health,3326559683279742636,functional medicine doctor minnetonka,0,1,8
2025-04,Panka Natural Health,3326559683279742636,functional medicine minnetonka,0,1,8
2025-04,Panka Natural Health,3326559683279742636,holistic doctor near me,0,1,8
2025-04,Panka Natural Health,3326559683279742636,holistic doctors near me,0,1,8
2025-04,Panka Natural Health,3326559683279742636,holistic doctors near me for thyroid and,0,1,8
2025-04,Panka Natural Health,3326559683279742636,homeopathic doctors near me,0,1,8
2025-04,Panka Natural Health,3326559683279742636,natura specialist minnesota,0,1,8
2025-04,Panka Natural Health,3326559683279742636,naturopath near me,0,1,8
2025-04,Panka Natural Health,3326559683279742636,naturopath twin.cities,0,1,8
2025-04,Panka Natural Health,3326559683279742636,naturopathic doctor,0,1,8
2025-04,Panka Natural Health,3326559683279742636,naturopathic doctor minneapolis,0,1,8
2025-04,Panka Natural Health,3326559683279742636,naturopathic doctors near me,0,1,8
2025-04,Panka Natural Health,3326559683279742636,naturopathic health practitioner,0,1,8
2025-04,Panka Natural Health,3326559683279742636,naturopathy,0,1,8
2025-04,Panka Natural Health,3326559683279742636,nautropath,0,1,8
2025-04,Panka Natural Health,3326559683279742636,nutrapathic,0,1,8
2025-04,Panka Natural Health,3326559683279742636,panka,0,1,8
2025-04,Panka Natural Health,3326559683279742636,panka natural health,0,1,8
2025-04,Panka Natural Health,3326559683279742636,physician hopkins,0,1,8
2025-05,Panka Natural Health,3326559683279742636,naturopathic doctor,18,0,18
2025-05,Panka Natural Health,3326559683279742636,holistic doctor near me,16,0,16
2025-05,Panka Natural Health,3326559683279742636,naturopathic doctor near me,16,0,16
2025-05,Panka Natural Health,3326559683279742636,food sensitivity test,0,1,8
2025-05,Panka Natural Health,3326559683279742636,functional medicine doctor,0,1,8
2025-05,Panka Natural Health,3326559683279742636,functional medicine doctor near me,0,1,8
2025-05,Panka Natural Health,3326559683279742636,functional medicine plymouth,0,1,8
2025-05,Panka Natural Health,3326559683279742636,functional wellness practitioner,0,1,8
2025-05,Panka Natural Health,3326559683279742636,holistic doctors in minnesota,0,1,8
2025-05,Panka Natural Health,3326559683279742636,homeopathic doctors near me,0,1,8
2025-05,Panka Natural Health,3326559683279742636,karissa kuhle hopkins mn,0,1,8
2025-05,Panka Natural Health,3326559683279742636,natural path doctor near me,0,1,8
2025-05,Panka Natural Health,3326559683279742636,naturopath,0,1,8
2025-05,Panka Natural Health,3326559683279742636,naturopathic doctor minneapolis,0,1,8
2025-05,Panka Natural Health,3326559683279742636,naturopathy,0,1,8
2025-05,Panka Natural Health,3326559683279742636,panacea,0,1,8
2025-05,Panka Natural Health,3326559683279742636,psch anp naturopath,0,1,8
2025-06,Panka Natural Health,3326559683279742636,naturopathic doctor near me,22,0,22
2025-06,Panka Natural Health,3326559683279742636,balanced care,0,1,8
2025-06,Panka Natural Health,3326559683279742636,"champion naturopathic health, llc",0,1,8
2025-06,Panka Natural Health,3326559683279742636,christian nutritionist,0,1,8
2025-06,Panka Natural Health,3326559683279742636,food near me,0,1,8
2025-06,Panka Natural Health,3326559683279742636,functional medicine doctor near me,0,1,8
2025-06,Panka Natural Health,3326559683279742636,functional medicine near me,0,1,8
2025-06,Panka Natural Health,3326559683279742636,holistic doctor near me,0,1,8
2025-06,Panka Natural Health,3326559683279742636,holistic doctors in minnesota,0,1,8
2025-06,Panka Natural Health,3326559683279742636,natural dr,0,1,8
2025-06,Panka Natural Health,3326559683279742636,naturopath,0,1,8
2025-06,Panka Natural Health,3326559683279742636,naturopathic,0,1,8
2025-06,Panka Natural Health,3326559683279742636,naturopathic doctor,0,1,8
2025-06,Panka Natural Health,3326559683279742636,naturopathic doctor hennepin county,0,1,8
2025-06,Panka Natural Health,3326559683279742636,naturopathic doctor minneapolis,0,1,8
2025-06,Panka Natural Health,3326559683279742636,naturopathic doctor minnesota,0,1,8
2025-06,Panka Natural Health,3326559683279742636,naturopathic doctor minnetonka,0,1,8
2025-06,Panka Natural Health,3326559683279742636,naturopathic infertility doctor minnesota,0,1,8
2025-06,Panka Natural Health,3326559683279742636,panacea,0,1,8
2025-06,Panka Natural Health,3326559683279742636,panka,0,1,8
2025-06,Panka Natural Health,3326559683279742636,"panka natural health, 1st street north, hopkins, mn",0,1,8
2025-06,Panka Natural Health,3326559683279742636,top rated doctors that work with gut health and inflammation near me,0,1,8
2025-06,Panka Natural Health,3326559683279742636,vitamin & supplements store,0,1,8
2025-07,Panka Natural Health,3326559683279742636,naturopathic doctor near me,21,0,21
2025-07,Panka Natural Health,3326559683279742636,alternative medicine practitioners chanhassen mn,0,1,8
2025-07,Panka Natural Health,3326559683279742636,functional medicine doctor near me,0,1,8
2025-07,Panka Natural Health,3326559683279742636,holistic doctor near me,0,1,8
2025-07,Panka Natural Health,3326559683279742636,naturistic ohysucian,0,1,8
2025-07,Panka Natural Health,3326559683279742636,naturopath near me,0,1,8
2025-07,Panka Natural Health,3326559683279742636,naturopathic doctor,0,1,8
2025-07,Panka Natural Health,3326559683279742636,naturopathic doctor for weight loss near me,0,1,8
2025-07,Panka Natural Health,3326559683279742636,naturopathic doctor minneapolis,0,1,8
2025-07,Panka Natural Health,3326559683279742636,panka,0,1,8
2025-07,Panka Natural Health,3326559683279742636,"panka natural health, 1st street north, hopkins, mn",0,1,8
2025-08,Panka Natural Health,3326559683279742636,naturopathic doctor,16,0,16
2025-08,Panka Natural Health,3326559683279742636,food sensitivity test,0,1,8
2025-08,Panka Natural Health,3326559683279742636,food sensitivity testing near me,0,1,8
2025-08,Panka Natural Health,3326559683279742636,functional medicine,0,1,8
2025-08,Panka Natural Health,3326559683279742636,functional medicine doctor near me,0,1,8
2025-08,Panka Natural Health,3326559683279742636,functional medicine providers near me,0,1,8
2025-08,Panka Natural Health,3326559683279742636,holistic doctor minnesota,0,1,8
2025-08,Panka Natural Health,3326559683279742636,holistic doctor near me,0,1,8
2025-08,Panka Natural Health,3326559683279742636,holistic lymes disease testing minneapolis,0,1,8
2025-08,Panka Natural Health,3326559683279742636,holistic pediatricians,0,1,8
2025-08,Panka Natural Health,3326559683279742636,homeopathic doctors near me,0,1,8
2025-08,Panka Natural Health,3326559683279742636,naturopath,0,1,8
2025-08,Panka Natural Health,3326559683279742636,naturopathic doctor minneapolis,0,1,8
2025-08,Panka Natural Health,3326559683279742636,naturopathic doctor minnesota,0,1,8
2025-08,Panka Natural Health,3326559683279742636,naturopathic doctor near me,0,1,8
2025-08,Panka Natural Health,3326559683279742636,naturopathic doctor st paul,0,1,8
2025-08,Panka Natural Health,3326559683279742636,naturopaths near me,0,1,8
2025-08,Panka Natural Health,3326559683279742636,orthopedic holistic near me ,0,1,8
2025-08,Panka Natural Health,3326559683279742636,panka,0,1,8
2025-08,Panka Natural Health,3326559683279742636,"panka natural health, 1st street north suite 901a, hopkins, mn",0,1,8
2025-08,Panka Natural Health,3326559683279742636,rash allergic reaction treatment,0,1,8
2025-09,Panka Natural Health,3326559683279742636,naturopathic doctor,16,0,16
2025-09,Panka Natural Health,3326559683279742636,food sensitivity testing near me,0,1,8
2025-09,Panka Natural Health,3326559683279742636,functional medicine doctor,0,1,8
2025-09,Panka Natural Health,3326559683279742636,functional medicine practitioner mn,0,1,8
2025-09,Panka Natural Health,3326559683279742636,"healthcare places near hopkins, mn",0,1,8
2025-09,Panka Natural Health,3326559683279742636,holistic doctor near me,0,1,8
2025-09,Panka Natural Health,3326559683279742636,homeopathic doctors near me,0,1,8
2025-09,Panka Natural Health,3326559683279742636,natural cancer doctors in minnesota,0,1,8
2025-09,Panka Natural Health,3326559683279742636,natural practitioner near me,0,1,8
2025-09,Panka Natural Health,3326559683279742636,naturopath,0,1,8
2025-09,Panka Natural Health,3326559683279742636,naturopathic doctor edina,0,1,8
2025-09,Panka Natural Health,3326559683279742636,naturopathic doctor minneapolis,0,1,8
2025-09,Panka Natural Health,3326559683279742636,naturopathic doctor minnesota,0,1,8
2025-09,Panka Natural Health,3326559683279742636,naturopathic doctor minnetonka,0,1,8
2025-09,Panka Natural Health,3326559683279742636,naturopathic doctor near me,0,1,8
2025-09,Panka Natural Health,3326559683279742636,panka,0,1,8
2025-09,Panka Natural Health,3326559683279742636,"panka natural health, 1st street north, hopkins, mn",0,1,8
2025-09,Panka Natural Health,3326559683279742636,top rated naturopathic doctor,0,1,8
2025-10,Panka Natural Health,3326559683279742636,food sensitivity test,0,1,8
2025-10,Panka Natural Health,3326559683279742636,food sensitivity testing near me,0,1,8
2025-10,Panka Natural Health,3326559683279742636,functional medicine,0,1,8
2025-10,Panka Natural Health,3326559683279742636,functional medicine doctor near me,0,1,8
2025-10,Panka Natural Health,3326559683279742636,functional medicine eden prairie,0,1,8
2025-10,Panka Natural Health,3326559683279742636,holistic doctor for cancer patients mn,0,1,8
2025-10,Panka Natural Health,3326559683279742636,holistic doctor for pcos,0,1,8
2025-10,Panka Natural Health,3326559683279742636,holistic doctor near me,0,1,8
2025-10,Panka Natural Health,3326559683279742636,hollistic health,0,1,8
2025-10,Panka Natural Health,3326559683279742636,homeopathic,0,1,8
2025-10,Panka Natural Health,3326559683279742636,homeopathic doctors near me,0,1,8
2025-10,Panka Natural Health,3326559683279742636,natropath,0,1,8
2025-10,Panka Natural Health,3326559683279742636,natural doctor on leukemia in minnesota,0,1,8
2025-10,Panka Natural Health,3326559683279742636,natural path doctor,0,1,8
2025-10,Panka Natural Health,3326559683279742636,natural path doctor near me,0,1,8
2025-10,Panka Natural Health,3326559683279742636,natural pathologist doctor minneapolis,0,1,8
2025-10,Panka Natural Health,3326559683279742636,naturopath,0,1,8
2025-10,Panka Natural Health,3326559683279742636,naturopath near me,0,1,8
2025-10,Panka Natural Health,3326559683279742636,naturopathic,0,1,8
2025-10,Panka Natural Health,3326559683279742636,naturopathic doctor,0,1,8
2025-10,Panka Natural Health,3326559683279742636,naturopathic doctor minneapolis,0,1,8
2025-10,Panka Natural Health,3326559683279742636,naturopathic doctor near me,0,1,8
2025-10,Panka Natural Health,3326559683279742636,naturopathic md south metro mn,0,1,8
