keyword,estimated_impressions_midpoint,reported_impressions_total,max_reported_month,months_appeared,sub_threshold_months,est_low,est_high,first_month,last_month,months_list
naturopathic doctor,182,102,19,16,10,112,252,2025-04,2026-07,2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
holistic doctor near me,147,35,19,16,14,49,245,2025-04,2026-07,2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
naturopathic doctor near me,135,79,22,11,7,86,184,2025-04,2026-07,2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2026-01;2026-05;2026-07
functional medicine doctor near me,88,0,0,11,11,11,165,2025-05,2026-07,2025-05;2025-06;2025-07;2025-08;2025-10;2025-11;2026-01;2026-03;2026-04;2026-05;2026-07
naturopath,88,0,0,11,11,11,165,2025-05,2026-05,2025-05;2025-06;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-03;2026-04;2026-05
panka,72,0,0,9,9,9,135,2025-04,2026-03,2025-04;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-03
naturopathic doctor minneapolis,64,0,0,8,8,8,120,2025-04,2026-06,2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2026-06
functional medicine doctor,56,0,0,7,7,7,105,2025-05,2026-04,2025-05;2025-09;2025-11;2026-01;2026-02;2026-03;2026-04
homeopathic doctors near me,56,0,0,7,7,7,105,2025-04,2026-02,2025-04;2025-05;2025-08;2025-09;2025-10;2025-11;2026-02
naturopathic doctor minnetonka,56,0,0,7,7,7,105,2025-06,2026-05,2025-06;2025-09;2025-11;2026-01;2026-02;2026-03;2026-05
"panka natural health, 1st street north, hopkins, mn",56,0,0,7,7,7,105,2025-06,2026-07,2025-06;2025-07;2025-09;2025-11;2026-05;2026-06;2026-07
functional medicine,48,0,0,6,6,6,90,2025-08,2026-07,2025-08;2025-10;2026-03;2026-04;2026-05;2026-07
food sensitivity test,40,0,0,5,5,5,75,2025-05,2025-12,2025-05;2025-08;2025-10;2025-11;2025-12
naturopath near me,40,0,0,5,5,5,75,2025-04,2026-02,2025-04;2025-07;2025-10;2025-11;2026-02
food sensitivity testing near me,32,0,0,4,4,4,60,2025-08,2026-02,2025-08;2025-09;2025-10;2026-02
natural path doctor near me,32,0,0,4,4,4,60,2025-05,2026-07,2025-05;2025-10;2025-11;2026-07
naturopathic,32,0,0,4,4,4,60,2025-06,2026-01,2025-06;2025-10;2025-12;2026-01
naturopathy,32,0,0,4,4,4,60,2025-04,2026-02,2025-04;2025-05;2025-12;2026-02
functional medicine near me,24,0,0,3,3,3,45,2025-06,2026-04,2025-06;2026-03;2026-04
naturopathic doctor minnesota,24,0,0,3,3,3,45,2025-06,2025-09,2025-06;2025-08;2025-09
panka natural health,24,0,0,3,3,3,45,2025-04,2025-11,2025-04;2025-10;2025-11
"panka natural health, 1st street north suite 901a, hopkins, mn",24,0,0,3,3,3,45,2025-08,2026-05,2025-08;2026-04;2026-05
holistic doctor minneapolis,16,0,0,2,2,2,30,2026-03,2026-05,2026-03;2026-05
holistic doctors in minnesota,16,0,0,2,2,2,30,2025-05,2025-06,2025-05;2025-06
holistic pediatrician near me,16,0,0,2,2,2,30,2025-11,2026-06,2025-11;2026-06
homeopathic,16,0,0,2,2,2,30,2025-10,2025-11,2025-10;2025-11
naturopaths near me,16,0,0,2,2,2,30,2025-08,2025-12,2025-08;2025-12
panacea,16,0,0,2,2,2,30,2025-05,2025-06,2025-05;2025-06
prana,16,0,0,2,2,2,30,2025-12,2026-03,2025-12;2026-03
proactive,16,0,0,2,2,2,30,2026-05,2026-06,2026-05;2026-06
"""functional and integrative pediatrics minnesota""",8,0,0,1,1,1,15,2025-11,2025-11,2025-11
"901 1st street north, hopkins, mn",8,0,0,1,1,1,15,2026-07,2026-07,2026-07
alternative medicine practitioners chanhassen mn,8,0,0,1,1,1,15,2025-07,2025-07,2025-07
are natutherapist dr.,8,0,0,1,1,1,15,2026-01,2026-01,2026-01
autism cleanse for kids minnesota holistc doctor ,8,0,0,1,1,1,15,2025-11,2025-11,2025-11
ayurvedic medicine near me,8,0,0,1,1,1,15,2026-04,2026-04,2026-04
balanced care,8,0,0,1,1,1,15,2025-06,2025-06,2025-06
bowel movement doctors,8,0,0,1,1,1,15,2026-01,2026-01,2026-01
"champion naturopathic health, llc",8,0,0,1,1,1,15,2025-06,2025-06,2025-06
christian nutritionist,8,0,0,1,1,1,15,2025-06,2025-06,2025-06
colonic minnetonka wayzata eden priarie edina,8,0,0,1,1,1,15,2026-01,2026-01,2026-01
"colonic, plymouth",8,0,0,1,1,1,15,2026-04,2026-04,2026-04
doctors who prescribe natural thyroid supplements,8,0,0,1,1,1,15,2026-03,2026-03,2026-03
dr kat hopkins mn,8,0,0,1,1,1,15,2025-11,2025-11,2025-11
dr. pannoch mn,8,0,0,1,1,1,15,2026-06,2026-06,2026-06
ebv specialist holistic,8,0,0,1,1,1,15,2026-03,2026-03,2026-03
essential oils hopkins minnesota,8,0,0,1,1,1,15,2025-11,2025-11,2025-11
fertility naturopath near me,8,0,0,1,1,1,15,2025-04,2025-04,2025-04
food near me,8,0,0,1,1,1,15,2025-06,2025-06,2025-06
food sensitivity testing,8,0,0,1,1,1,15,2025-11,2025-11,2025-11
fuctional gi health minneapolis,8,0,0,1,1,1,15,2026-06,2026-06,2026-06
functional medicine doctor minneapolis,8,0,0,1,1,1,15,2025-11,2025-11,2025-11
functional medicine doctor minnetonka,8,0,0,1,1,1,15,2025-04,2025-04,2025-04
functional medicine eden prairie,8,0,0,1,1,1,15,2025-10,2025-10,2025-10
functional medicine minnetonka,8,0,0,1,1,1,15,2025-04,2025-04,2025-04
functional medicine near me 55343,8,0,0,1,1,1,15,2026-07,2026-07,2026-07
functional medicine nutrionist,8,0,0,1,1,1,15,2026-04,2026-04,2026-04
functional medicine plymouth,8,0,0,1,1,1,15,2025-05,2025-05,2025-05
functional medicine practitioner mn,8,0,0,1,1,1,15,2025-09,2025-09,2025-09
functional medicine providers near me,8,0,0,1,1,1,15,2025-08,2025-08,2025-08
functional wellness practitioner,8,0,0,1,1,1,15,2025-05,2025-05,2025-05
functional.medicine sibonmpls mn,8,0,0,1,1,1,15,2026-06,2026-06,2026-06
healing centers near me,8,0,0,1,1,1,15,2025-12,2025-12,2025-12
health and wellness rogers mn,8,0,0,1,1,1,15,2026-06,2026-06,2026-06
"healthcare places near hopkins, mn",8,0,0,1,1,1,15,2025-09,2025-09,2025-09
"healthy vitiamins naturalpath minnetonka, mn",8,0,0,1,1,1,15,2025-11,2025-11,2025-11
holistic doctor,8,0,0,1,1,1,15,2026-07,2026-07,2026-07
holistic doctor for cancer patients mn,8,0,0,1,1,1,15,2025-10,2025-10,2025-10
holistic doctor for pcos,8,0,0,1,1,1,15,2025-10,2025-10,2025-10
holistic doctor minnesota,8,0,0,1,1,1,15,2025-08,2025-08,2025-08
holistic doctor near rogers mn,8,0,0,1,1,1,15,2026-05,2026-05,2026-05
holistic doctors in mn,8,0,0,1,1,1,15,2026-03,2026-03,2026-03
holistic doctors near me,8,0,0,1,1,1,15,2025-04,2025-04,2025-04
holistic doctors near me for thyroid and,8,0,0,1,1,1,15,2025-04,2025-04,2025-04
holistic health,8,0,0,1,1,1,15,2025-11,2025-11,2025-11
holistic lymes disease testing minneapolis,8,0,0,1,1,1,15,2025-08,2025-08,2025-08
holistic pediatric doctor 55344,8,0,0,1,1,1,15,2026-07,2026-07,2026-07
holistic pediatricians,8,0,0,1,1,1,15,2025-08,2025-08,2025-08
hollistic health,8,0,0,1,1,1,15,2025-10,2025-10,2025-10
homeopathic diabetes managment,8,0,0,1,1,1,15,2026-02,2026-02,2026-02
hopkins natural patho doctor,8,0,0,1,1,1,15,2026-03,2026-03,2026-03
hospital children,8,0,0,1,1,1,15,2026-07,2026-07,2026-07
iridologist,8,0,0,1,1,1,15,2025-11,2025-11,2025-11
jennifer alasko minnesota alternative health,8,0,0,1,1,1,15,2025-11,2025-11,2025-11
