month,ads_spend_usd,ads_impressions,ads_clicks,ads_avg_cpc_usd,ads_conversions_as_reported,ads_conversions_like_for_like,ads_cpa_like_for_like_usd,ads_spend_search_campaign_usd,ads_conversions_lfl_search_campaign,ads_cpa_lfl_search_campaign_usd,ga4_sessions_total,ga4_sessions_paid_search,ga4_sessions_organic,ga4_sessions_direct,ga4_sessions_referral,ga4_purchase_events_total,ga4_purchase_events_google_cpc,gbp_profile_views,gbp_actions_total,gbp_website_clicks,gbp_direction_requests,gbp_phone_calls,gbp_bookings,data_quality_note
2023-02,,,,,,,,,,,263,0,46,207,10,0,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2023-03,,,,,,,,,,,1004,548,155,233,68,0,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2023-04,,,,,,,,,,,828,503,151,130,44,0,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2023-05,,,,,,,,,,,1196,850,120,200,26,0,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2023-06,,,,,,,,,,,657,378,108,137,34,0,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2023-07,,,,,,,,,,,690,420,102,151,17,0,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2023-08,,,,,,,,,,,442,142,117,148,35,0,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2023-09,,,,,,,,,,,323,2,101,179,41,0,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 shows google/cpc sessions with NO matching spend in this Ads account - paid search ran from an account not in this archive; cost and clicks for it are unrecoverable; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2023-10,,,,,,,,,,,289,0,115,141,33,0,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
2023-11,,,,,,,,,,,209,0,81,88,40,0,0,,,,,,,"no spend data: Google Ads account 7473953248 has no delivery before 2025-06; GA4 purchase events in this month are Squarespace store orders and unattributed events, NOT appointment bookings; Business Profile: no data, connector cannot reach before 2025-03-08"
