pollution_class,detection_field,detection_value,yearMonth,eventName,eventCount,sessions,ga4_conversions,revenue_usd,month_total_events,month_total_conversions,month_total_purchase_events,pct_of_month_events,pct_of_month_conversions,verdict
A_tag_assistant_debug,pageReferrer,tagassistant.google.com,2025|06,page_view,6,4,0,0.0,4471,38,10,0.134,0.0,JUNK - remove from any count
A_tag_assistant_debug,pageReferrer,tagassistant.google.com,2025|06,schedule_appointment,4,3,0,0.0,4471,38,10,0.089,0.0,JUNK - remove from any count
A_tag_assistant_debug,pageReferrer,tagassistant.google.com,2025|06,scroll,4,3,0,0.0,4471,38,10,0.089,0.0,JUNK - remove from any count
A_tag_assistant_debug,pageReferrer,tagassistant.google.com,2025|06,session_start,2,2,0,0.0,4471,38,10,0.045,0.0,JUNK - remove from any count
A_tag_assistant_debug,pageReferrer,tagassistant.google.com,2025|06,user_engagement,4,2,0,0.0,4471,38,10,0.089,0.0,JUNK - remove from any count
A_tag_assistant_debug,sessionSourceMedium,tagassistant.google.com / referral,2025|06,meet_dr__haley,1,1,0,0.0,4471,38,10,0.022,0.0,JUNK - remove from any count
A_tag_assistant_debug,sessionSourceMedium,tagassistant.google.com / referral,2025|06,meet_dr__jacob,1,1,0,0.0,4471,38,10,0.022,0.0,JUNK - remove from any count
A_tag_assistant_debug,sessionSourceMedium,tagassistant.google.com / referral,2025|06,page_view,25,11,0,0.0,4471,38,10,0.559,0.0,JUNK - remove from any count
A_tag_assistant_debug,sessionSourceMedium,tagassistant.google.com / referral,2025|06,schedule_appointment,9,6,0,0.0,4471,38,10,0.201,0.0,JUNK - remove from any count
A_tag_assistant_debug,sessionSourceMedium,tagassistant.google.com / referral,2025|06,scroll,12,9,0,0.0,4471,38,10,0.268,0.0,JUNK - remove from any count
A_tag_assistant_debug,sessionSourceMedium,tagassistant.google.com / referral,2025|06,session_start,15,15,0,0.0,4471,38,10,0.335,0.0,JUNK - remove from any count
A_tag_assistant_debug,sessionSourceMedium,tagassistant.google.com / referral,2025|06,user_engagement,20,9,0,0.0,4471,38,10,0.447,0.0,JUNK - remove from any count
A_tag_assistant_debug,sessionSourceMedium,tagassistant.google.com / referral,2025|06,why_pnh,1,1,0,0.0,4471,38,10,0.022,0.0,JUNK - remove from any count
A_tag_assistant_debug,pageReferrer,tagassistant.google.com,2026|04,page_view,4,2,0,0.0,3458,88,54,0.116,0.0,JUNK - remove from any count
