row_type,name,status_2026_09_08,bid_modifier,lifetime_impressions,lifetime_clicks,lifetime_cost,lifetime_conversions,cpa,first_served,last_served,outcome,regimeE_impressions_2026_08_09,regimeE_clicks_2026_08_09,regimeE_cost_2026_08_09,regimeE_conversions,verdict
location_target,Unknown location: 2490837516419,"TARGETED - 22-mile radius around 44.9244,-93.4114 (custom_location, present in campaign resource 2026-09-08)",NOT EXPOSED - see notes,12937,663,1357.46,68.0,19.96,2026-07-03,2026-09-08,converted,6641,354,731.17,22.0,KEEP - has converted
location_target,Minneapolis,REMOVED earlier (last served 2026-06-10; not in the 2026-09-08 campaign resource),NOT EXPOSED - see notes,6224,386,966.29,141.02,6.85,2025-07-08,2026-06-10,converted,0,0,0.0,0.0,KEEP - has converted
location_target,Hopkins,TARGETED - re-created 2026-09-07 13:08 (one of 9 new geo targets),NOT EXPOSED - see notes,840,78,194.19,33.0,5.88,2025-07-09,2026-09-08,converted,7,0,0.0,0.0,KEEP - has converted
location_target,Edina,REMOVED earlier (last served 2026-06-10; not in the 2026-09-08 campaign resource),NOT EXPOSED - see notes,848,49,151.3,14.0,10.81,2025-07-09,2026-06-10,converted,0,0,0.0,0.0,KEEP - has converted
location_target,Golden Valley,REMOVED earlier (last served 2026-06-10; not in the 2026-09-08 campaign resource),NOT EXPOSED - see notes,820,53,138.82,19.0,7.31,2025-07-12,2026-06-10,converted,0,0,0.0,0.0,KEEP - has converted
location_target,Plymouth,TARGETED - re-created 2026-09-07 13:08 (one of 9 new geo targets),NOT EXPOSED - see notes,701,53,130.26,18.0,7.24,2025-07-09,2026-09-08,converted,11,0,0.0,0.0,KEEP - has converted
location_target,Eden Prairie,TARGETED - re-created 2026-09-07 13:08 (one of 9 new geo targets),NOT EXPOSED - see notes,642,44,125.03,16.0,7.81,2025-07-09,2026-09-08,converted,11,0,0.0,0.0,KEEP - has converted
location_target,Chanhassen,REMOVED earlier (last served 2026-06-10; not in the 2026-09-08 campaign resource),NOT EXPOSED - see notes,269,18,55.21,3.0,18.4,2025-07-12,2026-06-10,converted,0,0,0.0,0.0,KEEP - has converted
location_target,St. Louis Park,REMOVED earlier (last served 2026-05-13; not in the 2026-09-08 campaign resource),NOT EXPOSED - see notes,208,10,27.61,4.0,6.9,2025-07-12,2026-05-13,converted,0,0,0.0,0.0,KEEP - has converted
location_target,Maple Grove,TARGETED - re-created 2026-09-07 13:08 (one of 9 new geo targets),NOT EXPOSED - see notes,118,9,17.57,0.0,,2026-04-27,2026-09-08,"zero conversions, spend >$0",6,0,0.0,0.0,INSUFFICIENT DATA - under $20 lifetime
location_target,Minnetonka,REMOVED earlier (last served 2026-05-13; not in the 2026-09-08 campaign resource),NOT EXPOSED - see notes,112,6,14.92,5.0,2.98,2025-07-12,2026-05-13,converted,0,0,0.0,0.0,KEEP - has converted
location_target,Otsego,REMOVED 2026-09-07 13:39-13:42,NOT EXPOSED - see notes,88,5,9.59,0.0,,2026-08-20,2026-09-07,"zero conversions, spend >$0",88,5,9.59,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
location_target,Wayzata,REMOVED earlier (last served 2026-05-13; not in the 2026-09-08 campaign resource),NOT EXPOSED - see notes,34,2,7.34,0.0,,2026-04-27,2026-05-13,"zero conversions, spend >$0",0,0,0.0,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
location_target,Deephaven,REMOVED earlier (last served 2026-05-13; not in the 2026-09-08 campaign resource),NOT EXPOSED - see notes,4,1,6.23,0.0,,2026-04-30,2026-05-13,"zero conversions, spend >$0",0,0,0.0,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
location_target,Dayton,REMOVED 2026-09-07 13:39-13:42,NOT EXPOSED - see notes,13,2,5.82,0.0,,2026-08-21,2026-09-04,"zero conversions, spend >$0",13,2,5.82,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
location_target,Ramsey,REMOVED 2026-09-07 13:39-13:42,NOT EXPOSED - see notes,43,2,4.07,0.0,,2026-08-21,2026-09-06,"zero conversions, spend >$0",43,2,4.07,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
location_target,Saint Michael,REMOVED 2026-09-07 13:39-13:42,NOT EXPOSED - see notes,24,2,3.66,1.0,3.66,2026-08-21,2026-09-07,converted,24,2,3.66,1.0,KEEP - has converted
location_target,Albertville,REMOVED 2026-09-07 13:39-13:42,NOT EXPOSED - see notes,12,0,0.0,0.0,,2026-08-25,2026-09-06,"zero conversions, spend $0",12,0,0.0,0.0,INSUFFICIENT DATA - under $20 lifetime | already removed/not targeted - moot
location_target,Bloomington,TARGETED - re-created 2026-09-07 13:08 (one of 9 new geo targets),NOT EXPOSED - see notes,7,0,0.0,0.0,,2026-09-07,2026-09-08,"zero conversions, spend $0",7,0,0.0,0.0,INSUFFICIENT DATA - under $20 lifetime
location_target,Shakopee,TARGETED - re-created 2026-09-07 13:08 (one of 9 new geo targets),NOT EXPOSED - see notes,7,0,0.0,0.0,,2026-09-07,2026-09-08,"zero conversions, spend $0",7,0,0.0,0.0,INSUFFICIENT DATA - under $20 lifetime
