source,bucket,can_serve_today,adgroup,adgroup_status,keyword,match_type,keyword_status,lifetime_impressions,lifetime_clicks,lifetime_cost,lifetime_primary_conversions,lifetime_all_conversions,never_clicked,never_served,first_month,last_month,clears_money_bar_20usd,clears_evidence_bar_15clicks,zero_on_all_conversions,verdict,regimeE_impressions_2026_08_09,regimeE_clicks_2026_08_09,regimeE_cost_2026_08_09
KeywordView,A_live,YES,Geo-Qualified — Hopkins & West Metro,enabled,naturopathic doctor Minneapolis,Phrase,enabled,77,8,20.55,0,7.0,,,2026|07,2026|09,YES,NO,NO,KEEP - has all-conversions (not a true zero),31,4,9.22
KeywordView,A_live,YES,Women's Health & Hormones,enabled,perimenopause doctor near me,Phrase,enabled,24,3,6.42,0,0.0,,,2026|07,2026|09,NO,NO,YES,INSUFFICIENT DATA - live but below bars,23,3,6.42
KeywordView,A_live,YES,Women's Health & Hormones,enabled,natural help for menopause,Phrase,enabled,20,2,4.82,0,0.0,,,2026|07,2026|08,NO,NO,YES,INSUFFICIENT DATA - live but below bars,16,1,2.77
KeywordView,A_live,YES,Women's Health & Hormones,enabled,holistic hormone doctor near me,Phrase,enabled,2,1,4.43,0,0.0,,,2026|07,2026|07,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
KeywordView,A_live,YES,Women's Health & Hormones,enabled,naturopath for endometriosis,Phrase,enabled,2,2,4.0,0,0.0,,,2026|08,2026|08,NO,NO,YES,INSUFFICIENT DATA - live but below bars,2,2,4.0
KeywordView,A_live,YES,Women's Health & Hormones,enabled,pcos specialist near me,Phrase,enabled,5,1,2.91,0,1.0,,,2026|07,2026|08,NO,NO,NO,INSUFFICIENT DATA - live but below bars,3,1,2.91
KeywordView,A_live,YES,Naturopath Near Me — Core,enabled,naturopathic dr near me,Broad,enabled,81,2,2.88,0,0.0,,,2026|07,2026|08,NO,NO,YES,INSUFFICIENT DATA - live but below bars,5,0,0.0
KeywordView,A_live,YES,Women's Health & Hormones,enabled,endometriosis specialist near me,Phrase,enabled,2,1,2.86,0,0.0,,,2026|08,2026|08,NO,NO,YES,INSUFFICIENT DATA - live but below bars,2,1,2.86
KeywordView,A_live,YES,Functional & Integrative Medicine,enabled,functional medical doctors,Phrase,enabled,2,1,1.81,0,0.0,,,2026|09,2026|09,NO,NO,YES,INSUFFICIENT DATA - live but below bars,2,1,1.81
KeywordView,A_live,YES,Naturopath Near Me — Core,enabled,natural practitioner near me,Broad,enabled,2,1,1.35,0,0.0,,,2026|08,2026|08,NO,NO,YES,INSUFFICIENT DATA - live but below bars,2,1,1.35
KeywordView,A_live,YES,Women's Health & Hormones,enabled,Hashimoto's naturopath,Phrase,enabled,1,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
KeywordView,A_live,YES,Women's Health & Hormones,enabled,PCOS naturopath near me,Phrase,enabled,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,adrenal fatigue doctor near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Naturopath Near Me — Core,enabled,alternative medicine doctors near me,Phrase,enabled,1,0,0.0,0,0.0,YES,,2026|08,2026|08,NO,NO,YES,INSUFFICIENT DATA - live but below bars,1,0,0.0
campaign resource (no reportable stats),A_live,YES,Naturopath Near Me — Core,ENABLED,alternative medicine near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Functional & Integrative Medicine,ENABLED,best functional doctor near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Functional & Integrative Medicine,ENABLED,best functional doctors near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,best male doctor near me,Broad,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
KeywordView,A_live,YES,Naturopath Near Me — Core,enabled,best naturopath near me,Broad,enabled,30,0,0.0,0,0.0,YES,,2026|07,2026|08,NO,NO,YES,INSUFFICIENT DATA - live but below bars,7,0,0.0
KeywordView,A_live,YES,Naturopath Near Me — Core,enabled,best naturopathic doctor near me,Broad,enabled,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,INSUFFICIENT DATA - live but below bars,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Men's Health,ENABLED,enlarged prostate natural treatment,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,female naturopath near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Women's Health & Hormones,ENABLED,fertility naturopath near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
campaign resource (no reportable stats),A_live,YES,Functional & Integrative Medicine,ENABLED,functional integrative medicine near me,Phrase,enabled,0,0,0.0,0,,,YES,,,NO,NO,unknown,NO DATA - never accrued reportable stats; nothing to judge,0,0,0.0
